page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;지성의 수호자,skip_disable,,,,
2,챕터2,,,,,,,,,,,0.3,skip_disable,,,bgm_dungeon_special,,
3,,,드레이크,,right,,,,"뭐, 뭐야? 어째서 함정으로 설치한 마공학 장치가 작동하지 않는 거야?",,,,,,,,,
4,,,고니,,left,thought,,,그게 대체 무슨 소리야? 설마? 머리를 맞아서 정신이 나간 거냐?,,,,,,,,,
5,,,드레이크,,right,,,1초 대기,분명 테이머 암즈의 마력을 막아 드래곤을 소환하지 못하게 하는 장치를?,,,,,,,,,
6,,,모코지,,left,thought,,,"저기, 혹시 이 투박한 마공학 장치를 말하는 건가요?",,,,,,,,,
7,,,드레이크,,right,,,,"어, 어느새 그걸! 분명히 잘 숨겨 놓았을 텐데?",,,,,,,,,
8,,,모코지,,left,thought,,,아주 잘 보이게 숨겨뒀던데?,,,,,,,,,
9,,,드레이크,,right,,,,"크악, 이 멍청한 생선대가리 놈들이 일을 망쳤구나!",,,,,,,,,
10,,,고니,,left,fury,,고니 우측으로 소폭 이동(전진),"자, 선장 님, 유언은 그게 다인가요?",,,,,,,,,
11,,,고니,,left,fury,attack,,,,,1,skip_enable,clear_text,,,,
12,,,드레이크,,right,,shaking,드레이크 우측으로 소폭 이동(후퇴),으어? 으아아아악!,,,,flash,,,,,
13,,,드레이크,,right,,disappear_down,,,,,1.5,clear_text,skip_disable,,,,
14,,,,,,,,,,,,2,clear_all,black_in,skip_disable,,,
15,,,,,,,,,,,,1,fadeout,skip_disable,,bgm_lobby,,
16,,,데데,,left,thought,,1초 대기,지성의 제단에 도착한 순례자는 표식에 부응하여 답을 말하라.,,,,,,,,,
17,,,데데,,left,thought,,1초 대기,"답이 바를 경우, 지성의 수호자는 그 염원에 답해 모습을 드러내리라.",,,,,,,,,
18,,,고니,,left,thought,,,[지고의 빛이 깃든 호기심 어린 눈망울]이라는 게 대체 뭐지?,,,,,,,,,
19,,,케사스,,right,idle,,"1초 대기 후, 발걸음 소리",이것 봐. 제단의 틈이? 어떠한 물건에 딱 들어맞게 파여 있어.,,,,,,,,,
20,,,모코지,,left,idle,,,"혹시? 아니, 어쩌면? 이 표식이 그 틈에 맞을지도 모르겠네요.",,,,,,,,,
21,,,케사스,,right,idle,,,모코지 님. 그건? 마공학자의 팬던트 인가요?,,,,,,,,,
22,,,모코지,,left,idle,,,네. 마하임 공국이 마공학자에게 수여하는 증표 같은 거죠.,,,,,,,,,
23,,,모코지,,left,idle,,,그리고 [지고의 빛이 깃든 호기심 어린 눈망울]의 답은,,,,,,,,,
24,,,모코지,,left,idle,,,답을 찾는 어리석은 자의 발걸음은 멈추지 않는다.일 거에요.,,,,,,,,,
25,,,고니,,left,happy,,,"에이, 설마? 그런 간단한 거로 4대신룡이 깨어날?",,,,,,,,,
26,,,,,,,,,,,,2,clear_all,white_in,skip_disable,,,
27,,,,,,,,[하얀막] 페이드인. 1초 대기 후 페이드아웃,,,,1,fadeout,skip_disable,,,,
28,,,고니,,left,fury,,1초 대기,....?!,,,,,,,,,
29,,,빙하고룡,,right,,,,"[빛을 찾는 순례자들이여, 잘 왔다. 나는 지성의 수호자. 빙하고룡.]",,italic,,,,,,,
30,,,빙하고룡,,right,,,,[지고한 빛을 추앙하는 세 명의 수호자 중 하나이다.],,italic,,,,,,,
31,,,빙하고룡,,right,,,,"[내게 너희는 많은 것을 묻고 싶겠지만, 내게는 세상의 균형을 지킬 사명이 있다.]",,italic,,,,,,,
32,,,빙하고룡,,right,,,,[그렇기에 운명을 거스르지 않는 한도 내에 그 물음의 답을 말할 것이다.],,italic,,,,,,,
33,,,데데,,left,idle,,,위대한 지성의 수호자시여. 저는 신성 왕국 바이델의 사제. 데데라고 합니다.,,,,,,,,,
34,,,데데,,left,idle,,,지금 이노는 선지자의 예지대로 빛과 어둠의 기둥이 창공에 나타났습니다.,,,,,,,,,
35,,,데데,,left,idle,,,저희가 가야 할 길을. 저희가 이 세상을 지킬 수 있는 방도를 알고 싶습니다.,,,,,,,,,
36,다크닉스의기록,,,,,,,,,,,3,clear_char,clear_text,skip_disable,,,
37,,,빙하고룡,,right,,,"[컷씬]06 출력 후, 1-2초 대기",[예지는 이미 시작되었다. 그리고 가장 강대한 어둠의 수호자가 눈을 뜰 것이다.],,italic,,,,,,,
38,,,빙하고룡,,right,,,[컷씬]06,"[그 힘은 세상을 집어삼키고, 세상의 어떠한 생명도 감히 대적하지 못하리라.]",,italic,,,,,,,
39,,,빙하고룡,,right,,,,[어둠의 수호자에 맞서 무고한 생명을 지키려는 빛의 순례자여.],,italic,,,,,,,
40,,,빙하고룡,,right,,,,[긴 망각에 감춰진 협곡으로 발걸음을 향하라.],,italic,,,,,,,
