page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;믿음,skip_disable,,,,
2,습격당한마을,,,,,,,,,,,0.3,skip_disable,,,bgm_dungeon_boss,,
3,,,,,,,,,,,,2.5,shaking,flash,,,,efx_story_scream
4,,,고니,,left,fury,,,이런! 마을이 몬스터에게 습격당하고 있어!,,,,,,,,,
5,,,데데,,right,fury,,,"아니, 아직 늦지 않았어요!",,,,,,,,,
6,,,데데,,right,fury,,,모두 힘을 빌려주세요. 몬스터들을 막아야 해요!,,,,,,,,,
7,,,모코지,,left,idle,,,케사스 님. 저희도 마을을 구하러 가죠!,,,,,,,,,
8,,,케사스,,right,thought,,,할 수 없군요. 누리 님. 엄호를 부탁드립니다.,,,,,,,,,
9,,,누리,,left,idle,,,응! 모두 마을 사람을 지키는 것을 최우선으로 해줘.,,,,,,,,,
10,,,,,,,,,,,,2,clear_all,black_in,skip_disable,,,
11,챕터3,,,,,,,,,,,0.5,skip_disable,,,,,
12,,,,,,,,,,,,1,fadeout,skip_disable,,,,
13,,,코카트리스,,right,,,,카카칵! 이게 수호자의 제단인가? 박살 내주겠어!!,,,,,,,,,
14,,,,,,,,,,,,1,shaking,clear_text,skip_disable,,,
15,,,,,,,,,,,,1,shaking,flash,skip_disable,,,
16,,,코카트리스,,right,,,,카카칵! 이제 놈들은 신의의 수호자를 이 세상에 부를 수 없다.,bot,,,,,,,,
17,,,검은로브,,left,,,,역시 어리석은 놈들이야. 그깟 마을을 구하기 위해 제단을 포기하다니.,,,,,,,,,
18,,,검은로브,,left,,,,그 멍청함 덕에 우리의 작전은 성공했다.,,,,,,,,,
19,,,코카트리스,,right,,,,"카카칵! 이제 무엇을 하면 되는 거냐, 검은 로브?",,,,,,,,,
20,,,검은로브,,left,,,,여기서 놈들을 기다린다. 부서진 제단을 보고 절규하는 놈들을 실컷 감상한 뒤.,,,,,,,,,
21,,,검은로브,,left,,,,우리들의 손으로 녀석들의 숨통을 끊는 거다. 완벽하게!,,,,,,,,,
22,,,코카트리스,,right,,,,아주 좋은 생각이다. 마음에 들어! 카카카칵!,,,,,,,,,
23,,,,,,,,,,,,1,black_in,skip_disable,,,,
