page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;생명의 가르침,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,,,,,,,,,"눈을 감고 포기하려던 찰나, 멀리서 따뜻한 생명의 기운이 느껴졌다.",,narrate,5,,,,,,
4,챕터3,,파워 드래곤,파워드래곤,left,idle,,,이 ... 기운은?,,bold,5,,,,,,
5,,,생명의 근원,,right,idle,,,무한의 힘을 지닌 드래곤이여...,,bold,5,,,,,,
6,,,파워 드래곤,파워드래곤,left,idle,,,당신은... 생명의 정령?,,bold,5,,,,,,
7,,,생명의 근원,,right,idle,,,"진정한 힘은 감추는 것이 아닌, 희생과 헌신, 수호의 의지에서 비롯되는 것.",,bold,5,,,,,,
8,,,생명의 근원,,right,idle,,,무고한 희생을 방관하는 것은 가진 자의 도리를 저버리는 것이니.,,bold,5,,,,,,
9,,,생명의 근원,,right,idle,,,"너의 능력을 두려워하지 말고, 드러내거라.",,bold,5,,,,,,
10,,,생명의 근원,,right,idle,,,두려움을 이겨내는 용기는 이미 네가 가지고 있으니... 눈을 떠라.,,bold,5,,,,,,
