page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;자신을 뛰어넘고 거머쥔 무한의 힘,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,,,,,,,,,무한의 파워드래곤은 주변에 무한의 돌을 띄운 채 파워드래곤의 공격만을 기다렸다.,,narrate,5,,,,,,
4,,,,,,,,,파워드래곤은 무한의 힘을 거머쥔 자신에게 돌진했다.,,narrate,5,,,,,,
5,,,,,,,,,무한의 파워드래곤은 무한의 돌로 붉은 방패를 만들어 파워드래곤의 힘을 방어했다.,,narrate,5,,,,,,
6,,,,,,,,,"그 방패를 깨트리기 위하여 파워드래곤은 백 번이고, 천 번이고 돌진했다.",,narrate,5,,,,,,
7,,,파워 드래곤,파워드래곤,left,idle,,,"더 이상 포기하지도, 두려워하지도, 숨지도 않겠다!",,bold,5,,,,,,
8,,,파워 드래곤,파워드래곤,left,idle,,,내 자신을 뛰어넘어 무한의 힘을 거머쥘 것이다!,,bold,5,,,,,,
9,,,,,,,,,파워드래곤의 포효로 대지와 공기가 부서질 듯 진동했다.,,narrate,5,clear_all,,,,,
10,,,,,,,,,마지막에 온 힘을 다하여 두 주먹이 붉은 방패에 닿았을 때.,,narrate,5,,,,,,
11,,,,,,,,,방패는 단숨에 금이 가 많은 조각으로 나뉘어저 부서졌다.,,narrate,5,,,,,,
12,,,,,,,,,"주변에 쏟아지는 붉은 방패 파편 사이에서, 무한의 파워드래곤은 말했다.",,bold,5,,,,,,
13,,,,,,,,,,,,2,clear_all,white_in,skip_disable,,,
14,,,,,,,,,,,,1,fadeout,skip_disable,,,,
15,파워드래곤스토리5_1,,무한의 파워드래곤,,right,idle,,,"""너는 이미 무한의 힘을 손에 쥐었다.""",,bold,5,,,,,,
16,,,,,,,,,,,,,clear_all,,,,,
17,,,,,,,,,"파워드래곤의 모습은, 자신이 마주한 그 모습과 똑같은 모습이 되어 있었다.",,bold,5,,,,,,
18,,,,,,,,,무한의 힘이 넘치는 자신의 모습 속에서 파워드래곤은 오히려 진정되었다.,,bold,5,,,,,,
19,,,,,,,,,"더는 피하지도, 숨길 필요도 없었다.",,bold,5,,,,,,
20,,,,,,,,,- END -,,narrate,5,,,,,,
