page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;드래곤 테이머와 번개고룡,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,,,,,,,,,소년은 생명의 은인인 남자에게 이름을 묻자 남자는 대답하였다.,,narrate,5,,,,,,
4,번개고룡스토리1_1,,로버트 테일러,,left,idle,,,"내 이름은 '로버트 테일러', 드래곤 테이머야!",,bold,5,,,,,,
5,,,,,,,,,그리고 나의 드래곤인 번개고룡!,,bold,5,,,,,,
6,번개고룡스토리1_1,,,,,,,,소년은 번개고룡을 보며 감동했고 자신이 발견한 드래곤 알을 테일러에게 전해주었다.,,bold,5,clear_char,,,,,
7,,,,,,,,,소문은 빠르게 퍼져 나갔고 왕국의 왕에게까지 보고되었다.,,narrate,5,,,,,,
8,,,,,,,,,왕들은 로버트 테일러와 번개고룡을 회유하면 이노 행성의 왕이 될 수 있다는 꿈에 젖어 들었다.,,narrate,5,,,,,,
9,,,,,,,,,그 후 왕들은 로버트 테일러와 번개고룡을 회유하기 위해 수단과 방법을 가리지 않았다.,,narrate,5,,,,,,
10,,,,,,,,,"부유하고 강한 힘을 가진 왕국은 더 강한 힘을 갖기 위해 혈안이 되었으나,",,narrate,5,,,,,,
11,,,,,,,,,힘이 없는 약소국은 그저 바라만 볼 뿐이었다.,,narrate,5,,,,,,
12,번개고룡스토리1_1,,,,,,,,로버트 테일러와 번개고룡은 그저 바라만 보던 약소국으로 향했다.,,bold,5,,,,,,
13,번개고룡스토리1_1,,,,,,,,이는 대국이 아닌 소국을 수호하여 희생을 막고 세상의 평화를 가져오는 것이 곧 정의라 믿었다.,,bold,5,,,,,,
