page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;정의란 무엇인가?,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,,,,,,,,,소국의 왕은 로버트 테일러를 환대하였고 대국들은 소국을 쉽게 넘볼 수 없게 된다.,,narrate,,,,,,,
4,,,,,,,,,평화가 찾아온 듯했으나 드래곤의 힘을 탐하려는 자들이 언제든 소국에 숨어들어왔다.,,narrate,,,,,,,
5,,,,,,,,,평화는 길지 않았고 언제나 불안했다.,,narrate,,,,,,,
6,,,,,,,,,왕은 불안한 평화가 없어지려면 자신이 모든 나라를 통일시켜야 한다고 믿었다.,,narrate,,,,,,,
7,,,,,,,,,로버트 테일러와 번개고룡은 왕의 뜻이 평화를 위한 길이라 여기며 주변 왕국에 전쟁을 일으킨다.,,narrate,,,,,,,
8,,,,,,,,,전쟁은 무고한 희생으로 이어졌고 이를 지켜본 번개고룡은 정의에 회의감이 들었다.,,narrate,,,,,,,
9,챕터8,,번개고룡,,right,idle,,,"테일러, 이것이 우리가 지키고자 하는 정의인가?",,bold,,,,,,,
10,챕터8,,로버트 테일러,,left,idle,,,평화를 유지하기 위해선 희생은 피할 수 없어.,,bold,,,,,,,
11,챕터8,,번개고룡,,right,idle,,,강한 힘으로 평화를 이루는 것이 아닌 희생 없이 믿음으로 평화를 이루는 게 우리의 정의야!,,bold,,,,,,,
12,챕터8,,로버트 테일러,,left,idle,,,"그래, 맞아... 잊고 있었어, 희생 없는 평화를 바라던 우리의 정의를...",,bold,,,,,,,
13,,,,,,,,,로버트 테일러와 번개고룡은 자신들의 정의를 관철시키며 모습을 감추었다.,,narrate,,,,,,,
