page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;시간의 굴레,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,,,
3,,,,,,,,,'당신의 어둠은 빛이 닿을 수 없는 곳을 지켜주겠죠.',,narrate,,,,,,,
4,,,,,,,,,다크닉스를 깨우는 목소리가 들렸다.,,narrate,,,,,,,
5,,,,,,,,,슬며시 눈을 뜨자 보이는 건 칠흑 같은 어둠뿐,,narrate,,,,,,,
6,,,,,,,,,아무것도 존재하지 않았다.,,narrate,,,,,,,
7,,,,,,,,,칠흑 같은 어둠은 오직 자신의 과거만을 펼쳐주었다.,,narrate,,,,,,,
8,,,,,,,,,"""제발, 제발 도망쳐!!!""",,narrate,,,,,,,
9,,,,,,,,,다크닉스의 간절한 포효는 그 어떤 운명도 바꾸지 못했다.,,narrate,,,,,,,
10,,,,,,,,,잔인한 기억은 계속 이어졌다.,,narrate,,,,,,,
11,,,,,,,,,한 번도 느껴보지 못한 고통...,,narrate,,,,,,,
12,,,,,,,,,그녀를 다시 잃게 되는 미래에 대한 공포 그 자체였다.,,narrate,,,,,,,
13,,,,,,,,,그의 분노는 또다시 영혼을 잠식해가며 운명을 뒤바꿀 복수를 꿈꾸게 하였다.,,narrate,,,,,,,
14,,,,,,,,,분노에서 비롯된 복수는 스스로를 파멸로 이끌고 있었다.,,narrate,,,,,,,
15,,,,,,,,,창조신이여! 나의 빛을 돌려놓아라.,,narrate,,,,,,,
16,,,,,,,,,그렇지 않는다면...,,narrate,,,,,,,
17,프롤로그,,,,,,,,,,,,vrp;scene_4_disappear,,,,,
18,,,,,,,,,,,,,white_in,,,,,
19,,,,,,,,,이 세상 모두 무(無)로 돌리리라.,,narrate,,,,,,,
