page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;절망 속에서도 꺾이지 않은 용기,skip_disable,,,,
2,,,,,,,,,,,,0.3,skip_disable,,,bgm_sorrow,,
3,챕터7,,,,,,,,"그들이 그 다음으로 도착한 곳은, 다가오고 있는 운명이었다.",,narrate,,,,,,,
4,,,거대한 빛,,left,idle,,,"[끔찍한 전쟁이구나, 너무나도 참혹한 전쟁이야…]",,bold_italic,,,,,,,
5,,,,,,,,,세번째 세계는 다크닉스와의 전쟁이 진행중인 세계,,,,,,,,,
6,,,,,,,,,세상의 대부분이 이미 파괴되었으며 전황에 승산은 없어보인다.,,,,,,,,,
7,,,,,,,,,"강력한 드래곤도, 위대한 테이머도 모든것을 포기한 것만 같은 시대…",,,,,,,,,
8,,,고니,,right,idle,,,“아직이다! 이 고니님을 쓰러뜨리기엔 한참 모자라!”,,,,,,,,,
9,,,,,,,,,"하지만 그곳에서, 어떤 소년은 용기를 잃지 않는다.",,,,,,,,,
10,,,,,,,,,,,,1,black_in,skip_disable,,,,
