page,char,t_char_name,char_pos,char_effect,char_ani,t_text,text_type,effect_1,effect_2,effect_3,auto_skip,bg,bgm,bgm_action,sound
1,,,,,,,,hide_all,,,,,,,
2,,,,,,,,show_all,,,0,,,,
3,스마트 드래곤,,left,,,-일반공격-\\n\\n전투에서 드래곤들은 자동으로 공격을 하게 될거야. 드래곤의 공격은 일반공격 외에도\\n 정해진 시간 혹은 조건에 따라 스킬 공격을 하기도 해.,,overlay;black;50,skip_invisible,,,,,,
4,,,,,,,,hide_all,,,,,,,
5,,,,,,,,show_all,,,0,,,,
6,다크닉스,,right,,,[어리석구나. 필멸자여. 나의 공격을 받아보아라.],,overlay;black;50,skip_invisible,,,,,,
7,,,,,,,,hide_all,clear_char,,,,,,
8,,,,,,,,show_all,,,0,,,,
9,스마트 드래곤,,left,,,-드래그 스킬 안내-\\n\\n마나가 충전되면 액티브 스킬을 사용할 수 있어. 드래곤을 직접 터치하거나 \\n화면 하단의 스킬 아이콘을 터치해도 되지만...,,overlay;black;50,skip_invisible,,,,,,
10,스마트 드래곤,,left,,,-드래그 스킬 안내-\\n\\n화면 하단의 스킬 아이콘을 누른 채로 스킬을 사용하고 싶은 곳으로 손가락을 이동하면\\n 더 많은 적을 공격할 수 있어. 또한 각 스킬은 전투를 유리하게 이끌기 위한 여러가지 효과들을 가지고 있어.,,overlay;black;50,skip_invisible,,,,,,
11,스마트 드래곤,,left,,,-드래그 스킬 안내-\\n\\n빙하고룡 부터 시작해볼까? 빙하고룡은 주위를 돌고 있는 얼음조각이 적에게 일정 시간마다 생명력을 감소 시키는 지속피해를 줄 수 있어. 직접 빙하고룡의 드래그 스킬을 사용해 봐!,,overlay;black;51,skip_invisible,,,,,,
12,,,,,,,,hide_all,,,,,,,
13,,,,,,,,show_all,,,0,,,,
14,스마트 드래곤,,left,,,-드래그 스킬 안내-\\n\\n잘하는데?! 다크닉스에게 지속피해가 걸렸어. 최대 생명력에 비례해서 주는 피해이기 때문에 보스전에 아주 유용해.,,overlay;black;50,skip_invisible,,,,,,
15,스마트 드래곤,,left,,,-드래그 스킬 안내-\\n\\n드래곤은 종류에 따라 스킬에 각기 다른 효과를 가지고 있을 뿐 아니라 공격할 수 있는 범위가 달라. 이번엔 적의 방어력을 감소시키면서 원형 범위의 적들에게 피해를 줄 수 있는 파워드래곤의 드래그 스킬을 써보자.,,overlay;black;51,skip_invisible,,,,,,
16,,,,,,,,hide_all,,,,,,,
17,,,,,,,,show_all,,,0,,,,
18,스마트 드래곤,,left,,,-드래그 스킬 안내-\\n\\n잘했어! 다크닉스의 방어력이 감소했어. 이제 모든 공격이 더 많은 피해를 줄 수 있게 되었어.,,overlay;black;50,skip_invisible,,,,,,
19,,,,,,,,hide_all,clear_char,,,,,,
20,,,,,,,,show_all,,,0,,,,
21,다크닉스,,right,,,[생각보다는 제법이구나. 이제는 봐주지 않겠다!],,overlay;black;50,skip_invisible,,,,,,
22,,,,,,,,hide_all,clear_char,,,,,,
23,,,,,,,,show_all,,,0,,,,
24,스마트 드래곤,,left,,,-드래그 스킬 안내-\\n\\n다크닉스의 공격으로 생명력이 많이 줄어들었어. 회복이 필요할 때야. 나는 회복을 시켜주면서 대상 드래곤에게 공격력 증가 효과를 부여해. 스마트 드래곤 스킬 아이콘을 드래그 해서 왼쪽의 우리 편 드래곤에게 사용해줘.,,overlay;black;50,skip_invisible,,,,,,
25,,,,,,,,hide_all,,,,,,,
26,,,,,,,,show_all,,,0,,,,
27,스마트 드래곤,,left,,,-드래그 스킬 안내-\\n\\n정말 잘하는데? 이제 전투를 끝마칠 때야. 드래곤들은 스스로 자신에게 이로운 효과를 걸기도 해. 이로운 효과가 걸렸을 때 스킬을 사용하면 훨씬 큰 피해를 줄 수 있어.,,overlay;black;50,skip_invisible,,,,,,
28,,,,,,,,hide_all,,,,,,,
29,,,,,,,,show_all,,,0,,,,
30,스마트 드래곤,,left,,,-드래그 스킬 안내-\\n\\n번개고룡이 스스로에게 공격속도 증가 효과를 걸었어! 이때야!! 번개고룡의 스킬로 다크닉스를 해치우자!,,overlay;black;50,skip_invisible,,,,,,
31,,,,,,,,hide_all,,,,,,,
