page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;악몽,skip_disable,next_disable,,,
2,챕터1,,,,,,,,,,,0.3,skip_disable,,,bgm_dungeon_special,,
3,,,다크닉스,,right,,,,[필멸자 주제에 건방지구나. 이제는 봐주지 않겠다.],,italic,,,,,,,
4,,,고니,,left,fury,,,"이 자식, 아직도 멀쩡한거야? 하지만 반드시 널 이 고니님의 드래곤으로..",,,,,,,,,
5,,,,,,,,,,,,0.5,flash,,,,,
6,,,고니,,left,fury,,,크윽!,,,1,shaking,,,,,
7,,,고니,,left,fury,disappear_down,,,,,2,skip_disable,,,,,
8,,,,,,,,,,,,0.75,white_in,,,,,
9,,,,,,,,,,,,0.5,fadeout,clear_all,,,,
10,,,다크닉스,,right,,,,"[번개고룡, 나는 아직 너의 대답을 듣지 못했다. 빛의 자손아. 마이아는 어디있나?]",,italic,,,,,,,
11,,,번개고룡,,left,,,,"타락한 영혼아, 너에게 줄 대답 같은 것은 없다!",,,,,,,,,
12,,,다크닉스,,right,,,,[그럼 대답 대신 그 비루한 목숨을 받아가야겠다.],,italic,,,,,,,
13,,,다크닉스,,right,,,,"[아모르의 곁으로 보내주마, 어리석은 형제들이여.]",,italic,,,,,,,
14,,,누리,???,left,,silhouette,,그만 둬!,,,,shaking,,,,,
15,,,,,,,,,,,,2,clear_all,black_in,skip_disable,,,
16,손을내미는누리,,,,,,,,,,,0.5,skip_disable,,,,,
17,,,,,,,,,,,,1,fadeout,skip_disable,,bgm_dungeon_ready,,
18,,,누리,???,left,idle,,,"이봐, 정신이 들어?",,,,,,,,,
19,,,누리,???,left,thought,,,"너, 이곳에 사는 사람 맞지? 그렇지? 여긴 어디야?",,,,,,,,,
20,,,고니,,right,fury,,,으으으…,,,,,,,,,
21,,,고니,,right,fury,,,저 날도마뱀을 내 손으로…,,,,,,,,,
22,,,누리,???,left,thought,,,뭐야? 지금 잠꼬대 하는 거야? 이게 보자보자 하니까! 야!,,,,,,,,,
23,,,스마트 드래곤,,right,idle,,,"누리 님, 아까 둘러보니 저쪽 마을이 보이더군요. 일단 거기로 가는 게 좋겠습니다만.",,,,,,,,,
24,,,누리,,left,idle,,,"그래, 그게 낫겠다. 번개고룡이라고 했나? 같이 저 둔탱이 녀석 좀 데리고 가자.",,,,,,,,,
25,,,,,,,,,,,,2,clear_all,black_in,skip_disable,,,
26,챕터12,,,,,,,,,,,0.5,skip_disable,,,,,
27,,,,,,,,,,,,1,fadeout,skip_disable,,bgm_dungeon_boss,,
28,,,검은로브,,left,idle,,,기다리고 있었습니다. 위대한 어둠의 전도자시여.,,,,,,,,,
29,,,검은로브 보스,,right,idle,,,"그래, 오랜 기다림도 이제 곧 끝이구나.",,,,,,,,,
30,,,검은로브 보스,,right,fury,,,서둘러라. 빛의 종자들이 나타나면 성가셔질 테니.,,,,,,,,,
31,,,검은로브,,left,idle,,,알겠습니다.,,,,,,,,,
32,,,,,,,,,,,,1,black_in,skip_disable,,,,
