page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,r_scen,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,bgm,bgm_action,sound
1,,,,,,,,,,,,3,title;악몽,skip_disable,,,,
2,챕터1,,,,,,,,,,,0.3,skip_disable,,,bgm_dungeon_special,,
3,,,고니,,left,idle,,,"응? 여긴 어디지? 어라, 번개고룡?",,,,,,,,,
4,,,번개고룡,,right,,,,고니? 네가 왜 여기 있는 거지?,,,,,,,,,
5,,,고니,,left,thought,,,글쎄... 근데 번개고룡.,,,,,,,,,
6,,,,,,,,,너 언제 이렇게 컸냐? 그리고 저 드래곤들은 뭐야?,,,,,,,,,
7,,,번개고룡,,right,,,,길게 설명할 시간이 없다. 어서 여길 벗어나야…,,,,,,,,,
8,,,다크닉스,,right,,,,"[나는 아직 대답을 듣지 못했다. 말하라, 마이아는 어디에 있지?]",,italic,,,,,,,
9,,,고니,,left,thought,,,"우와, 저 드래곤은 뭐야? 엄청 쎄 보이는데? 거기 너, 나의 드래곤이 되는 게 어때?",,,,,,,,,
10,,,다크닉스,,right,,,,[인간… 인가?],,italic,,,,,,,
11,,,고니,,left,fury,,,"헤헤, 이 몸으로 말씀 드리자면 장차 드래곤테이머 마스터가 되실 고니 님이시라고!",,,,,,,,,
12,,,다크닉스,,right,,,,[물러나라. 하등한 필멸자 따위에게 볼 일은 없다.],,italic,,,,,,,
13,,,고니,,left,fury,,,뭐? 하등? 이 시커먼 날도마뱀 자식이 날 뭘로 보고! 당장 네놈을 혼내주마!!,,,,,,,,,
14,,,,,,,,,,,,1,black_in,skip_disable,,,,
