key,type,res,r_desc
누리,tamer_i,res/character/tamer/nuri_i/nuri_i.spine,누리 일러스트 리소스
모코지,tamer_i,res/character/tamer/mokoji_i/mokoji_i.spine,모코지 일러스트 리소스
케사스,tamer_i,res/character/tamer/kesath_i/kesath_i.spine,케사스 일러스트 리소스
고니,tamer_i,res/character/tamer/goni_i/goni_i.spine,고니 일러스트 리소스
두른,tamer_i,res/character/tamer/durun_i/durun_i.spine,두른 일러스트 리소스
데데,tamer_i,res/character/tamer/dede_i/dede_i.spine,데데 일러스트 리소스
유리아,tamer_i,res/character/npc/yuria/yuria.spine,
아라한,tamer_i,res/character/npc/arahan/arahan.spine,
나르비,tamer_i,res/character/npc/narvi/narvi.spine,
마이아 아오라,tamer_i,,
번개고룡,dragon,res/character/dragon/lightningdragon_fire_03/lightningdragon_fire_03.spine,
스마트 드래곤,dragon,res/character/dragon/smartdragon_earth_03/smartdragon_earth_03.spine,
오르페우스,dragon,res/character/dragon/orpheusdragon_earth_03/orpheusdragon_earth_03.spine,
가루다,dragon,res/character/dragon/garuda_fire_03/garuda_fire_03.spine,
사이커,dragon,res/character/dragon/psykerdragon_water_03/psykerdragon_water_03.spine,
시타엘,dragon,res/character/dragon/sitael_light_03/sitael_light_03.spine,
고대신룡,dragon,res/character/dragon/godaeshinryong_light_03/godaeshinryong_light_03.spine,고대신룡 성룡
작은 용,dragon,res/character/dragon/godaeshinryong_light_01/godaeshinryong_light_01.spine,고대신룡 해치
태초의 고대신룡,dragon,res/character/dragon/origingoddragon_light_03/origingoddragon_light_03.spine,
빙하고룡,dragon,res/character/dragon/frostdragon_water_03/frostdragon_water_03.spine,
파워 드래곤,dragon,res/character/dragon/powerdragon_earth_03/powerdragon_earth_03.spine,
거대한 빛,dragon,res/character/npc/huge_light/huge_light.spine,
다크닉스1,dragon,res/character/dragon/darknix_dark_03/darknix_dark_03.spine,스토리 던전용 다크닉스
다크닉스2,dragon,,리소스 미노출용 다크닉스
고대신룡1,dragon,,리소스 미노출용 고대신룡
파멸의 다크닉스,dragon,,리소스 미노출용 다크닉스
번개고룡,dragon,res/character/dragon/lightningdragon_fire_03/lightningdragon_fire_03.spine,
전율의 번개고룡,dragon,res/character/dragon/majesticlightningdragon_fire_03/majesticlightningdragon_fire_03.spine,
무한의 파워드래곤,dragon,res/character/dragon/infinitepowerdragon_earth_03/infinitepowerdragon_earth_03.spine,
퀸즈 스네이크,monster,res/scene/stage1_boss_queenssnake.png,
검은로브,monster,res/scene/blackrobe_01.png,
검은로브 보스,monster,res/scene/blackrobeboss_01.png,
다크닉스,monster,res/character/monster/boss_darknix_dark/boss_darknix_dark.spine,
드레이크,monster,res/scene/boss_drake_water.png,
심해 상어 제독,monster,res/scene/subboss_sharkadmiral_water.png,
다람쥐,monster,res/scene/stage3_squirrel.png,
코카트리스,monster,res/scene/boss_cockatrice_fire.png,
밤사냥꾼,monster,res/scene/boss_cockatrice2_fire.png,코카트리스 색베리
고대 문자,monster,res/scene/stage5_ancient_word.png,
정예 듀라한,monster,res/scene/subboss_dullahan_dark.png,
부활한 다크닉스,monster,res/character/monster/boss_darknix2_dark/boss_darknix2_dark.spine,
퀸즈 라미아,monster,res/scene/boss_queenssnake2_earth.png,
심연의 군주,monster,res/scene/boss_drake2_water.png,
맹독 거미여왕,monster,res/scene/boss_spider_queen2_fire.png,
종말예언장치,monster,res/scene/boss_world_order_machine2_light.png,
용암 거미여왕,monster,res/scene/boss_spider_queen_fire.png,
질서유지장치,monster,res/scene/boss_world_order_machine_light.png,
심해상어전사,monster,res/scene/elite_sharkwarrior_water.png,
빛의 사제,monster,res/scene/priestoflight.png,
로버트 테일러,monster,res/scene/tayler.png,
생명의 근원,monster,res/scene/thesourceoflife.png,
로비,bg,res/scene/lobby.png,
???,monster,,
회상,bg,res/scene/lobby_gray.png,
스테이지1,bg,res/bg/ui/dragon_bg_earth/dragon_bg_earth.vrp,
스테이지6,bg,res/scene/bg_chapter_12,챕터12와 중복
막,bg,res/bg/ui_bg_01.png,
프롤로그,bg,res/ui/a2d/intro/intro.vrp,
챕터1,bg,res/scene/bg_chapter_01.png,
챕터2,bg,res/scene/bg_chapter_02.png,
챕터3,bg,res/scene/bg_chapter_03.png,
챕터4,bg,res/scene/bg_chapter_04.png,
챕터5,bg,res/scene/bg_chapter_05.png,
챕터6,bg,res/scene/bg_chapter_06.png,
챕터7,bg,res/scene/bg_chapter_07.png,
챕터8,bg,res/scene/bg_chapter_08.png,
챕터9,bg,res/scene/bg_chapter_09.png,
챕터10,bg,res/scene/bg_chapter_10.png,
챕터11,bg,res/scene/bg_chapter_11.png,
챕터12,bg,res/scene/bg_chapter_12.png,
손을내미는누리,bg,res/scene/1_1b.png,
빛의순례길,bg,res/scene/1_6b.png,
사대신룡과다크닉스,bg,res/scene/2_1a.png,
테이머암즈,bg,res/scene/2_6a.png,
다크닉스의기록,bg,res/scene/2_7b.png,
습격당한마을,bg,res/scene/3_6a.png,
데데를위로하는고니,bg,res/scene/3_6b.png,
예지의석판,bg,res/scene/3_7b.png,
거대벌레,bg,res/scene/4_1a.png,
빛의기둥,bg,res/scene/4_6a.png,
어둠의의식,bg,res/scene/4_6b.png,
어둠의수호자,bg,res/scene/4_7b.png,
예언의석판,bg,res/scene/7_1b.png,
움직이는검은로브의사도,bg,res/scene/7_6b.png,
첫번째빛의조각,bg,res/scene/7_7b.png,
눈을뜨는다크닉스,bg,res/scene/11_4b.png,
빛과어둠의수호자,bg,res/scene/6_6b_1.png,
추락하는어둠의수호자,bg,res/scene/6_6b_2.png,
엉망이된사진속의인물들,bg,res/scene/6_6b_3.png,
토벌 공문,bg,res/scene/event_incarnation_of_sins.png,
태초의 고대신룡 노출,bg,res/scene/bg_event_1/bg_event_1.spine,
다크닉스스토리인트로,bg,res/scene/bg_darknixstory_intro_01.png,
다크닉스스토리1_1,bg,res/scene/bg_darknixstory_1_01.png,
다크닉스스토리3_1,bg,res/scene/bg_darknixstory_3_01.png,
다크닉스스토리3_2,bg,res/scene/bg_darknixstory_3_02.png,
