page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,effect_5,bgm,bgm_action,sound
1,,,,,,,,고대의 탑은 차례로 층을 올라가며 테이머님의 드래곤들이 얼마나 강한지 시험할 수 있는 모드입니다.,bot,,,,,black_layer;off,skip_disable,,,
2,,,,,,,,"고대의 탑은 전용 입장권을 1개 소비하여 플레이 가능하며, 입장권은 30분마다 충전됩니다.",bot,,,stencil;stc_stamina,,black_layer;on,skip_disable,,,
3,,,,,,,,고대의 탑 플레이 시 받게 되는 보상입니다. 이미 클리어 한 층을 다시 플레이할 수도 있으나 처음 클리어할 때보다는 적은 보상이 제공됩니다.,top,,,stencil;stc_reward,,,skip_disable,,,
4,,,,,,,,해당 층에서 등장하는 몬스터들의 정보입니다. 아이콘을 클릭하시면 몬스터들이 사용하는 스킬 정보를 확인할 수 있습니다.,top,,,stencil;stc_monster,,,skip_disable,,,
5,,,,,,,,고대의 탑은 2주마다 한번씩 초기화됩니다.,bot,,,stencil;stc_time,,,skip_disable,,,
6,,,,,,,,고대의 탑은 매 층마다 클리어 시간 등의 기준에 따라 스코어를 기록합니다.,bot,,,stencil;stc_info,,,skip_disable,,,
7,,,,,,,,각 층 별 점수의 총합을 기준으로 고대의 탑 랭킹이 집계 됩니다.,bot,,,stencil;release,,,skip_disable,,,
8,,,,,,,,시즌 랭킹 버튼을 눌러 보세요.,bot,,,pointing;rankingTabBtn,activate;rankingTabBtn,next_disable,skip_disable,,,
9,,,,,,,,,,,0,pointing;release,activate;release,next_enable,skip_disable,,,
10,,,,,,,,고대의탑 초기화 시점에서의 최종 랭킹 결과에 따라 아래 리스트에서 확인할 수 있는 보상이 지급됩니다.,top,,,stencil;stc_ranking,,,skip_disable,,,
11,,,,,,,,랭킹 보상 버튼을 눌러 보세요.,bot,,,pointing;rewardListRadioBtn,activate;rewardListRadioBtn,next_disable,skip_disable,,,
12,,,,,,,,,,,0,pointing;release,activate;release,next_enable,skip_disable,,,
13,,,,,,,,"고대의탑에서 높은 점수를 획득해, 많은 보상을 획득하고 당신의 강함을 증명해 보세요!",bot,,,stencil;stc_rewardList,,black_layer;off,skip_disable,,,
