page,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,effect_4,bgm,bgm_action,sound
1,,,,,,,,클랜에 가입하신걸 축하드립니다. 이제 여러 메뉴를 알려드릴게요.,bot,,,black_layer;off,,,skip_disable,,,
2,,,,,,,,동료 테이머들의 정보는 이곳에서 확인할 수 있습니다.,top,,,black_layer;on,stencil;memberNode,,skip_disable,,,
3,,,,,,,,,,,0,stencil;release,,,skip_disable,,,
4,,,,,,,,"매일매일 클랜 메뉴를 플레이하실 때마다, 출석 보상을 얻게 됩니다.",top,,,pointing;rewardBtn,activate;rewardBtn,next_disable,skip_disable,,,
5,,,,,,,,,,,0,pointing;release,activate;release,next_enable,skip_disable,,,
6,,,,,,,,전날 많은 인원이 플레이할수록 보상이 좋아집니다.,bot,,,pointing;closeBtn,activate;closeBtn,next_disable,skip_disable,,,
7,,,,,,,,,,,0,pointing;release,activate;release,next_enable,skip_disable,,,
8,,,,,,,,클랜들간 고대의 탑과 콜로세움 경쟁이 가능합니다. 확인해볼까요.,bot,,,pointing;rankTabBtn,activate;rankTabBtn,next_disable,skip_disable,,,
9,,,,,,,,,,,0,pointing;release,activate;release,next_enable,skip_disable,,,
10,,,,,,,,클랜원들의 성적이 좋을 수록 클랜이 성적이 올라갑니다.,bot,,,black_layer;on,,,skip_disable,,,
11,,,,,,,,성적이 올라가면 시즌이 종료될때 클랜 코인을 보상으로 받을 수 있습니다.,bot,,,black_layer;on,,,skip_disable,,,
12,,,,,,,,자세한 보상은 고대의 탑과 콜로세움 메뉴의 랭킹 보상 정보를 확인해보세요.,bot,,,pointing;clanTabBtn,activate;clanTabBtn,next_disable,skip_disable,,,
13,,,,,,,,,,,0,pointing;release,activate;release,next_enable,skip_disable,,,
14,,,,,,,,클랜 콘텐츠는 꾸준히 업데이트 될 예정이오니 앞으로도 많은 관심 바랍니다.,bot,,,black_layer;off,,,skip_disable,,,
