page,save,goto,t_text,text_pos,text_type,auto_skip,effect_1,effect_2,effect_3,effect_4,effect_5,bg,illustration,char,t_char_name,char_pos,char_ani,char_effect,bgm,bgm_action,sound
1,,,"게임을 진행하다 보면, 이런  {@yellow}마스터의 길{@default} 알림 메시지를 받게 됩니다.",top,,,,,,black_layer;off,skip_disable,,,,,,,,,,
2,101,,마스터의 길 임무를 클리어 하면 다양한 보상을 얻을 수 있다고 합니다.,top,,,,,,,skip_disable,,,,,,,,,,
3,,101,이번엔 영웅의 알을 보상으로 준다고 하네요!,top,,,pointing;rewardBtn,activate;rewardBtn,next_disable,black_layer;on,skip_disable,,,,,,,,,,
4,,,,,,0,pointing;release,activate;release,,,skip_disable,,,,,,,,,,
5,,,,,,0.5,clear_text,,next_disable,black_layer;off,skip_disable,,,,,,,,,,
6,102,,영웅의 알이 지급되었습니다!,top,,,,,,,skip_disable,,,,,,,,,,
7,,,이참에 두 번째 임무도 바로 진행해볼까요?,,,,pointing;okBtn,activate;okBtn,next_disable,black_layer;on,skip_disable,,,,,,,,,,
8,,,,,,0,pointing;release,activate;release,,black_layer;off,skip_disable,,,,,,,,,,
9,,,,,,,wait,,next_disable,touch_block;off,skip_disable,,,,,,,,,,
10,,,,,,0,,,next_disable,touch_block;on,skip_disable,,,,,,,,,,
11,,,방금 받은 드래곤의 알을 부화하는 임무입니다.,top,,,,,,,skip_disable,,,,,,,,,,
12,,,{@yellow}부화소{@default}로 이동해 임무를 진행합시다!,,,,pointing;questLinkBtn,activate;questLinkBtn,next_disable,black_layer;on,skip_disable,,,,,,,,,,
13,,,,,,,pointing;remove,activate;remove,next_disable,step_close,,,,,,,,,,,
14,,102,,,,0.5,clear_text,,next_disable,black_layer;off,skip_disable,,,,,,,,,,
15,,,영웅의 알이 여기 있네요! 테이머님이 얻게 되는 모든 드래곤 알은 \\n여기 {@yellow}부화소{@default}에서 부화시킬 수 있습니다.,bot,,,,,,,skip_disable,,,,,,,,,,
16,,,"한 번 영웅의 알을 부화시켜 볼까요?\\n어떤 드래곤이 나올 지, 두근두근 기대가 됩니다!",top,,,pointing;tutorialEggPicker,activate;tutorialEggPicker,next_disable,black_layer;on,skip_disable,,,,,,,,,,
17,,,,,,0,pointing;release,activate;release,next_disable,black_layer;off,skip_disable,,,,,,,,,,
18,103,,,,,0.5,clear_text,,next_disable,,skip_disable,,,,,,,,,,
19,,,,,,,wait,,next_disable,touch_block;off,skip_disable,,,,,,,,,,
20,,,,,,0,,,next_disable,touch_block;on,skip_disable,,,,,,,,,,
21,,,빛 속성의 영웅 드래곤을 얻었습니다!!!,bot,,,,,,,skip_disable,,,,,,,,,,
22,,,"빛 속성은 매우 얻기 힘든 속성인데, 이렇게 좋은 드래곤을 얻게 됐다니 정말 행운입니다.",top,,,pointing;okBtn,activate;okBtn,next_disable,black_layer;on,skip_disable,,,,,,,,,,
23,,,,,,0,pointing;release,activate;release,,black_layer;off,skip_disable,,,,,,,,,,
24,,103,,,,0.5,clear_text,,next_disable,black_layer;off,skip_disable,,,,,,,,,,
25,,,이번 임무도 멋지게 완료했네요. 마스터의 길 보상을 받아볼까요?,top,,,pointing;rewardBtn,activate;rewardBtn,next_disable,black_layer;on,skip_disable,,,,,,,,,,
26,,,,,,0,pointing;release,activate;release,,black_layer;off,skip_disable,,,,,,,,,,
27,104,,,,,0,,,,,skip_disable,,,,,,,,,,
28,,,마스터의 길을 꾸준히 따라간다면 테이머님의 성장에 큰 도움이 될겁니다.,top,,,,,,,skip_disable,,,,,,,,,,
29,,,그새 테이머님의 드래곤들도 더 강해진 것 같은데요?,top,,,pointing;okBtn,activate;okBtn,next_disable,black_layer;on,skip_disable,,,,,,,,,,
30,,,,,,0,pointing;release,activate;release,,,skip_disable,,,,,,,,,,
31,,,,,,,wait,,next_disable,touch_block;off,skip_disable,,,,,,,,,,
32,,,,,,0,,,next_disable,touch_block;on,skip_disable,,,,,,,,,,
33,,,새로운 드래곤도 얻었으니 전투를 통해 얼마나 강해졌는지 확인해봅시다!,top,,,pointing;questLinkBtn,activate;questLinkBtn,next_disable,black_layer;on,skip_disable,,,,,,,,,,
34,,,,,,,pointing;remove,activate;remove,next_disable,step_close,,,,,,,,,,,
35,,104,,,,0,,,,,,,,,,,,,,,
36,,,그전에 잠깐! 모험에 앞서 새로운 드래곤의 배치를 잊어서는 안 되죠.\\n{@yellow}추천 배치{@default} 버튼을 누르면 현재 스테이지에 가장 적합한 드래곤이 자동으로 배치됩니다.,bot,,,,,,,skip_disable,,,,,,,,,,
37,,,{@yellow}추천 배치{@default}를 눌러보세요.,bot,,,pointing;autoBtn,activate;autoBtn,next_disable,black_layer;on,skip_disable,,,,,,,,,,
38,,,,,,0,pointing;release,activate;release,next_enable,black_layer;off,skip_disable,,,,,,,,,,
39,,,,,,0,,,,,skip_disable,,,,,,,,,,
40,,,훨씬 강력한 덱이 꾸려졌는걸요?\\n전투를 통해 확인해 봅시다!,top,,,pointing;startBtn,activate;startBtn,next_disable,black_layer;on,skip_disable,,,,,,,,,,
41,,,,,,0,pointing;release,activate;release,,,,,,,,,,,,,
