stage,reward_first,reward_repeat,bonus_attr,reward_first_fire,reward_repeat_fire,reward_first_water,reward_repeat_water,reward_first_earth,reward_repeat_earth,reward_first_light,reward_repeat_light,reward_first_dark,reward_repeat_dark
1401001,gold;2000,gold;1200,,gold;30000,gold;1200,gold;30000,gold;1200,gold;30000,gold;1200,gold;30000,gold;1200,gold;30000,gold;1200
1401002,gold;4000,gold;1200,,gold;35000,gold;1200,gold;35000,gold;1200,gold;35000,gold;1200,gold;35000,gold;1200,gold;35000,gold;1200
1401003,gold;6000,gold;1800,,gold;40000,gold;1800,gold;40000,gold;1800,gold;40000,gold;1800,gold;40000,gold;1800,gold;40000,gold;1800
1401004,gold;8000,gold;2400,,gold;45000,gold;2400,gold;45000,gold;2400,gold;45000,gold;2400,gold;45000,gold;2400,gold;45000,gold;2400
1401005,cash;100,gold;3000,,staminas_st;200,gold;3000,staminas_st;200,gold;3000,staminas_st;200,gold;3000,staminas_st;200,gold;3000,staminas_st;200,gold;3000
1401006,gold;10000,gold;3600,,gold;50000,gold;3600,gold;50000,gold;3600,gold;50000,gold;3600,gold;50000,gold;3600,gold;50000,gold;3600
1401007,gold;12000,gold;3600,,gold;55000,gold;3600,gold;55000,gold;3600,gold;55000,gold;3600,gold;55000,gold;3600,gold;55000,gold;3600
1401008,gold;14000,gold;4200,,gold;60000,gold;4200,gold;60000,gold;4200,gold;60000,gold;4200,gold;60000,gold;4200,gold;60000,gold;4200
1401009,gold;16000,gold;4800,,gold;65000,gold;4800,gold;65000,gold;4800,gold;65000,gold;4800,gold;65000,gold;4800,gold;65000,gold;4800
1401010,staminas_st;100,gold;5400,,703009;1,gold;5400,703008;1,gold;5400,703007;1,gold;5400,703010;1,gold;5400,703011;1,gold;5400
1401011,gold;20000,gold;6000,,gold;70000,gold;6000,gold;70000,gold;6000,gold;70000,gold;6000,gold;70000,gold;6000,gold;70000,gold;6000
1401012,gold;22000,gold;6000,,gold;75000,gold;6000,gold;75000,gold;6000,gold;75000,gold;6000,gold;75000,gold;6000,gold;75000,gold;6000
1401013,gold;24000,gold;6600,,gold;80000,gold;6600,gold;80000,gold;6600,gold;80000,gold;6600,gold;80000,gold;6600,gold;80000,gold;6600
1401014,gold;26000,gold;7200,,gold;85000,gold;7200,gold;85000,gold;7200,gold;85000,gold;7200,gold;85000,gold;7200,gold;85000,gold;7200
1401015,cash;200,gold;7800,,700017;12600,gold;7800,700017;12600,gold;7800,700017;12600,gold;7800,700017;12600,gold;7800,700017;12600,gold;7800
1401016,gold;28000,gold;8400,,gold;90000,gold;8400,gold;90000,gold;8400,gold;90000,gold;8400,gold;90000,gold;8400,gold;90000,gold;8400
1401017,gold;30000,gold;8400,,gold;95000,gold;8400,gold;95000,gold;8400,gold;95000,gold;8400,gold;95000,gold;8400,gold;95000,gold;8400
1401018,gold;32000,gold;9000,,gold;100000,gold;9000,gold;100000,gold;9000,gold;100000,gold;9000,gold;100000,gold;9000,gold;100000,gold;9000
1401019,gold;34000,gold;9600,,gold;105000,gold;9600,gold;105000,gold;9600,gold;105000,gold;9600,gold;105000,gold;9600,gold;105000,gold;9600
1401020,703016;2,gold;10200,,703004;1,gold;10200,703004;1,gold;10200,703004;1,gold;10200,703004;1,gold;10200,703004;1,gold;10200
1401021,gold;40000,gold;10800,,gold;110000,gold;10800,gold;110000,gold;10800,gold;110000,gold;10800,gold;110000,gold;10800,gold;110000,gold;10800
