stage,r_value,atk_multi,def_multi,hp_multi,drag_cool_add,atk_multi_debuff,def_multi_debuff,hp_multi_debuff,drag_cool_add_debuff
1500001,"attr;fire;atk_multi;5,attr;fire;def_multi;5,attr;fire;hp_multi;5,attr;fire;drag_cool_add;0,attr;water;atk_multi_debuff;-5,attr;water;def_multi_debuff;-5,attr;water;hp_multi_debuff;-5,attr;water;drag_cool_add_debuff;0",5,5,5,0,-5,-5,-5,0
1500002,"attr;earth;atk_multi;5,attr;earth;def_multi;5,attr;earth;hp_multi;5,attr;earth;drag_cool_add;0,attr;fire;atk_multi_debuff;-5,attr;fire;def_multi_debuff;-5,attr;fire;hp_multi_debuff;-5,attr;fire;drag_cool_add_debuff;0",5,5,5,0,-5,-5,-5,0
1500003,"attr;water;atk_multi;5,attr;water;def_multi;5,attr;water;hp_multi;5,attr;water;drag_cool_add;0,attr;earth;atk_multi_debuff;-5,attr;earth;def_multi_debuff;-5,attr;earth;hp_multi_debuff;-5,attr;earth;drag_cool_add_debuff;0",5,5,5,0,-5,-5,-5,0
1500004,"attr;dark;atk_multi;5,attr;dark;def_multi;5,attr;dark;hp_multi;5,attr;dark;drag_cool_add;0,attr;fire;atk_multi_debuff;-2.5,attr;fire;def_multi_debuff;-2.5,attr;fire;hp_multi_debuff;-2.5,attr;fire;drag_cool_add_debuff;0,attr;earth;atk_multi_debuff;-2.5,attr;earth;def_multi_debuff;-2.5,attr;earth;hp_multi_debuff;-2.5,attr;earth;drag_cool_add_debuff;0,attr;water;atk_multi_debuff;-2.5,attr;water;def_multi_debuff;-2.5,attr;water;hp_multi_debuff;-2.5,attr;water;drag_cool_add_debuff;0,attr;light;atk_multi_debuff;-2.5,attr;light;def_multi_debuff;-2.5,attr;light;hp_multi_debuff;-2.5,attr;light;drag_cool_add_debuff;0",5,5,5,0,-5,-5,-5,0
1500005,"attr;light;atk_multi;5,attr;light;def_multi;5,attr;light;hp_multi;5,attr;light;drag_cool_add;0,attr;fire;atk_multi_debuff;-2.5,attr;fire;def_multi_debuff;-2.5,attr;fire;hp_multi_debuff;-2.5,attr;fire;drag_cool_add_debuff;0,attr;earth;atk_multi_debuff;-2.5,attr;earth;def_multi_debuff;-2.5,attr;earth;hp_multi_debuff;-2.5,attr;earth;drag_cool_add_debuff;0,attr;water;atk_multi_debuff;-2.5,attr;water;def_multi_debuff;-2.5,attr;water;hp_multi_debuff;-2.5,attr;water;drag_cool_add_debuff;0,attr;dark;atk_multi_debuff;-2.5,attr;dark;def_multi_debuff;-2.5,attr;dark;hp_multi_debuff;-2.5,attr;dark;drag_cool_add_debuff;0",5,5,5,0,-5,-5,-5,0
1500006,"attr;fire;atk_multi;5,attr;fire;def_multi;5,attr;fire;hp_multi;5,attr;fire;drag_cool_add;0,attr;water;atk_multi_debuff;-5,attr;water;def_multi_debuff;-5,attr;water;hp_multi_debuff;-5,attr;water;drag_cool_add_debuff;0",5,5,5,0,-5,-5,-5,0
1500007,"attr;earth;atk_multi;5,attr;earth;def_multi;5,attr;earth;hp_multi;5,attr;earth;drag_cool_add;0,attr;fire;atk_multi_debuff;-5,attr;fire;def_multi_debuff;-5,attr;fire;hp_multi_debuff;-5,attr;fire;drag_cool_add_debuff;0",5,5,5,0,-5,-5,-5,0
1500008,"attr;water;atk_multi;5,attr;water;def_multi;5,attr;water;hp_multi;5,attr;water;drag_cool_add;0,attr;earth;atk_multi_debuff;-5,attr;earth;def_multi_debuff;-5,attr;earth;hp_multi_debuff;-5,attr;earth;drag_cool_add_debuff;0",5,5,5,0,-5,-5,-5,0
1500009,"attr;dark;atk_multi;5,attr;dark;def_multi;5,attr;dark;hp_multi;5,attr;dark;drag_cool_add;0,attr;fire;atk_multi_debuff;-2.5,attr;fire;def_multi_debuff;-2.5,attr;fire;hp_multi_debuff;-2.5,attr;fire;drag_cool_add_debuff;0,attr;earth;atk_multi_debuff;-2.5,attr;earth;def_multi_debuff;-2.5,attr;earth;hp_multi_debuff;-2.5,attr;earth;drag_cool_add_debuff;0,attr;water;atk_multi_debuff;-2.5,attr;water;def_multi_debuff;-2.5,attr;water;hp_multi_debuff;-2.5,attr;water;drag_cool_add_debuff;0,attr;light;atk_multi_debuff;-2.5,attr;light;def_multi_debuff;-2.5,attr;light;hp_multi_debuff;-2.5,attr;light;drag_cool_add_debuff;0",5,5,5,0,-5,-5,-5,0
1500010,"attr;light;atk_multi;5,attr;light;def_multi;5,attr;light;hp_multi;5,attr;light;drag_cool_add;0,attr;fire;atk_multi_debuff;-2.5,attr;fire;def_multi_debuff;-2.5,attr;fire;hp_multi_debuff;-2.5,attr;fire;drag_cool_add_debuff;0,attr;earth;atk_multi_debuff;-2.5,attr;earth;def_multi_debuff;-2.5,attr;earth;hp_multi_debuff;-2.5,attr;earth;drag_cool_add_debuff;0,attr;water;atk_multi_debuff;-2.5,attr;water;def_multi_debuff;-2.5,attr;water;hp_multi_debuff;-2.5,attr;water;drag_cool_add_debuff;0,attr;dark;atk_multi_debuff;-2.5,attr;dark;def_multi_debuff;-2.5,attr;dark;hp_multi_debuff;-2.5,attr;dark;drag_cool_add_debuff;0",5,5,5,0,-5,-5,-5,0
