eid,grade,lv,max_exp,giving_exp,req_gold_per_mtrl,req_gold_per_lvup,sell_gold,max_exp_myth,req_gold_per_lvup_myth,giving_exp_myth
101,1,1,100,4000,500,13,500,1000,130,40000
102,1,2,145,4010,500,18,550,1450,180,40100
103,1,3,210,4031,500,26,600,2100,260,40310
104,1,4,305,4062,500,38,650,3050,380,40620
105,1,5,442,4106,500,55,700,4420,550,41060
106,1,6,641,4170,500,80,750,6410,800,41700
107,1,7,929,4263,500,116,800,9290,1160,42630
108,1,8,1347,4398,500,168,850,13470,1680,43980
109,1,9,1953,4593,500,244,900,19530,2440,45930
110,1,10,,4593,500,,950,0,0,45930
201,2,1,200,4000,1500,25,1000,2000,250,40000
202,2,2,227,4020,1500,28,1100,2270,280,40200
203,2,3,257,4043,1500,32,1200,2570,320,40430
204,2,4,291,4069,1500,36,1300,2910,360,40690
205,2,5,330,4098,1500,41,1400,3300,410,40980
206,2,6,374,4131,1500,47,1500,3740,470,41310
207,2,7,424,4168,1500,53,1600,4240,530,41680
208,2,8,480,4210,1500,60,1700,4800,600,42100
209,2,9,544,4258,1500,68,1800,5440,680,42580
210,2,10,616,4312,1500,77,1900,6160,770,43120
211,2,11,698,4374,1500,87,2000,6980,870,43740
212,2,12,791,4444,1500,99,2100,7910,990,44440
213,2,13,896,4523,1500,112,2200,8960,1120,45230
214,2,14,1015,4613,1500,127,2300,10150,1270,46130
215,2,15,1150,4715,1500,144,2400,11500,1440,47150
216,2,16,1303,4830,1500,163,2500,13030,1630,48300
217,2,17,1476,4960,1500,185,2600,14760,1850,49600
218,2,18,1672,5108,1500,209,2700,16720,2090,51080
219,2,19,1894,5275,1500,237,2800,18940,2370,52750
220,2,20,,5464,1500,,2900,0,0,54640
301,3,1,300,10000,4000,38,2500,3000,380,100000
302,3,2,331,10030,4000,41,2750,3310,410,100300
303,3,3,365,10063,4000,46,3000,3650,460,100630
304,3,4,402,10100,4000,50,3250,4020,500,101000
305,3,5,443,10140,4000,55,3500,4430,550,101400
