slid,sid,r_origin_rarity,r_origin_s_name,r_origin_power_rate,r_goal_powerate,lv,r_dragon,t_name,r_chance_type,r_count_power_rate,col_01,mod_01,val_01,t_desc,col_02,mod_02,val_02,col_03,mod_03,val_03,col_04,mod_04,val_04,col_05,mod_05,val_05
20221101,202211,legend,드래그 스킬,486,243,1,땅 번개고룡,뇌룡포,active,0,,,,강화 효과 없음,,,,,,,,,,,,
20221102,202211,legend,드래그 스킬,486,243,2,땅 번개고룡,뇌룡포,active,5,power_rate,add,49,스킬의 피해량 10% 증가,,,,,,,,,,,,
20221103,202211,legend,드래그 스킬,486,243,3,땅 번개고룡,뇌룡포,active,5,power_rate,add,49,스킬의 피해량 20% 증가,,,,,,,,,,,,
20221104,202211,legend,드래그 스킬,486,243,4,땅 번개고룡,뇌룡포,active,5,power_rate,add,49,스킬의 피해량 30% 증가,,,,,,,,,,,,
20221105,202211,legend,드래그 스킬,486,243,5,땅 번개고룡,뇌룡포,active,2.5,power_rate,add,97,스킬의 피해량 50% 증가,,,,,,,,,,,,
20222101,202221,legend,패시브 1,180,90,1,땅 번개고룡,고룡의 권능,indie_time,5,,,,강화 효과 없음,,,,,,,,,,,,
20222102,202221,legend,패시브 1,180,90,2,땅 번개고룡,고룡의 권능,indie_time,5,power_rate,add,18,스킬의 피해량 10% 증가,,,,,,,,,,,,
20222103,202221,legend,패시브 1,180,90,3,땅 번개고룡,고룡의 권능,indie_time,5,power_rate,add,18,스킬의 피해량 20% 증가,,,,,,,,,,,,
20222104,202221,legend,패시브 1,180,90,4,땅 번개고룡,고룡의 권능,indie_time,5,power_rate,add,18,스킬의 피해량 30% 증가,,,,,,,,,,,,
20222105,202221,legend,패시브 1,180,90,5,땅 번개고룡,고룡의 권능,indie_time,2.5,power_rate,add,36,스킬의 피해량 50% 증가,,,,,,,,,,,,
20223101,202231,legend,패시브 2,,20,1,땅 번개고룡,전광석화,passive,5,,,,강화 효과 없음,,,,,,,,,,,,
20223102,202231,legend,패시브 2,,20,2,땅 번개고룡,전광석화,passive,5,add_option_value_1,add,4,회피 4 및 치명 확률 2% 증가,add_option_value_2,add,2,,,,,,,,,
20223103,202231,legend,패시브 2,,20,3,땅 번개고룡,전광석화,passive,5,add_option_value_1,add,4,회피 8 및 치명 확률 4% 증가,add_option_value_2,add,2,,,,,,,,,
