fid,fruit,t_name,attr,cumulative_exp,req_gold,t_desc
702013,fruit_fire_01,하급 불속성 열매,fire,100,1000,하급 화속성 열매. 친밀도를 100상승 시킵니다. 화속성 드래곤에게 먹일시 50% 추가 효과
702023,fruit_fire_02,중급 불속성 열매,fire,150,1500,중급 화속성 열매. 친밀도를 200상승 시킵니다. 화속성 드래곤에게 먹일시 50% 추가 효과
702033,fruit_fire_03,상급 불속성 열매,fire,200,2500,상급 화속성 열매. 친밀도를 350상승 시킵니다. 화속성 드래곤에게 먹일시 50% 추가 효과
702043,fruit_fire_04,특급 불속성 열매,fire,250,3500,특급 화속성 열매. 친밀도를 500상승 시킵니다. 화속성 드래곤에게 먹일시 50% 추가 효과
702012,fruit_water_01,하급 물속성 열매,water,100,1000,하급 수속성 열매. 친밀도를 100상승 시킵니다. 수속성 드래곤에게 먹일시 50% 추가 효과
702022,fruit_water_02,중급 물속성 열매,water,150,1500,중급 수속성 열매. 친밀도를 200상승 시킵니다. 수속성 드래곤에게 먹일시 50% 추가 효과
702032,fruit_water_03,상급 물속성 열매,water,200,2500,상급 수속성 열매. 친밀도를 350상승 시킵니다. 수속성 드래곤에게 먹일시 50% 추가 효과
702042,fruit_water_04,특급 물속성 열매,water,250,3500,특급 수속성 열매. 친밀도를 500상승 시킵니다. 수속성 드래곤에게 먹일시 50% 추가 효과
702011,fruit_earth_01,하급 땅속성 열매,earth,100,1000,하급 지속성 열매. 친밀도를 100상승 시킵니다. 지속성 드래곤에게 먹일시 50% 추가 효과
702021,fruit_earth_02,중급 땅속성 열매,earth,150,1500,중급 지속성 열매. 친밀도를 200상승 시킵니다. 지속성 드래곤에게 먹일시 50% 추가 효과
702031,fruit_earth_03,상급 땅속성 열매,earth,200,2500,상급 지속성 열매. 친밀도를 350상승 시킵니다. 지속성 드래곤에게 먹일시 50% 추가 효과
702041,fruit_earth_04,특급 땅속성 열매,earth,250,3500,특급 지속성 열매. 친밀도를 500상승 시킵니다. 지속성 드래곤에게 먹일시 50% 추가 효과
702014,fruit_light_01,하급 빛속성 열매,light,100,1000,하급 빛속성 열매. 친밀도를 100상승 시킵니다. 빛속성 드래곤에게 먹일시 50% 추가 효과
702024,fruit_light_02,중급 빛속성 열매,light,150,1500,중급 빛속성 열매. 친밀도를 200상승 시킵니다. 빛속성 드래곤에게 먹일시 50% 추가 효과
702034,fruit_light_03,상급 빛속성 열매,light,200,2500,상급 빛속성 열매. 친밀도를 350상승 시킵니다. 빛속성 드래곤에게 먹일시 50% 추가 효과
702044,fruit_light_04,특급 빛속성 열매,light,250,3500,특급 빛속성 열매. 친밀도를 500상승 시킵니다. 빛속성 드래곤에게 먹일시 50% 추가 효과
702015,fruit_dark_01,하급 어둠속성 열매,dark,100,1000,하급 암속성 열매. 친밀도를 100상승 시킵니다. 암속성 드래곤에게 먹일시 50% 추가 효과
702025,fruit_dark_02,중급 어둠속성 열매,dark,150,1500,중급 암속성 열매. 친밀도를 200상승 시킵니다. 암속성 드래곤에게 먹일시 50% 추가 효과
702035,fruit_dark_03,상급 어둠속성 열매,dark,200,2500,상급 암속성 열매. 친밀도를 350상승 시킵니다. 암속성 드래곤에게 먹일시 50% 추가 효과
702045,fruit_dark_04,특급 어둠속성 열매,dark,250,3500,특급 암속성 열매. 친밀도를 500상승 시킵니다. 암속성 드래곤에게 먹일시 50% 추가 효과
