help_id,category,t_category,t_title,t_content,r_location
1,battle,전투,스테이지,"유타칸을 지키기 위한 테이머님의 드래곤들과 몬스터들의 전투가 격렬히 진행되는 전장에서
테이머님의 드래곤들은 항상 좌측에 위치하게 되며, 선택하신 진형에 따라 드래곤들의 배치가 달라집니다.",
2,battle,,일반공격,"전투에 참여한 드래곤들은 {@YELLOW}자동{@DEFAULT}으로 기본 탄환을 발사합니다.
일반공격의 속도는 드래곤의 {@YELLOW}공격 속도{@DEFAULT}에 따라 달라지며,
공격 속도는 룬을 착용해 더 빠르게 할 수도 있습니다.",
3,battle,,패시브 스킬,"드래곤이 가진 스킬의 종류에 따라 {@YELLOW}조건부로 발동{@DEFAULT}하는 자동 스킬입니다.
발동 조건은 드래곤의 스킬에 따라 각각 다르며, 드래곤 관리 화면에서 확인하실 수 있습니다.",
4,battle,,드래그 스킬,"어떻게 사용하느냐에 따라 전투 결과가 달라질 정도로
드래곤이 사용할 수 있는 {@YELLOW}가장 강력한 공격 방법{@DEFAULT}입니다.
드래그 스킬의 종류에 따라 적을 직접 공격하거나 아군의 생명력을 회복시킬 수 있으며,
사용 시 마나가 소비됩니다.
드래곤이나 화면 하단의 스킬 아이콘을 직접 터치해서 즉시 발동할 수도 있지만, 손으로 직접 사용하고 싶은 위치로 드래그해서 사용하면 더 뛰어난 효과를 발휘합니다.",
5,battle,,아이템 드랍,"전투 중 몬스터들을 물리치면, 간혹 아이템을 떨어뜨립니다.
웨이브가 끝나기 전 아이템을 터치하면 골드, 자수정, 다이아 등의 재화를 획득할 수 있습니다.",
6,battle,,진형,"드래곤 빌리지M에는 테이머님이 보유한 드래곤의 종류와 특성에 따라 4가지 진형 중 하나를 선택하여 전투를 더 유리하게 진행할 수 있습니다.
모든 진형은 각각 다른 효과를 가지고 있으며 진형 레벨업으로 진형의 효과를 강화시킬 수 있습니다.",
7,effect,상태 효과,이로운 효과,"드래곤과 몬스터들은 스킬을 통해서 아군을 강하게 하는 효과를 부여할 수 있습니다.

- {@green}공격력 증가{@DEFAULT} : 공격력이 20% 증가됩니다. (최대 3회까지 중첩 가능)
- {@green}방어력 증가 {@DEFAULT}: 방어력이 20% 증가됩니다. (최대 3회까지 중첩 가능)
- {@green}공격속도 증가{@DEFAULT} : 공격속도가 20% 증가됩니다. (최대 3회까지 중첩 가능)
- {@green}치명확률 증가{@DEFAULT} : 치명확률이 30% 증가됩니다.
- {@green}치명피해 증가{@DEFAULT} : 치명피해가 50% 증가됩니다.
- {@green}치명회피 증가{@DEFAULT} : 치명회피가 30% 증가됩니다.
- {@green}회피 증가{@DEFAULT} : 회피가 30% 증가됩니다.\n- {@green}적중 증가{@DEFAULT} : 적중이 30% 증가됩니다.
- {@green}무적{@DEFAULT} : 모든 피해를 받지 않습니다. 해로운 효과에는 걸릴 수 있습니다.
- {@green}좀비{@DEFAULT} : 생명력이 0이 될 때 발동하며 죽지 않는 상태가 됩니다. 지속시간이 끝나면 바로 사망합니다.
스킬에 따라 공격속도 300% 증가 혹은 치명확률 50% 증가의 비약적 증가 효과를 함께 얻습니다.
- {@green}보호막{@DEFAULT} : 보호막이 가지고 있는 생명력 만큼의 피해를 방어합니다.
- {@green}반사{@DEFAULT} : 적으로부터 받는 피해의 80%만 받으며 나머지 20%의 피해를 공격자에게 되돌립니다.
- {@green}면역{@DEFAULT} : 모든 해로운 효과에 걸리지 않습니다. 이미 걸린 해로운 효과는 해제되지 않습니다.
- {@green}흡혈{@DEFAULT} : 적에게 피해를 입혔을 때 피해량의 10%를 자신의 생명력으로 회복합니다.",
8,effect,,해로운 효과,"드래곤과 몬스터들은 스킬을 통해서 적을 약하게 하는 효과를 부여할 수 있습니다.

- {@YELLOW}공격력 감소{@DEFAULT} : 공격력이 20% 감소됩니다. (최대 3회까지 중첩 가능)
- {@YELLOW}방어력 감소{@DEFAULT} : 방어력이 20% 감소됩니다. (최대 3회까지 중첩 가능)
- {@YELLOW}공격속도 감소{@DEFAULT} : 공격속도가 20% 감소됩니다. (최대 3회까지 중첩 가능)
- {@YELLOW}치명확률 감소{@DEFAULT} : 치명확률이 30% 감소됩니다.
- {@YELLOW}치명피해 감소{@DEFAULT} : 치명피해가 50% 감소됩니다.
- {@YELLOW}치명회피 감소{@DEFAULT} : 치명회피가 30% 감소됩니다.
- {@YELLOW}회피 감소{@DEFAULT} : 회피가 30% 감소됩니다.
- {@YELLOW}적중 감소{@DEFAULT} : 적중이 30% 감소됩니다.
- {@YELLOW}회복량 감소{@DEFAULT} : 회복을 받았을 때 회복량이 70% 감소됩니다.
- {@YELLOW}기절{@DEFAULT} : 모든 일반공격과 스킬을 사용할 수 없습니다.
- {@YELLOW}수면{@DEFAULT} : 모든 일반공격과 스킬을 사용할 수 없습니다. 공격을 받았을 때 해제됩니다.
- {@YELLOW}침묵{@DEFAULT} : 모든 스킬을 사용할 수 없습니다.
- {@YELLOW}지속피해{@DEFAULT} : 일정 시간마다 최대 생명력의 0.5%의 피해를 받습니다. (최대 3회까지 중첩 가능)",
9,effect,,광폭화,"모험, 거목 던전, 거대용 던전, 악몽 던전에 등장하는 보스들은
{@YELLOW}시간이 지날수록 피해량이 계속해서 증가{@DEFAULT}합니다.
보스를 빨리 처치하지 않으면 점점 강력해집니다.",
10,dragon,드래곤,획득,"드래곤 빌리지M에서 만날 수 있는 수많은 드래곤들은 다음과 같은 방법으로 획득 가능합니다.
- {@YELLOW}알{@DEFAULT}: 퀘스트, 마스터의 길 등을 통해 획득한 알을 부화소에서 부화시켜 드래곤 획득
- {@YELLOW}소환{@DEFAULT}: 부화소에서 다이아를 소비하여 드래곤들을 직접 소환하여 드래곤 획득
- {@YELLOW}인연 포인트{@DEFAULT}: 어떤 드래곤의 인연 포인트를 정해진 만큼 모아 해당 드래곤 확정 획득",드래곤 관리
