lid,season_id,r_season_id,type,r_value_2,rate,key,option_level,r_desc,key_value
10110001,101,아모르의 용기,1,1,15,atk_multi,1,atk +d% (공격력 d% 추가),2
10110002,101,아모르의 용기,1,2,10,atk_multi,2,atk +d% (공격력 d% 추가),4
10110003,101,아모르의 용기,1,3,8,atk_multi,3,atk +d% (공격력 d% 추가),6
10110004,101,아모르의 용기,1,4,6,atk_multi,4,atk +d% (공격력 d% 추가),8
10110005,101,아모르의 용기,1,5,4,atk_multi,5,atk +d% (공격력 d% 추가),10
10110006,101,아모르의 용기,1,6,2,atk_multi,6,atk +d% (공격력 d% 추가),12
10110007,101,아모르의 용기,1,7,1,atk_multi,7,atk +d% (공격력 d% 추가),14
10110008,101,아모르의 용기,1,8,20,aspd_add,1,aspd +d% (공격속도 d% 추가),2
10110009,101,아모르의 용기,1,9,15,aspd_add,2,aspd +d% (공격속도 d% 추가),4
10110010,101,아모르의 용기,1,10,10,aspd_add,3,aspd +d% (공격속도 d% 추가),6
10110011,101,아모르의 용기,1,11,4,aspd_add,4,aspd +d% (공격속도 d% 추가),8
10110012,101,아모르의 용기,1,12,1,aspd_add,5,aspd +d% (공격속도 d% 추가),10
10120001,101,아모르의 용기,2,1,20,def_multi,1,def +d% (방어력 d% 추가),2
10120002,101,아모르의 용기,2,2,15,def_multi,2,def +d% (방어력 d% 추가),4
10120003,101,아모르의 용기,2,3,10,def_multi,3,def +d% (방어력 d% 추가),6
10120004,101,아모르의 용기,2,4,4,def_multi,4,def +d% (방어력 d% 추가),8
10120005,101,아모르의 용기,2,5,1,def_multi,5,def +d% (방어력 d% 추가),10
10120006,101,아모르의 용기,2,6,20,hp_multi,1,hp +d% (체력 d% 추가),2
10120007,101,아모르의 용기,2,7,15,hp_multi,2,hp +d% (체력 d% 추가),4
10120008,101,아모르의 용기,2,8,10,hp_multi,3,hp +d% (체력 d% 추가),6
10120009,101,아모르의 용기,2,9,4,hp_multi,4,hp +d% (체력 d% 추가),8
10120010,101,아모르의 용기,2,10,1,hp_multi,5,hp +d% (체력 d% 추가),10
10130001,101,아모르의 용기,3,1,20,cri_chance_add,1,cri_chance +d% (치명 확률 d% 추가),2
10130002,101,아모르의 용기,3,2,15,cri_chance_add,2,cri_chance +d% (치명 확률 d% 추가),4
10130003,101,아모르의 용기,3,3,10,cri_chance_add,3,cri_chance +d% (치명 확률 d% 추가),6
10130004,101,아모르의 용기,3,4,4,cri_chance_add,4,cri_chance +d% (치명 확률 d% 추가),8
10130005,101,아모르의 용기,3,5,1,cri_chance_add,5,cri_chance +d% (치명 확률 d% 추가),10
10130006,101,아모르의 용기,3,6,20,cri_dmg_add,1,cri_dmg +d% (치명 피해 d% 추가),2
10130007,101,아모르의 용기,3,7,15,cri_dmg_add,2,cri_dmg +d% (치명 피해 d% 추가),4
10130008,101,아모르의 용기,3,8,10,cri_dmg_add,3,cri_dmg +d% (치명 피해 d% 추가),6
10130009,101,아모르의 용기,3,9,4,cri_dmg_add,4,cri_dmg +d% (치명 피해 d% 추가),8
10130010,101,아모르의 용기,3,10,1,cri_dmg_add,5,cri_dmg +d% (치명 피해 d% 추가),10
10140001,101,아모르의 용기,4,1,20,accuracy_add,1,accuracy +d% (효과 적중 d% 추가),1
10140002,101,아모르의 용기,4,2,15,accuracy_add,2,accuracy +d% (효과 적중 d% 추가),2
10140003,101,아모르의 용기,4,3,10,accuracy_add,3,accuracy +d% (효과 적중 d% 추가),3
10140004,101,아모르의 용기,4,4,4,accuracy_add,4,accuracy +d% (효과 적중 d% 추가),4
10140005,101,아모르의 용기,4,5,1,accuracy_add,5,accuracy +d% (효과 적중 d% 추가),5
10140006,101,아모르의 용기,4,6,20,resistance_add,1,resistance +d% (효과 저항 d% 추가),1
10140007,101,아모르의 용기,4,7,15,resistance_add,2,resistance +d% (효과 저항 d% 추가),2
10140008,101,아모르의 용기,4,8,10,resistance_add,3,resistance +d% (효과 저항 d% 추가),3
10140009,101,아모르의 용기,4,9,4,resistance_add,4,resistance +d% (효과 저항 d% 추가),4
10140010,101,아모르의 용기,4,10,1,resistance_add,5,resistance +d% (효과 저항 d% 추가),5
10150001,101,아모르의 용기,5,1,20,hit_rate_add,1,hit_rate +d% (명중률 d% 추가),2
10150002,101,아모르의 용기,5,2,15,hit_rate_add,2,hit_rate +d% (명중률 d% 추가),4
10150003,101,아모르의 용기,5,3,10,hit_rate_add,3,hit_rate +d% (명중률 d% 추가),6
10150004,101,아모르의 용기,5,4,4,hit_rate_add,4,hit_rate +d% (명중률 d% 추가),8
10150005,101,아모르의 용기,5,5,1,hit_rate_add,5,hit_rate +d% (명중률 d% 추가),10
10150006,101,아모르의 용기,5,6,20,avoid_add,1,avoid +d% (회피율 d% 추가),2
10150007,101,아모르의 용기,5,7,15,avoid_add,2,avoid +d% (회피율 d% 추가),4
10150008,101,아모르의 용기,5,8,10,avoid_add,3,avoid +d% (회피율 d% 추가),6
10150009,101,아모르의 용기,5,9,4,avoid_add,4,avoid +d% (회피율 d% 추가),8
10150010,101,아모르의 용기,5,10,1,avoid_add,5,avoid +d% (회피율 d% 추가),10
