lang_code,en_name,hive_code,lang_square,display_name,active,translate_file,font_res,font_size_scale,font_scale_rate_x,font_scale_rate_y,is_rtl,ui_priority,sheet_priority
af,Afrikaans,,,Afrikaans,TRUE,translate/lang_af,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1330,0
ak,Akan,,,Akan,TRUE,translate/lang_ak,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1320,0
sq,Albanian,,,shqiptare,TRUE,translate/lang_sq,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1310,0
am,Amharic,,,አማርኛ,TRUE,translate/lang_am,noto_sans_ethiopic_regular.ttf,0.8,0.8,0.8,FALSE,1300,0
ar,Arabic,,,عربي,TRUE,translate/lang_ar,ibm_plex_sans_arabic_regular.ttf,1,1,1,TRUE,1290,0
hy,Armenian,,,հայերեն,TRUE,translate/lang_hy,noto_sans_armenian_regular.ttf,0.8,0.8,0.8,FALSE,1280,0
as,Assamese,,,অসমীয়া,TRUE,translate/lang_as,noto_sans_bengali_regular.ttf,0.8,0.8,0.8,FALSE,1270,0
ay,Aymara,,,Aymara,TRUE,translate/lang_ay,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1260,0
az,Azerbaijani,,,Azərbaycan,TRUE,translate/lang_az,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1250,0
bm,Bambara,,,Bamanankan,TRUE,translate/lang_bm,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1240,0
eu,Basque,,,euskara,TRUE,translate/lang_eu,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1230,0
be,Belarusian,,,беларускі,TRUE,translate/lang_be,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1220,0
bn,Bengali,,,বাংলা,TRUE,translate/lang_bn,noto_sans_bengali_regular.ttf,0.8,0.8,0.8,FALSE,1210,0
bho,Bhojpuri,,,भोजपुरी,TRUE,translate/lang_bho,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1200,0
bs,Bosnian,,,bosanski,TRUE,translate/lang_bs,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1190,0
bg,Bulgarian,,,български,TRUE,translate/lang_bg,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1180,0
ca,Catalan,,,català,TRUE,translate/lang_ca,common_font_01.ttf,1,1,1,FALSE,1170,0
ceb,Cebuano,,,Cebuano,TRUE,translate/lang_ceb,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1160,0
ny,Chichewa,,,Chichewa,TRUE,translate/lang_ny,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1150,0
zh-TW,Chinese (Traditional),zh-hant,,中文(繁體),TRUE,translate/lang_zhtw,common_font_01_cn.ttc,0.88,0.88,0.98,FALSE,1140,13
co,Corsican,,,Corsu,TRUE,translate/lang_co,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1130,0
hr,Croatian,,,Hrvatski,TRUE,translate/lang_hr,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1120,0
cs,Czech,,,čeština,TRUE,translate/lang_cs,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1110,0
da,Danish,,,dansk,TRUE,translate/lang_da,common_font_01.ttf,1,1,1,FALSE,1100,0
dv,Divehi,,,ދިވެހި...,TRUE,translate/lang_dv,noto_sans_thaana_regular.ttf,1,1,1,TRUE,1090,0
doi,Dogri,,,डोगरी,TRUE,translate/lang_doi,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1080,0
nl,Dutch,,,Nederlands,TRUE,translate/lang_nl,common_font_01.ttf,1,1,1,FALSE,1070,0
en,English,,,English,TRUE,translate/lang_en,common_font_01.ttf,1,1,1,FALSE,1060,15
eo,Esperanto,,,Esperanto,TRUE,translate/lang_eo,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1050,0
et,Estonian,,,eesti keel,TRUE,translate/lang_et,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1040,0
ee,Ewe,,,Eʋegbe,TRUE,translate/lang_ee,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1030,0
tl,Filipino,,,Filipino,TRUE,translate/lang_tl,common_font_01.ttf,1,1,1,FALSE,1020,0
fi,Finnish,,,Suomalainen,TRUE,translate/lang_fi,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,1010,0
fr,French,,,Français,TRUE,translate/lang_fr,common_font_01.ttf,1,1,1,FALSE,1000,0
fy,Frisian,,,Frysk,TRUE,translate/lang_fy,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,990,0
gl,Galician,,,galego,TRUE,translate/lang_gl,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,980,0
lg,Ganda,,,Ganda,TRUE,translate/lang_lg,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,970,0
ka,Georgian,,,ქართული,TRUE,translate/lang_ka,noto_sans_georgian_regular.ttf,0.8,0.8,0.8,FALSE,960,0
de,German,,,Deutsch,TRUE,translate/lang_de,common_font_01.ttf,1,1,1,FALSE,950,0
gom,Goan Konkani,,,गोंय कोंकणी,TRUE,translate/lang_gom,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,940,0
el,Greek,,,Ελληνικά,TRUE,translate/lang_el,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,930,0
gn,Guarani,,,guarani,TRUE,translate/lang_gn,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,920,0
gu,Gujarati,,,ગુજરાતી,TRUE,translate/lang_gu,noto_sans_gujarati_regular.ttf,0.8,0.8,0.8,FALSE,910,0
ht,Haitian Creole,,,Kreyòl ayisyen,TRUE,translate/lang_ht,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,900,0
ha,Hausa,,,Hausa,TRUE,translate/lang_ha,noto_sans_regular.ttf,1,1,1,TRUE,890,0
haw,Hawaiian,,,ʻŌlelo Hawaiʻi,TRUE,translate/lang_haw,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,880,0
hi,Hindi,,,हिंदी,TRUE,translate/lang_hi,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,870,0
hmn,Hmong,,,Hmoob,TRUE,translate/lang_hmn,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,860,0
hu,Hungarian,,,Magyar,TRUE,translate/lang_hu,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,850,0
is,Icelandic,,,íslenskur,TRUE,translate/lang_is,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,840,0
ig,Igbo,,,Igbo,TRUE,translate/lang_ig,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,830,0
ilo,Iloko,,,Iloko,TRUE,translate/lang_ilo,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,820,0
id,Indonesian,,,bahasa Indonesia,TRUE,translate/lang_id,common_font_01.ttf,1,1,1,FALSE,810,0
ga,Irish,,,Gaeilge,TRUE,translate/lang_ga,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,800,0
it,Italian,,,Italiano,TRUE,translate/lang_it,common_font_01.ttf,1,1,1,FALSE,790,0
ja,Japanese,,,日本語,TRUE,translate/lang_jp,common_font_01_ja.ttf,0.88,0.88,1,FALSE,780,14
kn,Kannada,,,ಕನ್ನಡ,TRUE,translate/lang_kn,noto_sans_kannada_regular.ttf,0.8,0.8,0.8,FALSE,770,0
kk,Kazakh,,,қазақ,TRUE,translate/lang_kk,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,760,0
km,Khmer,,,ខ្មែរ,TRUE,translate/lang_km,noto_sans_khmer_regular.ttf,0.8,0.8,0.8,FALSE,750,0
rw,Kinyarwanda,,,Kinyarwanda,TRUE,translate/lang_rw,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,740,0
ko,Korean,,,한국어,TRUE,,common_font_01.ttf,1,1,1,FALSE,730,0
kri,Krio,,,Krio,TRUE,translate/lang_kri,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,720,0
ku,Kurdish (Kurmanji),,,Kurdî (Kurmancî),TRUE,translate/lang_ku,noto_sans_regular.ttf,0.8,0.8,0.8,FALSE,710,0
ckb,Kurdish (Sorani),,,کوردی (سۆرانی),TRUE,translate/lang_ckb,ibm_plex_sans_arabic_regular.ttf,1,1,1,TRUE,700,0
