lv,hp,r_sum_hp,buff,debuff,r_buff
1,50000,"50,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
2,100000,"150,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
3,175000,"325,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
4,275000,"600,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
5,400000,"1,000,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
6,550000,"1,550,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
7,725000,"2,275,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
8,925000,"3,200,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
9,1150000,"4,350,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
10,1400000,"5,750,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
11,1675000,"7,425,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
12,1975000,"9,400,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
13,2300000,"11,700,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
14,2650000,"14,350,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
15,3025000,"17,375,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
16,3425000,"20,800,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
17,3850000,"24,650,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
18,4300000,"28,950,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
19,4775000,"33,725,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
20,5275000,"39,000,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
21,5800000,"44,800,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
22,6350000,"51,150,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
23,6925000,"58,075,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
24,7525000,"65,600,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
25,8150000,"73,750,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
26,8800000,"82,550,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
27,9475000,"92,025,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
28,10175000,"102,200,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
29,10900000,"113,100,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
30,11650000,"124,750,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
31,12425000,"137,175,000","all;0;atk_multi;10,all;0;hit_rate_add;5,all;0;resistance_add;5,all;0;avoid_add;2,all;0;cri_chance_add;3","all;0;recovery_power_add;-5,all;0;dmg_adj_rate_multi;10",
