mid,t_name,type,res,dark_mode,scale,pattern,rarity,attr,role,size_type,icon,coin,skill_basic,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8,skill_9,atk_max,def_max,hp_max,r_스텟점수,aspd,cri_chance,cri_dmg,hit_rate,avoid,cri_avoid,accuracy,resistance,r_dps,r_ehp,r_적중/치회/회피 합
130011,땅 몬스터 수호병,swordman,res/character/monster/swordman_@/swordman_@.spine,0,0.8,ignore,common,earth,tanker,s,res/ui/icons/mon/swordman_@.png,2,230001,,,,,,,,,,1600,2400,14000,46,0,0,50,0,10,40,0,0,1600,42000,50
130012,물 몬스터 수호병,swordman,res/character/monster/swordman_@/swordman_@.spine,0,1,ignore,common,water,tanker,s,res/ui/icons/mon/swordman_@.png,2,230001,,,,,,,,,,1600,2400,14000,46,0,0,50,0,10,40,0,0,1600,42000,50
130013,불 몬스터 수호병,swordman,res/character/monster/swordman_@/swordman_@.spine,0,1,ignore,common,fire,tanker,s,res/ui/icons/mon/swordman_@.png,2,230001,,,,,,,,,,1600,2400,14000,46,0,0,50,0,10,40,0,0,1600,42000,50
130014,빛 몬스터 수호병,swordman,res/character/monster/swordman_@/swordman_@.spine,0,1,ignore,common,light,tanker,s,res/ui/icons/mon/swordman_@.png,2,230001,,,,,,,,,,1600,2400,14000,46,0,0,50,0,10,40,0,0,1600,42000,50
130015,어둠 몬스터 수호병,swordman,res/character/monster/swordman_@/swordman_@.spine,0,1,ignore,common,dark,tanker,s,res/ui/icons/mon/swordman_@.png,2,230001,,,,,,,,,,1600,2400,14000,46,0,0,50,0,10,40,0,0,1600,42000,50
130021,땅 몬스터 궁병,archer,res/character/monster/archer_@/archer_@.spine,0,0.75,ignore,common,earth,dealer,s,res/ui/icons/mon/archer_@.png,2,230000,,,,,,,,,,3520,2000,13000,60,50,10,50,50,0,0,0,0,5544,34667,50
130022,물 몬스터 궁병,archer,res/character/monster/archer_@/archer_@.spine,0,1,ignore,common,water,dealer,s,res/ui/icons/mon/archer_@.png,2,230000,,,,,,,,,,3520,2000,13000,60,50,10,50,50,0,0,0,0,5544,34667,50
130023,불 몬스터 궁병,archer,res/character/monster/archer_@/archer_@.spine,0,1,ignore,common,fire,dealer,s,res/ui/icons/mon/archer_@.png,2,230000,,,,,,,,,,3520,2000,13000,60,50,10,50,50,0,0,0,0,5544,34667,50
130024,빛 몬스터 궁병,archer,res/character/monster/archer_@/archer_@.spine,0,1,ignore,common,light,dealer,s,res/ui/icons/mon/archer_@.png,2,230000,,,,,,,,,,3520,2000,13000,60,50,10,50,50,0,0,0,0,5544,34667,50
130025,어둠 몬스터 궁병,archer,res/character/monster/archer_@/archer_@.spine,0,1,ignore,common,dark,dealer,s,res/ui/icons/mon/archer_@.png,2,230000,,,,,,,,,,3520,2000,13000,60,50,10,50,50,0,0,0,0,5544,34667,50
130031,땅 몬스터 마법사,mage,res/character/monster/mage_@/mage_@.spine,0,0.75,ignore,common,earth,dealer,s,res/ui/icons/mon/mage_@.png,2,230000,230004,,,,,,,,,5520,1500,13000,75,0,30,75,30,0,0,0,0,6762,29250,30
130032,물 몬스터 마법사,mage,res/character/monster/mage_@/mage_@.spine,0,1,ignore,common,water,dealer,s,res/ui/icons/mon/mage_@.png,2,230000,230004,,,,,,,,,5520,1500,13000,75,0,30,75,30,0,0,0,0,6762,29250,30
130033,불 몬스터 마법사,mage,res/character/monster/mage_@/mage_@.spine,0,1,ignore,common,fire,dealer,s,res/ui/icons/mon/mage_@.png,2,230000,230004,,,,,,,,,5520,1500,13000,75,0,30,75,30,0,0,0,0,6762,29250,30
130034,빛 몬스터 마법사,mage,res/character/monster/mage_@/mage_@.spine,0,1,ignore,common,light,dealer,s,res/ui/icons/mon/mage_@.png,2,230000,230004,,,,,,,,,5520,1500,13000,75,0,30,75,30,0,0,0,0,6762,29250,30
130035,어둠 몬스터 마법사,mage,res/character/monster/mage_@/mage_@.spine,0,1,ignore,common,dark,dealer,s,res/ui/icons/mon/mage_@.png,2,230000,230004,,,,,,,,,5520,1500,13000,75,0,30,75,30,0,0,0,0,6762,29250,30
130041,땅 몬스터 창병,spearman,res/character/monster/spearman_@/spearman_@.spine,0,0.75,ignore,common,earth,dealer,s,res/ui/icons/mon/spearman_@.png,2,230000,230006,,,,,,,,,4000,2100,15800,67,0,10,50,50,30,0,0,0,4200,43450,80
130042,물 몬스터 창병,spearman,res/character/monster/spearman_@/spearman_@.spine,0,1,ignore,common,water,dealer,s,res/ui/icons/mon/spearman_@.png,2,230000,230006,,,,,,,,,4000,2100,15800,67,0,10,50,50,30,0,0,0,4200,43450,80
130043,불 몬스터 창병,spearman,res/character/monster/spearman_@/spearman_@.spine,0,1,ignore,common,fire,dealer,s,res/ui/icons/mon/spearman_@.png,2,230000,230006,,,,,,,,,4000,2100,15800,67,0,10,50,50,30,0,0,0,4200,43450,80
130044,빛 몬스터 창병,spearman,res/character/monster/spearman_@/spearman_@.spine,0,1,ignore,common,light,dealer,s,res/ui/icons/mon/spearman_@.png,2,230000,230006,,,,,,,,,4000,2100,15800,67,0,10,50,50,30,0,0,0,4200,43450,80
130045,어둠 몬스터 창병,spearman,res/character/monster/spearman_@/spearman_@.spine,0,1,ignore,common,dark,dealer,s,res/ui/icons/mon/spearman_@.png,2,230000,230006,,,,,,,,,4000,2100,15800,67,0,10,50,50,30,0,0,0,4200,43450,80
130051,땅 몬스터 치유사,priest,res/character/monster/priest_@/priest_@.spine,0,0.75,ignore,common,earth,healer,s,res/ui/icons/mon/priest_@.png,3,,230007,,,,,,,,,4000,1500,18800,63,20,10,50,10,10,0,0,0,5040,42300,20
130052,물 몬스터 치유사,priest,res/character/monster/priest_@/priest_@.spine,0,1,ignore,common,water,healer,s,res/ui/icons/mon/priest_@.png,3,,230007,,,,,,,,,4000,1500,18800,63,20,10,50,10,10,0,0,0,5040,42300,20
130053,불 몬스터 치유사,priest,res/character/monster/priest_@/priest_@.spine,0,1,ignore,common,fire,healer,s,res/ui/icons/mon/priest_@.png,3,,230007,,,,,,,,,4000,1500,18800,63,20,10,50,10,10,0,0,0,5040,42300,20
130054,빛 몬스터 치유사,priest,res/character/monster/priest_@/priest_@.spine,0,1,ignore,common,light,healer,s,res/ui/icons/mon/priest_@.png,3,,230007,,,,,,,,,4000,1500,18800,63,20,10,50,10,10,0,0,0,5040,42300,20
130055,어둠 몬스터 치유사,priest,res/character/monster/priest_@/priest_@.spine,0,1,ignore,common,dark,healer,s,res/ui/icons/mon/priest_@.png,3,,230007,,,,,,,,,4000,1500,18800,63,20,10,50,10,10,0,0,0,5040,42300,20
130061,땅 몬스터 포병,bomber,res/character/monster/bomber_@/bomber_@.spine,0,0.75,ignore,common,earth,dealer,s,res/ui/icons/mon/bomber_@.png,3,230008,,,,,,,,,,4400,1200,15000,62,0,10,150,0,0,30,0,0,5060,30000,30
130062,물 몬스터 포병,bomber,res/character/monster/bomber_@/bomber_@.spine,0,1,ignore,common,water,dealer,s,res/ui/icons/mon/bomber_@.png,3,230008,,,,,,,,,,4400,1200,15000,62,0,10,150,0,0,30,0,0,5060,30000,30
130063,불 몬스터 포병,bomber,res/character/monster/bomber_@/bomber_@.spine,0,1,ignore,common,fire,dealer,s,res/ui/icons/mon/bomber_@.png,3,230008,,,,,,,,,,4400,1200,15000,62,0,10,150,0,0,30,0,0,5060,30000,30
