mid,r_name,body_1,body_2,body_3,body_4,body_5,body_6,body_7,body_8,body_9,body_10,r_comment
134011,퀸즈 스네이크,0;200;25;bone34,0;50;25;bone30,0;-100;25;bone4,0;-250;25;bone20,,,,,,,세로 직선형
134021,퀸즈 라미아,0;200;25;bone34,0;50;25;bone30,0;-100;25;bone4,0;-250;25;bone20,,,,,,,세로 직선형
134012,드레이크,0;175;25;hit_01,0;-175;25;hit_02,80;0;25;hit_03,-80;0;25;hit_04,,,,,,,원형
134022,심연의 군주,0;175;25;hit_01,0;-175;25;hit_02,80;0;25;hit_03,-80;0;25;hit_04,,,,,,,원형
134013,코카트리스,-103;60;25;bone86,0;0;25;bone4,103.6;60;25;bone16,0;-120;25;bone51,,,,,,,"세로, 부채꼴형"
134023,용암거미 여왕,0;170;25;bone25,120;0;25;bone28,0;-50;25;bone11,-120;0;25;bone5,,,,,,,"가로 직선, 관통형"
134033,밤사냥꾼,-103;60;25;bone86,0;0;25;bone4,103.6;60;25;bone16,0;-120;25;bone51,,,,,,,"세로, 부채꼴형"
134043,맹독거미여왕,0;170;25;bone25,120;0;25;bone28,0;-50;25;bone11,-120;0;25;bone5,,,,,,,"가로 직선, 관통형"
134014,질서 유지장치,-120;50;25,0;-130;25,120;50;25,0;220;25,-220;-210;25,,,,,,부채꼴
134024,종말예언장치,-120;50;25,0;-130;25,120;50;25,0;220;25,-220;-210;25,,,,,,부채꼴
134015,다크닉스,0;170;25;bone67,0;-170;25;bone15,80;0;25;bone10,-80;0;25;bone13,0;0;25;bone2,,,,,,세로 직선형
134025,부활한 다크닉스,0;170;25;bone67,0;-170;25;bone15,80;0;25;bone10,-80;0;25;bone13,0;0;25;bone2,,,,,,세로 직선형
135011,땅의 거대 용,131;290;25;hit_01,-90;20;25;hit_02,34;-88;25;hit_03,-260;-200;25;hit_04,-310;-4;25;hit_05,,,,,,"가로 직선형, 원형"
135012,물의 거대 용,131;290;25;hit_01,-90;20;25;hit_02,34;-88;25;hit_03,-260;-200;25;hit_04,-310;-4;25;hit_05,,,,,,"가로 직선형, 바"
135013,불의 거대 용,131;290;25;hit_01,-90;20;25;hit_02,34;-88;25;hit_03,-260;-200;25;hit_04,-310;-4;25;hit_05,,,,,,"가로 직선형, 세로 직선형"
135014,빛의 거대 용,131;290;25;hit_01,-90;20;25;hit_02,34;-88;25;hit_03,-260;-200;25;hit_04,-310;-4;25;hit_05,,,,,,"가로 직선형, 부채꼴"
135015,어둠의 거대 용,131;290;25;hit_01,-90;20;25;hit_02,34;-88;25;hit_03,-260;-200;25;hit_04,-310;-4;25;hit_05,,,,,,가로 직선형. 원형
135021,땅 거목,150;150;25;hit_01,150;-150;25;hit_02,-150;150;25;hit_03,-150;-150;25;hit_04,0;0;25;hit_05,,,,,,"세로 직선형, 가로 직선형"
135022,물 거목,150;150;25;hit_01,150;-150;25;hit_02,-150;150;25;hit_03,-150;-150;25;hit_04,0;0;25;hit_05,,,,,,"세로 직선형, 가로 직선형"
135023,불 거목,150;150;25;hit_01,150;-150;25;hit_02,-150;150;25;hit_03,-150;-150;25;hit_04,0;0;25;hit_05,,,,,,"세로 직선형, 부채꼴"
135024,빛 거목,150;150;25;hit_01,150;-150;25;hit_02,-150;150;25;hit_03,-150;-150;25;hit_04,0;0;25;hit_05,,,,,,"세로 직선형, 원형"
