option,r_desc,status,action,r_buff,t_name,t_prefix,t_desc,rune_ability_pt,rune_ability_res,r_rune
atk_multi,atk +d% (공격력 d% 추가),atk,multi,버프,공격력 증가,강력한,공격력 +{1}%,mul:1,card_option_atk.png,O
atk_add,atk +n (공격력 +n),atk,add,버프,공격력 증가,맹공의,공격력 +{1},per:25,card_option_atk.png,O
def_multi,def +d% (방어력 d% 추가),def,multi,버프,방어력 증가,튼튼한,방어력 +{1}%,mul:1,card_option_def.png,O
def_add,def +n (방어력 +n),def,add,버프,방어력 증가,단단한,방어력 +{1},per:25,card_option_def.png,O
hp_multi,hp +d% (생명력 d% 추가),hp,multi,버프,생명력 증가,생존의,생명력 +{1}%,mul:1,card_option_hp.png,O
hp_add,hp +n (생명력 +n),hp,add,버프,생명력 증가,끈질긴,생명력 +{1},per:1700,card_option_hp.png,O
aspd_multi,aspd +d% (공격속도 d% 추가),aspd,multi,버프,공격속도 증가,,공격속도 +{1}%,mul:0.8,card_option_atk_speed.png,
aspd_add,aspd +n (공격속도 +n),aspd,add,버프,공격속도 증가,쾌속의,공격속도 +{1}%,mul:0.8,card_option_atk_speed.png,O
cri_chance_add,cri_chance +d% (치명타 확률 d% 추가),cri_chance,add,버프,치명타 확률 증가,행운의,치명확률 +{1}%,mul:1,card_option_critical_rate.png,O
cri_dmg_add,cri_dmg +d% (치명타 데미지 d% 추가),cri_dmg,add,버프,치명타 피해량 증가,파괴의,치명피해 +{1}%,mul:1,card_option_critical_dmg.png,O
cri_avoid_add,cri_avoid +d% (피격 시 치명타 방어 d% 추가),cri_avoid,add,버프,치명타 회피율 증가,신중한,치명회피 +{1}%,mul:1,card_option_evasion.png,O
hit_rate_add,hit_rate +d% (적중률 d% 추가),hit_rate,add,버프,적중률 증가,노련한,적중 +{1}%,mul:0.8,card_option_acc.png,O
avoid_add,avoid +d% (회피율 d% 추가),avoid,add,버프,회피율 증가,재빠른,회피 +{1}%,mul:0.8,card_option_evasion.png,O
accuracy_add,accuracy +d% (효과 적중 d% 추가),accuracy,add,버프,효과 적중 증가,정교한,효과적중 +{1}%,mul:0.8,card_option_effect_acc.png,O
