sid,r_d_name,r_s_name,res_1,delay_1,res_2,delay_2
200000,공통,일반 공격,,,,
200001,공통,녹색 잎사귀,,,,
200002,공통,물속성 푸른 공,,,,
200003,공통,번개고룡용도,,,,
200004,공통,속성별 고리 모양,,,,
200005,공통,바위드래곤용도,,,,
200006,공통,속성별 볼,,,,
200111,땅 파워드래곤,드래그 스킬,sfx_body_attack,0.3;0.8;1;1.3,,
200112,물 파워드래곤,드래그 스킬,sfx_body_attack,0.3;0.8;1;1.3,,
200114,빛 파워드래곤,드래그 스킬,sfx_body_attack,0.3;0.8;1;1.3,,
200115,어둠 파워드래곤,드래그 스킬,sfx_body_attack,0.3;0.8;1;1.3,,
200121,땅 파워드래곤,패시브 1,sfx_shield,0,,
200122,물 파워드래곤,패시브 1,sfx_shield,0,,
200124,빛 파워드래곤,패시브 1,sfx_shield,0,,
200125,어둠 파워드래곤,패시브 1,,,,
200131,땅 파워드래곤,패시브 2,,,,
200132,물 파워드래곤,패시브 2,sfx_heal,0.2,,
200134,빛 파워드래곤,패시브 2,sfx_heal,0.2,,
200135,어둠 파워드래곤,패시브 2,,,,
200141,땅 파워드래곤,스탯 강화,,,,
200142,물 파워드래곤,스탯 강화,,,,
200144,빛 파워드래곤,스탯 강화,,,,
200145,어둠 파워드래곤,스탯 강화,,,,
200151,땅 파워드래곤,리더 스킬,,,,
200152,물 파워드래곤,리더 스킬,,,,
200154,빛 파워드래곤,리더 스킬,,,,
200155,어둠 파워드래곤,리더 스킬,,,,
200211,땅 램곤,드래그 스킬,sfx_buff_get_2,0,,
200212,물 램곤,드래그 스킬,sfx_buff_get_2,0,,
200213,불 램곤,드래그 스킬,sfx_buff_get_2,0,,
200214,빛 램곤,드래그 스킬,sfx_buff_get_2,0,,
200215,어둠 램곤,드래그 스킬,sfx_buff_get_2,0,,
200221,땅 램곤,패시브 1,,,,
200222,물 램곤,패시브 1,,,,
200223,불 램곤,패시브 1,,,,
200224,빛 램곤,패시브 1,,,,
200225,어둠 램곤,패시브 1,,,,
200231,땅 램곤,패시브 2,,,,
200232,물 램곤,패시브 2,,,,
200233,불 램곤,패시브 2,,,,
200234,빛 램곤,패시브 2,,,,
200235,어둠 램곤,패시브 2,,,,
200241,땅 램곤,스탯 강화,,,,
200242,물 램곤,스탯 강화,,,,
200243,불 램곤,스탯 강화,,,,
200244,빛 램곤,스탯 강화,,,,
200245,어둠 램곤,스탯 강화,,,,
200411,땅 오르페우스,드래그 스킬,ui_summon,0,,
200412,물 오르페우스,드래그 스킬,ui_summon,0,,
200413,불 오르페우스,드래그 스킬,ui_summon,0,,
200415,어둠 오르페우스,드래그 스킬,ui_summon,0,,
200421,땅 오르페우스,패시브 1,sfx_wind,0;0.15;0.3,,
200422,물 오르페우스,패시브 1,sfx_wind,0;0.15;0.3,,
200423,불 오르페우스,패시브 1,sfx_wind,0;0.15;0.3,,
200425,어둠 오르페우스,패시브 1,sfx_wind,0;0.15;0.3,,
200431,땅 오르페우스,패시브 2,,,,
200432,물 오르페우스,패시브 2,,,,
200433,불 오르페우스,패시브 2,,,,
200435,어둠 오르페우스,패시브 2,,,,
200441,땅 오르페우스,드래그 강화,ui_summon,0,,
200442,물 오르페우스,드래그 강화,ui_summon,0,,
200443,불 오르페우스,드래그 강화,,,,
200445,어둠 오르페우스,드래그 강화,ui_summon,0,,
200511,땅 애플칙,드래그 스킬,sfx_explosion_small,1,,
200512,물 애플칙,드래그 스킬,sfx_explosion_small,1,,
200513,불 애플칙,,sfx_explosion_small,1,,
200514,빛 애플칙,드래그 스킬,sfx_explosion_small,1,,
200515,어둠 애플칙,드래그 스킬,sfx_explosion_small,1,,
200521,땅 애플칙,패시브 1,sfx_wind,0;0.15;0.3,,
200522,물 애플칙,패시브 1,sfx_wind,0;0.15;0.3,,
200523,불 애플칙,패시브 1,sfx_wind,0;0.15;0.3,,
200524,빛 애플칙,패시브 1,sfx_wind,0;0.15;0.3,,
200525,어둠 애플칙,패시브 1,sfx_wind,0;0.15;0.3,,
200531,땅 애플칙,패시브 2,,,,
200532,물 애플칙,패시브 2,,,,
200533,불 애플칙,패시브 2,,,,
200534,빛 애플칙,패시브 2,,,,
200535,어둠 애플칙,패시브 2,,,,
200541,땅 애플칙,스탯 강화,,,,
200542,물 애플칙,스탯 강화,,,,
200543,불 애플칙,스탯 강화,,,,
200544,빛 애플칙,스탯 강화,,,,
200545,어둠 애플칙,스탯 강화,,,,
200611,땅 에스티미아,드래그 스킬,sfx_heal,0.2,,
200612,물 에스티미아,드래그 스킬,sfx_heal,0.2,,
200613,불 에스티미아,드래그 스킬,sfx_heal,0.2,,
200614,빛 에스티미아,드래그 스킬,sfx_heal,0.2,,
200615,어둠 에스티미아,드래그 스킬,sfx_heal,0.2,,
200621,땅 에스티미아,패시브 1,,,,
200622,물 에스티미아,패시브 1,,,,
200623,불 에스티미아,패시브 1,,,,
200624,빛 에스티미아,패시브 1,,,,
200625,어둠 에스티미아,패시브 1,,,,
200631,땅 에스티미아,패시브 2,,,,
200632,물 에스티미아,패시브 2,,,,
200633,불 에스티미아,패시브 2,,,,
200634,빛 에스티미아,패시브 2,,,,
200635,어둠 에스티미아,패시브 2,,,,
200641,땅 에스티미아,스탯 강화,,,,
200642,물 에스티미아,스탯 강화,,,,
200643,불 에스티미아,스탯 강화,,,,
200644,빛 에스티미아,스탯 강화,,,,
200645,어둠 에스티미아,스탯 강화,,,,
200711,땅 스파인,드래그 스킬,sfx_body_attack,2,,
200712,물 스파인,드래그 스킬,sfx_body_attack,2,,
200713,불 스파인,드래그 스킬,sfx_body_attack,2,,
200714,빛 스파인,드래그 스킬,sfx_body_attack,2,,
200715,어둠 스파인,드래그 스킬,sfx_body_attack,2,,
200721,땅 스파인,패시브 1,sfx_wind,0;0.15;0.3,,
200722,물 스파인,패시브 1,sfx_wind,0;0.15;0.3,,
200723,불 스파인,패시브 1,sfx_wind,0;0.15;0.3,,
200724,빛 스파인,패시브 1,sfx_wind,0;0.15;0.3,,
200725,어둠 스파인,패시브 1,sfx_wind,0;0.15;0.3,,
200731,땅 스파인,패시브 2,sfx_wind,0;0.15;0.3,,
200732,물 스파인,패시브 2,sfx_wind,0;0.15;0.3,,
200733,불 스파인,패시브 2,sfx_wind,0;0.15;0.3,,
200734,빛 스파인,패시브 2,sfx_wind,0;0.15;0.3,,
200735,어둠 스파인,패시브 2,sfx_wind,0;0.15;0.3,,
200741,땅 스파인,스탯 강화,,,,
200742,물 스파인,스탯 강화,,,,
200743,불 스파인,스탯 강화,,,,
200744,빛 스파인,스탯 강화,,,,
200745,어둠 스파인,스탯 강화,,,,
200811,땅 리프드래곤,드래그 스킬,sfx_claw,0;0.15;0.3,,
200812,물 리프드래곤,드래그 스킬,sfx_claw,0;0.15;0.3,,
