eid,grade,lv,max_exp,giving_exp,req_gold_per_mtrl
101,1,1,100,1110,500
102,1,2,200,1220,500
103,1,3,300,1330,500
104,1,4,400,1440,500
105,1,5,500,1550,500
106,1,6,600,1660,500
107,1,7,700,1770,500
108,1,8,800,1880,500
109,1,9,900,1990,500
110,1,10,1000,2100,500
111,1,11,1100,2210,500
112,1,12,1200,2320,500
113,1,13,1300,2430,500
114,1,14,1400,2540,500
115,1,15,1500,2650,500
201,2,1,400,1440,1500
202,2,2,600,1660,1500
203,2,3,800,1880,1500
204,2,4,1000,2100,1500
205,2,5,1200,2320,1500
206,2,6,1400,2540,1500
207,2,7,1600,2760,1500
208,2,8,1800,2980,1500
209,2,9,2000,3200,1500
210,2,10,2200,3420,1500
211,2,11,2400,3640,1500
212,2,12,2600,3860,1500
213,2,13,2800,4080,1500
214,2,14,3000,4300,1500
215,2,15,3200,4520,1500
216,2,16,3400,4740,1500
217,2,17,3600,4960,1500
218,2,18,3800,5180,1500
219,2,19,4000,5400,1500
220,2,20,4200,5620,1500
301,3,1,900,1990,4000
302,3,2,1170,2287,4000
303,3,3,1440,2584,4000
304,3,4,1710,2881,4000
305,3,5,1980,3178,4000
306,3,6,2250,3475,4000
307,3,7,2520,3772,4000
308,3,8,2790,4069,4000
309,3,9,3060,4366,4000
310,3,10,3330,4663,4000
311,3,11,3600,4960,4000
312,3,12,3870,5257,4000
313,3,13,4140,5554,4000
314,3,14,4410,5851,4000
315,3,15,4680,6148,4000
316,3,16,4950,6445,4000
317,3,17,5220,6742,4000
318,3,18,5490,7039,4000
319,3,19,5760,7336,4000
320,3,20,6030,7633,4000
321,3,21,6300,7930,4000
322,3,22,6570,8227,4000
323,3,23,6840,8524,4000
324,3,24,7110,8821,4000
325,3,25,7380,9118,4000
401,4,1,1600,2760,7500
402,4,2,1940,3134,7500
403,4,3,2270,3497,7500
404,4,4,2610,3871,7500
405,4,5,2940,4234,7500
406,4,6,3280,4608,7500
407,4,7,3620,4982,7500
408,4,8,3950,5345,7500
409,4,9,4290,5719,7500
410,4,10,4620,6082,7500
411,4,11,4960,6456,7500
412,4,12,5300,6830,7500
413,4,13,5630,7193,7500
414,4,14,5970,7567,7500
415,4,15,6300,7930,7500
416,4,16,6640,8304,7500
417,4,17,6980,8678,7500
418,4,18,7310,9041,7500
419,4,19,7650,9415,7500
420,4,20,7980,9778,7500
421,4,21,8320,10152,7500
422,4,22,8660,10526,7500
423,4,23,8990,10889,7500
424,4,24,9330,11263,7500
425,4,25,9660,11626,7500
426,4,26,10000,12000,7500
427,4,27,10340,12374,7500
428,4,28,10670,12737,7500
429,4,29,11010,13111,7500
430,4,30,11340,13474,7500
501,5,1,2500,3750,12500
502,5,2,3150,4465,12500
503,5,3,3800,5180,12500
504,5,4,4450,5895,12500
505,5,5,5100,6610,12500
506,5,6,5750,7325,12500
507,5,7,6400,8040,12500
508,5,8,7050,8755,12500
509,5,9,7700,9470,12500
510,5,10,8350,10185,12500
511,5,11,9000,10900,12500
512,5,12,9650,11615,12500
513,5,13,10300,12330,12500
514,5,14,10950,13045,12500
515,5,15,11600,13760,12500
516,5,16,12250,14475,12500
517,5,17,12900,15190,12500
518,5,18,13550,15905,12500
519,5,19,14200,16620,12500
520,5,20,14850,17335,12500
521,5,21,15500,18050,12500
522,5,22,16150,18765,12500
523,5,23,16800,19480,12500
524,5,24,17450,20195,12500
525,5,25,18100,20910,12500
526,5,26,18750,21625,12500
527,5,27,19400,22340,12500
528,5,28,20050,23055,12500
529,5,29,20700,23770,12500
530,5,30,21350,24485,12500
531,5,31,22000,25200,12500
532,5,32,22650,25915,12500
533,5,33,23300,26630,12500
534,5,34,23950,27345,12500
535,5,35,24600,28060,12500
601,6,1,3600,4960,20000
602,6,2,4570,6027,20000
603,6,3,5540,7094,20000
604,6,4,6520,8172,20000
605,6,5,7490,9239,20000
606,6,6,8460,10306,20000
607,6,7,9430,11373,20000
608,6,8,10400,12440,20000
609,6,9,11380,13518,20000
610,6,10,12350,14585,20000
611,6,11,13320,15652,20000
612,6,12,14290,16719,20000
613,6,13,15260,17786,20000
614,6,14,16240,18864,20000
615,6,15,17210,19931,20000
616,6,16,18180,20998,20000
617,6,17,19150,22065,20000
618,6,18,20120,23132,20000
619,6,19,21100,24210,20000
620,6,20,22070,25277,20000
621,6,21,23040,26344,20000
622,6,22,24010,27411,20000
623,6,23,24980,28478,20000
624,6,24,25960,29556,20000
625,6,25,26930,30623,20000
626,6,26,27900,31690,20000
627,6,27,28870,32757,20000
628,6,28,29840,33824,20000
629,6,29,30820,34902,20000
630,6,30,31790,35969,20000
631,6,31,32760,37036,20000
632,6,32,33730,38103,20000
633,6,33,34700,39170,20000
634,6,34,35680,40248,20000
635,6,35,36650,41315,20000
636,6,36,37620,42382,20000
637,6,37,38590,43449,20000
638,6,38,39560,44516,20000
639,6,39,40540,45594,20000
640,6,40,41510,46661,20000
641,6,41,42480,47728,20000
642,6,42,43450,48795,20000
643,6,43,44420,49862,20000
644,6,44,45400,50940,20000
645,6,45,46370,52007,20000
646,6,46,47340,53074,20000
647,6,47,48310,54141,20000
648,6,48,49280,55208,20000
649,6,49,50260,56286,20000
650,6,50,51230,57353,20000
651,6,51,52200,58420,20000
652,6,52,53170,59487,20000
653,6,53,54140,60554,20000
654,6,54,55120,61632,20000
655,6,55,56090,62699,20000
656,6,56,57060,63766,20000
657,6,57,58030,64833,20000
658,6,58,59000,65900,20000
659,6,59,59980,66978,20000
660,6,60,60950,68045,20000
