stage,t_name,r_difficult,mode,r_chapter_info,r_stage_info,attr,level,hp_ratio,boss_hp_ratio,r_boss_actural_ratio,r_real_hp,r_real_def,r_real_atk,buff_user,buff_enemy,val_1,t_help,r_value,r_value_2
1010001,모험,intro,adv,1,1,dark,50,1,1,1,,,,,,,,,
1110101,모험,normal,adv,1,1,earth,2,1,1,1,"11,212",32,82,,,,,,
1110102,모험,normal,adv,1,2,earth,6,1,1,1,"22,442",67,178,,,,,,
1110103,모험,normal,adv,1,3,earth,8,1,1,1,"28,300",75,270,,,,,,
1110104,모험,normal,adv,1,4,earth,9,1,1,1,"38,615",58,347,,,,,,
1110105,모험,normal,adv,1,5,earth,10,1,1,1,"33,700",89,264,,,,,,
1110106,모험,normal,adv,1,6,earth,11,1,1,1,"35,615",79,356,,,,,,
1110107,모험,normal,adv,1,7,earth,14,1,1.3,1.3,"80,200",154,515,,,,,,
1110201,모험,normal,adv,2,1,water,18,1,1,1,"58,808",147,430,,all;0;atk_dmg_adj_rate_add;30,,,,
1110202,모험,normal,adv,2,2,water,18,1,1,1,"56,798",120,467,,all;0;atk_dmg_adj_rate_add;30,,,,
1110203,모험,normal,adv,2,3,water,19,1,1,1,"58,000",154,587,,all;0;atk_dmg_adj_rate_add;30,,,,
1110204,모험,normal,adv,2,4,water,19,1,1,1,"73,231",202,491,,all;0;atk_dmg_adj_rate_add;30,,,,
1110205,모험,normal,adv,2,5,water,20,1,1,1,"60,700",161,414,,all;0;atk_dmg_adj_rate_add;30,,,,
1110206,모험,normal,adv,2,6,water,20,1,1,1,"67,808",131,414,,all;0;atk_dmg_adj_rate_add;30,,,,
1110207,모험,normal,adv,2,7,water,21,1,1,1,"87,558",274,750,,all;0;atk_dmg_adj_rate_add;30,,,,
1110301,모험,normal,adv,3,1,earth,26,1,1,1,"76,900",205,581,,all;0;atk_dmg_adj_rate_add;30,,,,
1110302,모험,normal,adv,3,2,earth,26,1,1,1,"75,135",166,789,,all;0;atk_dmg_adj_rate_add;30,,,,
1110303,모험,normal,adv,3,3,earth,27,1,1,1,"59,165",347,656,,all;0;atk_dmg_adj_rate_add;30,,,,
1110304,모험,normal,adv,3,4,earth,27,1,1,1,"100,923",212,872,,all;0;atk_dmg_adj_rate_add;30,,,,
1110305,모험,normal,adv,3,5,fire,28,1,1,1,"87,654",149,707,,all;0;atk_dmg_adj_rate_add;30,,,,
1110306,모험,normal,adv,3,6,fire,28,1,1,1,"77,894",428,428,,all;0;atk_dmg_adj_rate_add;30,,,,
1110307,모험,normal,adv,3,7,fire,29,1,1,1,"120,827",226,"1,020",,all;0;atk_dmg_adj_rate_add;30,,,,
1110401,모험,normal,adv,4,1,earth,30,1,1,1,"63,854",234,"1,023",,all;0;atk_dmg_adj_rate_add;25,,,,
