name,category,type,t_name,r_comment,res,res_2,res_icon,sound,symbol,groggy,overlab,overlab_option,duration,atk,def,hp,aspd,cri_chance,cri_dmg,cri_avoid,hit_rate,avoid,hp_drain,heal_power,recovery_power,dmg_adj_rate,atk_dmg_adj_rate,attr_adj_rate,attr_weak_adj_rate,cri_dmg_adj_rate,reflex_normal,reflex_skill,debuff_time,target_debuff_time,accuracy,resistance,pierce,guard_rear,final_dmg_rate,dot_interval,abs_switch,direction,val_1,val_2,val_3,val_4,desc_1,desc_2,desc_3,desc_4,t_desc,erasable,show_icon,to_programmer
atk_up,good,buff,공격력 증가,,,,res/ui/icons/status_effect/atk_up.png,sfx_buff_get_1,x,false,3,1,15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,15,20,x,x,공격력 증가,1,1,정수x퍼센트 (곱연산)
aspd_up,good,buff,공격 속도 증가,,,,res/ui/icons/status_effect/aspd_up.png,sfx_buff_get_1,x,false,3,1,15,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,15,20,x,x,공격 속도 증가,1,1,퍼센트+퍼센트 (합연산)
cri_chance_up,good,buff,치명 확률 증가,,,,res/ui/icons/status_effect/cri_chance_up.png,sfx_buff_get_1,x,false,1,0,15,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,15,x,x,x,치명 확률 증가,1,1,퍼센트+퍼센트 (합연산)
def_up,good,buff,방어력 증가,,,,res/ui/icons/status_effect/def_up.png,sfx_buff_get_1,x,false,3,1,15,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,15,x,x,x,방어력 증가,1,1,정수x퍼센트 (곱연산)
cri_avoid_up,good,buff,치명회피 증가 ,,,,res/ui/icons/status_effect/cri_avoid_up.png,sfx_buff_get_1,x,false,1,0,15,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,15,x,x,x,치명 회피 증가,1,1,퍼센트+퍼센트 (합연산)
avoid_up,good,buff,회피율 증가 ,,,,res/ui/icons/status_effect/avoid_up.png,sfx_buff_get_1,x,false,1,0,15,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,15,x,x,x,회피 증가,1,1,퍼센트+퍼센트 (합연산)
hit_rate_up,good,buff,적중률 증가 ,,,,res/ui/icons/status_effect/hit_rate_up.png,sfx_buff_get_1,x,false,1,0,15,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,15,x,x,x,적중 증가,1,1,퍼센트+퍼센트 (합연산)
hp_drain,good,buff,생명력 흡수,,res/effect/effect_bloodsucking/effect_bloodsucking.vrp,,res/ui/icons/status_effect/hp_drain.png,sfx_buff_get_1,x,false,1,0,10,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,,흡혈 효과 획득,1,1,
zombie,good,zombie,좀비,,res/effect/effect_zombie_new/effect_zombie_new.vrp,,res/ui/icons/status_effect/zombie.png,sfx_buff_get_1,x,false,1,0,10,0,0,-9999,0,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,!!!,1,1,x
zombie_aspd,good,zombie,좀비+공속증가,,res/effect/effect_zombie_new/effect_zombie_new.vrp,,res/ui/icons/status_effect/zombie.png,sfx_buff_get_1,x,false,1,0,10,0,0,0,300,0,0,0,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,x,x,x,x,좀비화,1,1,x
