id,api,ip_start,ip_end,desc
1,/highbrow/daily,14.63.220.105,14.63.220.105,하이브로 웹서버
2,/highbrow/daily,14.63.218.180,14.63.218.180,하이브로 웹서버
3,office,192.168.0.0,192.168.1.255,사무실 내부IP (테스트용)
4,office,172.31.12.201,172.31.12.201,dev api
5,office,106.248.225.203,106.248.225.203,하이브로 사무실
6,office,172.31.19.0,172.31.19.255,aws dv subnet
7,office,127.0.0.1,127.0.0.1,docs localhost
8,office,172.31.0.0,172.31.11.255,aws dv_global subnet
9,office,52.91.90.77,52.91.90.77,dvus_db1 ( 미국 계정복사용 )
10,office,54.169.177.46,54.169.177.46,dvsg_db1 ( 아시아 계정복사용 )
11,/highbrow/rank_service,14.63.220.105,14.63.220.105,하이브로 웹서버
12,/highbrow/rank_service,14.63.218.180,14.63.218.180,하이브로 웹서버
13,/shop/coupon_use_web,172.31.18.41,172.31.18.41,플랫폼 서버
14,/shop/coupon_use_web,52.78.92.95,52.78.92.95,플랫폼 서버
15,/manage/extract_challenge_decks,13.124.119.0,13.124.119.0,한국 Tool 서버
16,office,121.134.231.95,121.134.231.95,하이브로 지산빌딩
