rank_id,t_name,rank_min,rank_max,ratio_min,ratio_max,score_min,reward,week,r_comment
1,1위,1,1,,,190000,"gold;500000,cash;5000,ancient;750",1,순위 보상은 지정된 score를 달성해야만 받을 수 있음
2,2위,2,2,,,190000,"gold;490000,cash;4900,ancient;700",1,
3,3위,3,3,,,190000,"gold;480000,cash;4800,ancient;650",1,
4,4위,4,4,,,190000,"gold;470000,cash;4700,ancient;630",1,
5,5위,5,5,,,190000,"gold;460000,cash;4600,ancient;610",1,
6,6위,6,6,,,190000,"gold;450000,cash;4500,ancient;590",1,
7,7위,7,7,,,190000,"gold;450000,cash;4500,ancient;570",1,
8,8위,8,8,,,190000,"gold;450000,cash;4500,ancient;550",1,
9,9위,9,9,,,190000,"gold;450000,cash;4500,ancient;530",1,
10,10위,10,10,,,190000,"gold;450000,cash;4500,ancient;510",1,
11,11위~20위,11,20,,,190000,"gold;445000,cash;4450,ancient;490",1,
12,21위~30위,21,30,,,190000,"gold;440000,cash;4400,ancient;470",1,
13,31위~40위,31,40,,,190000,"gold;435000,cash;4350,ancient;450",1,
14,41위~50위,41,50,,,190000,"gold;430000,cash;4300,ancient;430",1,
15,51위~60위,51,60,,,190000,"gold;425000,cash;4250,ancient;410",1,
16,61위~70위,61,70,,,190000,"gold;420000,cash;4200,ancient;390",1,
17,71위~80위,71,80,,,190000,"gold;415000,cash;4150,ancient;370",1,
18,81위~90위,81,90,,,190000,"gold;410000,cash;4100,ancient;350",1,
19,91위~100위,91,100,,,190000,"gold;405000,cash;4050,ancient;330",1,
20,101위~120위,101,120,,,190000,"gold;400000,cash;4000,ancient;310",1,
21,121위~140위,121,140,,,190000,"gold;400000,cash;4000,ancient;290",1,
22,141위~160위,141,160,,,190000,"gold;400000,cash;4000,ancient;270",1,
23,161위~180위,161,180,,,190000,"gold;400000,cash;4000,ancient;250",1,
24,181위~200위,181,200,,,190000,"gold;400000,cash;4000,ancient;230",1,
25,"190,000점 이상",,,,,190000,"gold;400000,cash;4000,ancient;200",1,
26,"180,000점 이상",,,,,180000,"gold;390000,cash;3900,ancient;180",1,
27,"165,000점 이상",,,,,165000,"gold;380000,cash;3800,ancient;160",1,
28,"145,000점 이상",,,,,145000,"gold;370000,cash;3700,ancient;140",1,
29,"125,000점 이상",,,,,125000,"gold;360000,cash;3600,ancient;120",1,
30,"105,000점 이상",,,,,105000,"gold;350000,cash;3500,ancient;100",1,
31,"80,000점 이상",,,,,80000,"gold;340000,cash;3400,ancient;80",1,
32,"55,000점 이상",,,,,55000,"gold;320000,cash;3200,ancient;50",1,
33,"30,000점 이상",,,,,30000,"gold;300000,cash;3000,ancient;30",1,
34,"15,000점 이상",,,,,15000,"gold;200000,cash;2000,ancient;20",1,
35,500점 이상,,,,,500,"gold;100000,cash;1000,ancient;10",1,
36,1위,1,1,,,,"gold;500000,cash;5000,ancient;750",201913,
37,2위,2,2,,,,"gold;400000,cash;4000,ancient;625",201913,
38,3위~5위,3,5,,,,"gold;350000,cash;3500,ancient;500",201913,보상 상향향
39,6위~10위,6,10,,,,"gold;300000,cash;3000,ancient;400",201913,보상 상향향
40,11위~25위,11,25,,,,"gold;275000,cash;2750,ancient;300",201913,보상 상향향
41,26위~50위,26,50,,,,"gold;250000,cash;2500,ancient;200",201913,보상 상향향
42,51위~75위,51,75,,,,"gold;225000,cash;2250,ancient;160",201913,보상 상향향
43,76위~100위,76,100,,,,"gold;200000,cash;2000,ancient;130",201913,보상 상향향
44,상위 5%,,,0,5,,"gold;150000,cash;1500,ancient;110",201913,12월 21일 업데이트로 추가된 순위
45,상위 10%,,,5,10,,"gold;120000,cash;1200,ancient;90",201913,12월 21일 업데이트로 추가된 순위
46,상위 20%,,,10,20,,"gold;90000,cash;900,ancient;75",201913,
47,상위 40%,,,20,40,,"gold;70000,cash;700,ancient;50",201913,
48,상위 60%,,,40,60,,"gold;55000,cash;600,ancient;25",201913,
49,상위 80%,,,60,80,,"gold;45000,cash;500,ancient;12",201913,
50,상위 100%,,,80,100,,"gold;35000,cash;400,ancient;6",201913,
51,1위,1,1,,,,"gold;500000,cash;5000,ancient;750",201749,
52,2위,2,2,,,,"gold;400000,cash;4000,ancient;625",201749,
53,3위~5위,3,5,,,,"gold;320000,cash;3200,ancient;500",201749,
54,6위~10위,6,10,,,,"gold;255000,cash;2600,ancient;375",201749,
55,11위~25위,11,25,,,,"gold;205000,cash;2100,ancient;250",201749,
56,26위~50위,26,50,,,,"gold;165000,cash;1700,ancient;180",201749,
57,51위~75위,51,75,,,,"gold;130000,cash;1400,ancient;125",201749,
58,76위~100위,76,100,,,,"gold;105000,cash;1100,ancient;100",201749,
59,상위 20%,,,0,20,,"gold;85000,cash;900,ancient;75",201749,
60,상위 40%,,,20,40,,"gold;70000,cash;700,ancient;50",201749,
61,상위 60%,,,40,60,,"gold;55000,cash;600,ancient;25",201749,
62,상위 80%,,,60,80,,"gold;45000,cash;500,ancient;12",201749,
63,상위 100%,,,80,100,,"gold;35000,cash;400,ancient;6",201749,
