match_id,tier_id,r_tier_name,min_1,max_1,min_2,max_2,min_3,max_3
1,11,레전드,-5000,5000,-10000,10000,-20000,20000
2,21,마스터 1,-5000,5000,-10000,10000,-20000,20000
3,22,마스터 2,-5000,5000,-10000,10000,-20000,20000
4,23,마스터 3,-5000,5000,-10000,10000,-20000,20000
5,31,히어로 1,-5000,5000,-10000,10000,-20000,20000
6,32,히어로 2,-5000,5000,-10000,10000,-20000,20000
7,33,히어로 3,-5000,5000,-10000,10000,-20000,20000
8,41,다이아 1,-5000,5000,-10000,10000,-20000,20000
9,42,다이아 2,-5000,5000,-10000,10000,-20000,20000
10,43,다이아 3,-6500,3500,-11500,8500,-21500,18500
11,51,플래티넘 1,-8500,1500,-13500,6500,-23500,16500
12,52,플래티넘 2,-10000,0,-15000,5000,-25000,15000
13,53,플래티넘 3,-11500,-1500,-16500,3500,-26500,13500
14,61,골드 1,-13500,-3500,-18500,1500,-28500,11500
15,62,골드 2,-15000,-5000,-20000,0,-30000,10000
16,63,골드 3,-16500,-6500,-21500,-1500,-31500,8500
17,71,실버 1,-18500,-8500,-23500,-3500,-33500,6500
18,72,실버 2,-20000,-10000,-25000,-5000,-35000,5000
19,73,실버 3,-21500,-11500,-26500,-6500,-36500,3500
20,81,브론즈 1,-23500,-13500,-28500,-8500,-38500,2500
21,82,브론즈 2,-25000,-15000,-30000,-10000,-40000,1000
22,83,브론즈 3,-25000,-15000,-30000,-10000,-40000,1000
23,99,입문자,-25000,-15000,-30000,-10000,-40000,1000
