id,pid,type,level,exp,item,r_item_comment,r_item_count
121701100,121701,normal,0,0,700002;50000,골드,"50,000"
121701101,121701,normal,1,150,700017;5000,드래곤 경험치,"5,000"
121701102,121701,normal,2,300,700017;5000,드래곤 경험치,"5,000"
121701103,121701,normal,3,450,700017;5000,드래곤 경험치,"5,000"
121701104,121701,normal,4,600,700017;5000,드래곤 경험치,"5,000"
121701105,121701,normal,5,750,760005;10,전설 강화 포인트,10
121701106,121701,normal,6,900,700017;5000,드래곤 경험치,"5,000"
121701107,121701,normal,7,1050,700017;5000,드래곤 경험치,"5,000"
121701108,121701,normal,8,1200,700017;5000,드래곤 경험치,"5,000"
121701109,121701,normal,9,1350,700017;5000,드래곤 경험치,"5,000"
121701110,121701,normal,10,1500,700002;100000,골드,"100,000"
121701111,121701,normal,11,1650,700017;10000,드래곤 경험치,"10,000"
121701112,121701,normal,12,1800,700017;10000,드래곤 경험치,"10,000"
121701113,121701,normal,13,1950,700017;10000,드래곤 경험치,"10,000"
121701114,121701,normal,14,2100,700017;10000,드래곤 경험치,"10,000"
121701115,121701,normal,15,2250,760005;10,전설 강화 포인트,10
121701116,121701,normal,16,2400,700017;10000,드래곤 경험치,"10,000"
121701117,121701,normal,17,2550,700017;10000,드래곤 경험치,"10,000"
121701118,121701,normal,18,2700,700017;10000,드래곤 경험치,"10,000"
121701119,121701,normal,19,2850,700017;10000,드래곤 경험치,"10,000"
121701120,121701,normal,20,3000,700002;200000,골드,"200,000"
121701121,121701,normal,21,3150,700017;20000,드래곤 경험치,"20,000"
121701122,121701,normal,22,3300,700017;20000,드래곤 경험치,"20,000"
121701123,121701,normal,23,3450,700017;20000,드래곤 경험치,"20,000"
121701124,121701,normal,24,3600,700017;20000,드래곤 경험치,"20,000"
121701125,121701,normal,25,3750,760005;10,전설 강화 포인트,10
121701126,121701,normal,26,3900,700017;20000,드래곤 경험치,"20,000"
121701127,121701,normal,27,4050,700017;20000,드래곤 경험치,"20,000"
121701128,121701,normal,28,4200,700017;20000,드래곤 경험치,"20,000"
121701129,121701,normal,29,4350,700017;20000,드래곤 경험치,"20,000"
121701130,121701,normal,30,4500,779255;1,전설 스킬 슬라임,1
121701200,121701,premium,0,0,700002;500000,골드,"500,000"
121701201,121701,premium,1,150,700017;50000,드래곤 경험치,"50,000"
121701202,121701,premium,2,300,779154;1,★5 슈퍼 슬라임,1
121701203,121701,premium,3,450,760005;55,전설 강화 포인트,55
121701204,121701,premium,4,600,779255;1,전설 스킬 슬라임,1
121701205,121701,premium,5,750,700002;500000,골드,"500,000"
121701206,121701,premium,6,900,700017;65000,드래곤 경험치,"65,000"
121701207,121701,premium,7,1050,779154;1,★5 슈퍼 슬라임,1
121701208,121701,premium,8,1200,760005;60,전설 강화 포인트,60
121701209,121701,premium,9,1350,779255;1,전설 스킬 슬라임,1
121701210,121701,premium,10,1500,700002;1000000,골드,"1,000,000"
121701211,121701,premium,11,1650,700017;75000,드래곤 경험치,"75,000"
121701212,121701,premium,12,1800,779154;1,★5 슈퍼 슬라임,1
121701213,121701,premium,13,1950,760005;65,전설 강화 포인트,65
121701214,121701,premium,14,2100,779255;1,전설 스킬 슬라임,1
121701215,121701,premium,15,2250,700002;1000000,골드,"1,000,000"
121701216,121701,premium,16,2400,700017;85000,드래곤 경험치,"85,000"
121701217,121701,premium,17,2550,779154;1,★5 슈퍼 슬라임,1
121701218,121701,premium,18,2700,760005;70,전설 강화 포인트,70
121701219,121701,premium,19,2850,779255;1,전설 스킬 슬라임,1
121701220,121701,premium,20,3000,700002;1500000,골드,"1,500,000"
121701221,121701,premium,21,3150,700017;95000,드래곤 경험치,"95,000"
121701222,121701,premium,22,3300,779154;1,★5 슈퍼 슬라임,1
121701223,121701,premium,23,3450,760005;75,전설 강화 포인트,75
121701224,121701,premium,24,3600,779255;1,전설 스킬 슬라임,1
121701225,121701,premium,25,3750,700002;1500000,골드,"1,500,000"
121701226,121701,premium,26,3900,700017;105000,드래곤 경험치,"105,000"
121701227,121701,premium,27,4050,760005;80,전설 강화 포인트,80
121701228,121701,premium,28,4200,779255;1,전설 스킬 슬라임,1
121701229,121701,premium,29,4350,700014;100,아모르의 서,100
121701230,121701,premium,30,4500,741041;1,전설 특성 재료,1
121702100,121702,normal,0,0,700002;50000,골드,"50,000"
121702101,121702,normal,1,150,700017;5000,드래곤 경험치,"5,000"
121702102,121702,normal,2,300,700017;5000,드래곤 경험치,"5,000"
121702103,121702,normal,3,450,700017;5000,드래곤 경험치,"5,000"
121702104,121702,normal,4,600,700017;5000,드래곤 경험치,"5,000"
121702105,121702,normal,5,750,760005;10,전설 강화 포인트,10
121702106,121702,normal,6,900,700017;5000,드래곤 경험치,"5,000"
121702107,121702,normal,7,1050,700017;5000,드래곤 경험치,"5,000"
121702108,121702,normal,8,1200,700017;5000,드래곤 경험치,"5,000"
121702109,121702,normal,9,1350,700017;5000,드래곤 경험치,"5,000"
121702110,121702,normal,10,1500,700002;100000,골드,"100,000"
121702111,121702,normal,11,1650,700017;10000,드래곤 경험치,"10,000"
121702112,121702,normal,12,1800,700017;10000,드래곤 경험치,"10,000"
121702113,121702,normal,13,1950,700017;10000,드래곤 경험치,"10,000"
121702114,121702,normal,14,2100,700017;10000,드래곤 경험치,"10,000"
121702115,121702,normal,15,2250,760005;10,전설 강화 포인트,10
121702116,121702,normal,16,2400,700017;10000,드래곤 경험치,"10,000"
121702117,121702,normal,17,2550,700017;10000,드래곤 경험치,"10,000"
121702118,121702,normal,18,2700,700017;10000,드래곤 경험치,"10,000"
121702119,121702,normal,19,2850,700017;10000,드래곤 경험치,"10,000"
121702120,121702,normal,20,3000,700002;200000,골드,"200,000"
121702121,121702,normal,21,3150,700017;20000,드래곤 경험치,"20,000"
121702122,121702,normal,22,3300,700017;20000,드래곤 경험치,"20,000"
121702123,121702,normal,23,3450,700017;20000,드래곤 경험치,"20,000"
121702124,121702,normal,24,3600,700017;20000,드래곤 경험치,"20,000"
121702125,121702,normal,25,3750,760005;10,전설 강화 포인트,10
121702126,121702,normal,26,3900,700017;20000,드래곤 경험치,"20,000"
121702127,121702,normal,27,4050,700017;20000,드래곤 경험치,"20,000"
121702128,121702,normal,28,4200,700017;20000,드래곤 경험치,"20,000"
121702129,121702,normal,29,4350,700017;20000,드래곤 경험치,"20,000"
121702130,121702,normal,30,4500,779255;1,전설 스킬 슬라임,1
121702200,121702,premium,0,0,700002;1000000,골드,"1,000,000"
121702201,121702,premium,1,150,700017;100000,드래곤 경험치,"100,000"
121702202,121702,premium,2,300,779154;1,★5 슈퍼 슬라임,1
121702203,121702,premium,3,450,760005;110,전설 강화 포인트,110
121702204,121702,premium,4,600,779255;1,전설 스킬 슬라임,1
121702205,121702,premium,5,750,700002;1000000,골드,"1,000,000"
121702206,121702,premium,6,900,700017;130000,드래곤 경험치,"130,000"
121702207,121702,premium,7,1050,779154;1,★5 슈퍼 슬라임,1
121702208,121702,premium,8,1200,760005;120,전설 강화 포인트,120
121702209,121702,premium,9,1350,779255;1,전설 스킬 슬라임,1
121702210,121702,premium,10,1500,700002;2000000,골드,"2,000,000"
121702211,121702,premium,11,1650,700017;150000,드래곤 경험치,"150,000"
121702212,121702,premium,12,1800,779154;1,★5 슈퍼 슬라임,1
121702213,121702,premium,13,1950,760005;130,전설 강화 포인트,130
121702214,121702,premium,14,2100,779255;1,전설 스킬 슬라임,1
121702215,121702,premium,15,2250,700002;2000000,골드,"2,000,000"
121702216,121702,premium,16,2400,700017;170000,드래곤 경험치,"170,000"
121702217,121702,premium,17,2550,779154;1,★5 슈퍼 슬라임,1
121702218,121702,premium,18,2700,760005;140,전설 강화 포인트,140
121702219,121702,premium,19,2850,779255;2,전설 스킬 슬라임,2
121702220,121702,premium,20,3000,700002;3000000,골드,"3,000,000"
121702221,121702,premium,21,3150,700017;190000,드래곤 경험치,"190,000"
121702222,121702,premium,22,3300,779154;1,★5 슈퍼 슬라임,1
121702223,121702,premium,23,3450,760005;150,전설 강화 포인트,150
121702224,121702,premium,24,3600,779255;2,전설 스킬 슬라임,2
121702225,121702,premium,25,3750,700002;3000000,골드,"3,000,000"
121702226,121702,premium,26,3900,700017;210000,드래곤 경험치,"210,000"
121702227,121702,premium,27,4050,760005;160,전설 강화 포인트,160
121702228,121702,premium,28,4200,779255;3,전설 스킬 슬라임,3
121702229,121702,premium,29,4350,700014;200,아모르의 서,200
121702230,121702,premium,30,4500,741041;3,전설 특성 재료,3
