idx,nickname,msg,type
1,,수백마리의 매력적인 드래곤들과 모험을 떠나세요!,newbie_welcome
2,,‘드래곤빌리지 시리즈’의 개성 넘치고 다양한 드래곤들을 만나보세요!,newbie_welcome
3,,터치 & 드래그 스킬로 콘트롤하는 전투의 재미!,newbie_welcome
4,,"드래곤의 직업군, 속성, 파티의 진형 등 여러가지 요소를 조합해 전략적인 전투를 즐기세요.",newbie_welcome
5,,세계의 운명을 짊어진 드래곤 테이머들이 펼치는 모험의 이야기를 엿볼 수 있습니다.,newbie_welcome
6,,쉽고 재밌는 조작법으로 내 손으로 직접 전투를 펼쳐보세요!,newbie_welcome
7,,드래곤을 성장시키고 최고의 팀을 만들어 보세요.,newbie_welcome
8,,다양한 드래곤을 육성해 최강의 드래곤 테이머에 도전하세요!,newbie_welcome
9,,테이머님! 드래곤 빌리지M의 세계에 오신 것을 환영합니다!,newbie_welcome
10,,다양한 콘텐츠! 끝 없는 도전! 전략적 전투!,newbie_welcome
11,,드래곤 육성 RPG!,newbie_welcome
12,,능력부터 생김새까지 천차만별인 수백마리의 드래곤들!,newbie_welcome
13,,귀엽고~ 깜찍하고~ 멋진!! 개성 만점의 드래곤 모으기!,newbie_welcome
14,,세상에서 제일 멋있는 드래곤이 모두 있는 드래곤 게임!,newbie_welcome
15,,"수백 종의 다양한 드래곤, 나만의 드래곤을 육성하라!",newbie_welcome
16,,콜로세움에서의 신나는 한판 승부!,newbie_welcome
17,,Join the adventure with hundreds of fancy dragons!,newbie_welcome
18,,"Meet a wide variety of unique dragons from the ""Dragon Village Series!""",newbie_welcome
19,,Fun and exciting combat system using touch & drag!,newbie_welcome
20,,"Develop your strategy by combining dragon's class, attributes, and party formation.",newbie_welcome
21,,Enjoy the amazing story of how dragon tamers save the world.,newbie_welcome
22,,Featuring fun and easy-to-pick-up combat system!,newbie_welcome
23,,Upgrade your dragons and create the ultimate team!,newbie_welcome
24,,Upgrade a variety of dragons and become the ultimate dragon tamer!,newbie_welcome
25,,Tamer! Welcome to the world of Dragon Village M!,newbie_welcome
26,,Plenty of contents to enjoy! Unlimited challenges! Strategic combat system!,newbie_welcome
27,,Dragon Fostering RPG!,newbie_welcome
28,,"Featuring hundreds of dragons, each with unique looks and stats!",newbie_welcome
29,,"Cute, adorable, and beautiful! Collect unique dragons!",newbie_welcome
30,,Dragon game featuring world top dragons!,newbie_welcome
31,,"With hundreds of unique dragons, you can foster your own dragon!",newbie_welcome
32,,Enjoy spectacular combat at the Colosseum!,newbie_welcome
33,,数百匹の魅力的なドラゴンと冒険の旅に出てみましょう！,newbie_welcome
34,,「ドラゴンビレッジシリーズ」の個性あふれるさまざまなドラゴンに出会ってみましょう！,newbie_welcome
35,,タップ＆ドラッグスキルでコントロールする戦闘の面白さ！,newbie_welcome
36,,ドラゴンの職業群、属性、パーティーの陣形などさまざまな要素を組み合わせて戦略的な戦闘を楽しみましょう。,newbie_welcome
37,,世界の運命を背負ったドラゴンテイマーたちが繰り広げる冒険物語を垣間見ることができます。,newbie_welcome
38,,手軽で楽しい操作方法で、自分の指を動かして戦闘を繰り広げてみましょう！,newbie_welcome
39,,ドラゴンを成長させて最高のチームを作ってみましょう。,newbie_welcome
40,,多種多様なドラゴンを育成し、最強のドラゴンテイマーに挑戦しましょう！,newbie_welcome
41,,テイマーさん！ドラゴンビレッジMの世界へようこそ！,newbie_welcome
42,,多彩なコンテンツ！果てしない挑戦！戦略的戦闘！,newbie_welcome
43,,ドラゴン育成RPG！,newbie_welcome
44,,能力から外見まで、千差万別、個性豊かな数百匹のドラゴンたち！,newbie_welcome
45,,かわいくて、キュートで、かっこいい！個性あふれるドラゴンのコレクション！,newbie_welcome
46,,世界で一番ステキなドラゴンがみんな集まったドラゴンゲーム！,newbie_welcome
47,,数百種類のさまざまなドラゴン！自分だけのドラゴンを育成せよ！,newbie_welcome
48,,コロシアムでのエキサイティングな勝負！,newbie_welcome
49,,與數百隻充滿魅力的神龍一起展開冒險吧！,newbie_welcome
50,,快來看看‘Dragon Village系列’中充滿個性並多樣的神龍！,newbie_welcome
51,,透過點擊&拖拉來體會控制戰鬥的趣味！,newbie_welcome
52,,透過調配神龍的能力、屬性、陣形...等要素來享受戰略型的戰鬥。,newbie_welcome
53,,可揣摩背負世界命運的神龍馴龍師們展開冒險的故事。,newbie_welcome
54,,透過簡單又有趣的操作方法，親手開啟一場戰鬥吧！,newbie_welcome
55,,使神龍成長並組成一組最強的隊伍。,newbie_welcome
56,,快來訓養多樣的神龍並挑戰成為最強的馴龍師！,newbie_welcome
57,,馴龍師！歡迎來到Dragon Village M的世界！,newbie_welcome
58,,多樣的主題！沒有終點的挑戰！戰略性戰鬥！,newbie_welcome
59,,訓養神龍 RPG!,newbie_welcome
60,,從能力到外表千差萬別的數百隻神龍們！,newbie_welcome
61,,可愛～調皮～帥氣！！快來搜集個性滿點的神龍！,newbie_welcome
62,,擁有世界上所有帥氣神龍的神龍遊戲！,newbie_welcome
63,,數百種的多樣神龍，快來訓養屬於你自己的神龍吧！,newbie_welcome
64,,競技場中令人興奮的一局性勝負！,newbie_welcome
65,,ลองเริ่มการผจญภัยกับมังกรที่มีเสน่ห์ที่หลากหลาย,newbie_welcome
66,,พบกับมังกรที่มีเอกลักษณ์และหลากหลายในซีรีย์ดราก้อนวิลเลจ,newbie_welcome
67,,ควบคุมการต่อสู้ด้วยทัชและลาก!,newbie_welcome
68,,"สนุกกับการต่อสู้เชิงกลยุทธ์ด้วยการรวมประเภทและอาชีพมังกร, การจัดปาร์ตี้และอื่นๆ",newbie_welcome
69,,ชมการผจญภัยของดราก้อนเทมเมอร์ ผู้แบกรับชะตากรรมของโลก,newbie_welcome
70,,เข้าร่วมการต่อสู้ด้วยตัวเองด้วยการควบคุมที่ง่ายและสนุก,newbie_welcome
71,,เลี้ยงมังกรเพื่อสร้างทีมที่แข็งแกร่งที่สุด,newbie_welcome
72,,ส่งเสริมมังกรที่หลากหลายแล้วท้าเทมเมอร์อื่นๆที่เก่งกาจ,newbie_welcome
73,,ท่านเทมเมอร์!ยินดีต้อนรับท่านสู่โลกแห่งดราก้อนวิลลเจM,newbie_welcome
74,,คอนเท็นท์ที่หลากหลาย! ความท้าทายที่ไม่มีที่สิ้นสุด! การต่อสู้เชิงกลยุทธ์!,newbie_welcome
75,,ดราก้อนซิมูเลชั่นRPG!,newbie_welcome
76,,มังกรนับร้อยที่หน้าตารูปร่างและฝีมือแตกต่างออกไป,newbie_welcome
77,,น่ารัก~น่าเอ็นดู~เท่!!รวบรวมมังกรที่แตกต่าง!,newbie_welcome
78,,เกมมังกรที่มีแต่มังกรเจ๋งๆทั้งนั้น!,newbie_welcome
79,,ฝึกฝนมังกรที่แตกต่างกันมากกว่าหลายร้อยตัว,newbie_welcome
80,,การแข่งขันโคลีเซียมที่น่าตื่นเต้นตื่นใจ,newbie_welcome
81,,¡Embárcate en una aventura con cientos de espléndidos dragones!,newbie_welcome
82,,¡Conoce a los diversos dragones llenos de personalidad de «Dragon Village Series»!,newbie_welcome
83,,¡Diviértete controlando la batalla con habilidades táctiles y de arrastre!,newbie_welcome
84,,"Disfruta de las batallas estratégicas combinando requisitos como: grupo perteneciente de los dragones, atributos, formación de los grupos, entre otros.",newbie_welcome
85,,Puedes echar un vistazo al desarrollo de la historia en la que el destino del mundo está en manos de los domadores de dragones.,newbie_welcome
86,,¡Lucha con tus propias manos con controles fáciles y divertidos!,newbie_welcome
87,,Haz crecer tu dragón y crea al mejor equipo.,newbie_welcome
88,,¡Forma a tu dragón y reta al domador más fuerte!,newbie_welcome
