rank_id,tier_id,tier,t_name,rank_min,rank_max,ratio_min,ratio_max,reward,week
1,11,legend,1위,1,1,,,cash;120000,202326
2,12,master_1,2위,2,2,,,cash;100000,202326
3,13,master_2,3위,3,3,,,cash;80000,202326
4,14,master_3,4위~5위,4,5,,,cash;60000,202326
5,15,master_4,6위~10위,6,10,,,cash;50000,202326
6,16,hero_1,11위~15위,11,15,,,cash;48000,202326
7,17,hero_2,16위~20위,16,20,,,cash;46000,202326
8,18,hero_3,21위~25위,21,25,,,cash;44000,202326
9,19,diamond_1,26위~30위,26,30,,,cash;42000,202326
10,20,diamond_2,31위~40위,31,40,,,cash;40000,202326
11,21,diamond_3,41위~50위,41,50,,,cash;38000,202326
12,22,platinum_1,51위~60위,51,60,,,cash;36000,202326
13,23,platinum_2,61위~70위,61,70,,,cash;34000,202326
14,24,platinum_3,71위~80위,71,80,,,cash;32000,202326
15,25,gold_1,81위~100위,81,100,,,cash;30000,202326
16,26,gold_2,101위~125위,101,125,,,cash;28000,202326
17,27,gold_3,126위~150위,126,150,,,cash;26000,202326
18,28,silver_1,151위~200위,151,200,,,cash;25000,202326
19,29,silver_2,201위~250위,201,250,,,cash;24000,202326
20,30,silver_3,251위~300위,251,300,,,cash;23000,202326
21,31,bronze_1,301위~350위,301,350,,,cash;22000,202326
22,32,bronze_2,351위~400위,351,400,,,cash;21000,202326
23,33,bronze_3,401위~500위,401,500,,,cash;20000,202326
24,34,beginner,상위 40%,,,0,40,cash;12000,202326
25,35,beginner,상위 60%,,,40,60,cash;9000,202326
26,36,beginner,상위 80%,,,60,80,cash;6000,202326
27,37,beginner,상위 100%,,,80,100,cash;3000,202326
