chapter_id,difficulty,chapter,reward_7,reward_14,reward_21
101,1,1,gold;5000,700007;200,cash;50
102,1,2,gold;10000,700007;280,cash;70
103,1,3,gold;15000,700007;360,cash;90
104,1,4,gold;20000,700007;440,cash;110
105,1,5,gold;25000,700007;520,cash;130
106,1,6,gold;30000,700007;600,cash;150
107,1,7,gold;35000,700007;680,cash;170
108,1,8,gold;40000,700007;760,cash;190
109,1,9,gold;45000,700007;840,cash;210
110,1,10,gold;50000,700007;920,cash;230
111,1,11,gold;55000,700007;1000,cash;250
112,1,12,gold;60000,700007;1080,cash;270
201,2,1,gold;65000,700007;1160,cash;290
202,2,2,gold;70000,700007;1240,cash;310
203,2,3,gold;75000,700007;1320,cash;330
204,2,4,gold;80000,700007;1400,cash;350
205,2,5,gold;85000,700007;1480,cash;370
206,2,6,gold;90000,700007;1560,cash;390
207,2,7,gold;95000,700007;1640,cash;410
208,2,8,gold;100000,700007;1720,cash;430
209,2,9,gold;105000,700007;1800,cash;450
210,2,10,gold;110000,700007;1880,cash;470
211,2,11,gold;115000,700007;1960,cash;490
212,2,12,gold;120000,700007;2040,cash;510
301,3,1,gold;125000,700007;2120,cash;530
302,3,2,gold;130000,700007;2200,cash;550
303,3,3,gold;135000,700007;2280,cash;570
304,3,4,gold;140000,700007;2360,cash;590
305,3,5,gold;145000,700007;2440,cash;610
306,3,6,gold;150000,700007;2520,cash;630
307,3,7,gold;155000,700007;2600,cash;650
308,3,8,gold;160000,700007;2680,cash;670
309,3,9,gold;165000,700007;2760,cash;690
310,3,10,gold;170000,700007;2840,cash;710
311,3,11,gold;175000,700007;2920,cash;730
312,3,12,gold;180000,700007;3000,cash;750
401,4,1,gold;125000,700007;2120,cash;530
402,4,2,gold;130000,700007;2200,cash;550
403,4,3,gold;135000,700007;2280,cash;570
404,4,4,gold;140000,700007;2360,cash;590
405,4,5,gold;145000,700007;2440,cash;610
406,4,6,gold;150000,700007;2520,cash;630
407,4,7,gold;155000,700007;2600,cash;650
408,4,8,gold;160000,700007;2680,cash;670
409,4,9,gold;165000,700007;2760,cash;690
410,4,10,gold;170000,700007;2840,cash;710
411,4,11,gold;175000,700007;2920,cash;730
412,4,12,gold;180000,700007;3000,cash;750
501,5,1,gold;200000,700007;3000,cash;700
502,5,2,gold;200000,700007;3000,cash;700
503,5,3,gold;200000,700007;3000,cash;700
504,5,4,gold;200000,700007;3000,cash;700
505,5,5,gold;200000,700007;3000,cash;700
506,5,6,gold;200000,700007;3000,cash;700
507,5,7,gold;200000,700007;3000,cash;700
508,5,8,gold;200000,700007;3000,cash;700
509,5,9,gold;200000,700007;3000,cash;700
510,5,10,gold;200000,700007;3000,cash;700
511,5,11,gold;200000,700007;3000,cash;700
512,5,12,gold;200000,700007;3000,cash;700
601,6,1,gold;210000,700007;3000,cash;700
602,6,2,gold;210000,700007;3000,cash;700
603,6,3,gold;210000,700007;3000,cash;700
604,6,4,gold;210000,700007;3000,cash;700
605,6,5,gold;210000,700007;3000,cash;700
606,6,6,gold;210000,700007;3000,cash;700
607,6,7,gold;210000,700007;3000,cash;700
608,6,8,gold;210000,700007;3000,cash;700
609,6,9,gold;210000,700007;3000,cash;700
610,6,10,gold;210000,700007;3000,cash;700
611,6,11,gold;210000,700007;3000,cash;700
612,6,12,gold;210000,700007;3000,cash;700
