lv,exp,member,gold_bonus_rate,exp_bonus_rate
1,46000,20,0,0
2,55200,20,0,0
3,64400,20,0,0
4,73600,20,0,0
5,86040,21,5,10
6,95600,21,5,10
7,105160,21,5,10
8,114720,21,5,10
9,124280,21,5,10
10,138880,22,10,20
11,148800,22,10,20
12,158720,22,10,20
13,168640,22,10,20
14,178560,22,10,20
15,195320,23,15,30
16,205600,23,15,30
17,215880,23,15,30
18,226160,23,15,30
19,236440,23,15,30
20,255360,24,20,40
21,266000,24,20,40
22,276640,24,20,40
23,287280,24,20,40
24,297920,24,20,40
25,319000,25,25,50
26,330000,25,25,50
27,341000,25,25,50
28,352000,25,25,50
29,363000,25,25,50
30,386240,25,30,60
31,397600,25,30,60
32,408960,25,30,60
33,420320,25,30,60
34,431680,25,30,60
35,457080,25,35,70
36,468800,25,35,70
37,480520,25,35,70
38,492240,25,35,70
39,503960,25,35,70
40,531520,25,40,80
41,543600,25,40,80
42,555680,25,40,80
43,567760,25,40,80
44,579840,25,40,80
45,609560,25,45,90
46,622000,25,45,90
47,634440,25,45,90
48,646880,25,45,90
49,659320,25,45,90
50,691200,25,50,100
51,716700,25,50,100
52,742700,25,50,100
53,769200,25,50,100
54,796200,25,50,100
55,823700,25,50,100
56,851700,25,50,100
57,880200,25,50,100
58,909200,25,50,100
59,938700,25,50,100
60,968700,25,50,100
61,999200,25,50,100
62,1030200,25,50,100
63,1061700,25,50,100
64,1093700,25,50,100
65,1126200,25,50,100
66,1159200,25,50,100
67,1192700,25,50,100
68,1226700,25,50,100
69,1261200,25,50,100
70,1296200,25,50,100
71,1331700,25,50,100
72,1367700,25,50,100
73,1404200,25,50,100
74,1441200,25,50,100
75,1478700,25,50,100
76,1516700,25,50,100
77,1555200,25,50,100
78,1594200,25,50,100
79,1633700,25,50,100
80,1673700,25,50,100
81,1714200,25,50,100
82,1755200,25,50,100
83,1796700,25,50,100
84,1838700,25,50,100
85,1881200,25,50,100
86,1924200,25,50,100
87,1967700,25,50,100
88,2011700,25,50,100
89,2056200,25,50,100
90,2101200,25,50,100
91,2146700,25,50,100
92,2192700,25,50,100
93,2239200,25,50,100
94,2286200,25,50,100
95,2333700,25,50,100
96,2381700,25,50,100
97,2430200,25,50,100
98,2479200,25,50,100
99,2528700,25,50,100
100,2578700,25,50,100
