id,server,clan_name,res
1,DEV,도라에몽,res/ui/icons/clan/custom/mark_001.png
2,QA,렝가,res/ui/icons/clan/custom/mark_002.png
3,Korea,너구리,res/ui/icons/clan/custom/mark_003.png
4,Korea,창천,res/ui/icons/clan/custom/mark_020.png
5,Korea,치킨,res/ui/icons/clan/custom/mark_005.png
6,Korea,흑룡,res/ui/icons/clan/custom/mark_006.png
7,Korea,두둠칫,res/ui/icons/clan/custom/mark_007.png
8,Korea,도원결의,res/ui/icons/clan/custom/mark_008.png
9,Korea,흑뢰,res/ui/icons/clan/custom/mark_009.png
10,Korea,소녀,res/ui/icons/clan/custom/mark_010.png
11,Korea,풍뢰,res/ui/icons/clan/custom/mark_011.png
12,Korea,골드문,res/ui/icons/clan/custom/mark_012.png
13,Korea,ROMA,res/ui/icons/clan/custom/mark_016.png
14,Korea,Dragon,res/ui/icons/clan/custom/mark_014.png
15,Korea,Pluto,res/ui/icons/clan/custom/mark_015.png
17,Korea,매화,res/ui/icons/clan/custom/mark_017.png
18,Korea,백린,res/ui/icons/clan/custom/mark_018.png
19,Korea,소울문,res/ui/icons/clan/custom/mark_019.png
21,Korea,청뢰,res/ui/icons/clan/custom/mark_021.png
22,Korea,홍매,res/ui/icons/clan/custom/mark_022.png
23,Korea,창공,res/ui/icons/clan/custom/mark_023.png
24,Korea,다크문,res/ui/icons/clan/custom/mark_024.png
25,America,IMPERIAL,res/ui/icons/clan/custom/mark_025.png
26,America,Sakura,res/ui/icons/clan/custom/mark_026.png
27,Asia,BrightDawn,res/ui/icons/clan/custom/mark_027.png
28,Asia,แคนเฉพาะกิ,res/ui/icons/clan/custom/mark_028.png
29,Japan,ｘｘｘ,res/ui/icons/clan/custom/mark_029.png
30,Japan,ベルナ村,res/ui/icons/clan/custom/mark_030.png
31,America,Wolfchant,res/ui/icons/clan/custom/mark_031.png
90,DEV,클랜2마크,res/ui/icons/clan/custom/mark_029.png
91,DEV,창공,res/ui/icons/clan/custom/mark_026.png
92,DEV,신규클랜서버,res/ui/icons/clan/custom/mark_027.png
93,DEV,실버문,res/ui/icons/clan/custom/mark_028.png
94,DEV,배가고프다,res/ui/icons/clan/custom/mark_029.png
