rank_id,category,t_name,rank_min,rank_max,ratio_min,ratio_max,reward,week,clan_exp,reward_value
1001,ancient,1위,1,1,,,clancoin;200,1,,
1002,ancient,2위,2,2,,,clancoin;190,1,,
1003,ancient,3위,3,3,,,clancoin;185,1,,
1004,ancient,4위,4,4,,,clancoin;180,1,,
1005,ancient,5위,5,5,,,clancoin;175,1,,
1006,ancient,6위,6,6,,,clancoin;170,1,,
1007,ancient,7위,7,7,,,clancoin;165,1,,
1008,ancient,8위,8,8,,,clancoin;160,1,,
1009,ancient,9위,9,9,,,clancoin;155,1,,
1010,ancient,10위,10,10,,,clancoin;150,1,,
1011,ancient,11위,11,11,,,clancoin;145,1,,
1012,ancient,12위,12,12,,,clancoin;140,1,,
1013,ancient,13위,13,13,,,clancoin;135,1,,
1014,ancient,14위,14,14,,,clancoin;130,1,,
1015,ancient,15위,15,15,,,clancoin;125,1,,
1016,ancient,16위,16,16,,,clancoin;120,1,,
1017,ancient,17위,17,17,,,clancoin;115,1,,
1018,ancient,18위,18,18,,,clancoin;110,1,,
1019,ancient,19위,19,19,,,clancoin;105,1,,
1020,ancient,20위,20,20,,,clancoin;100,1,,
1021,ancient,21~25위,21,25,,,clancoin;95,1,,
1022,ancient,26~30위,26,30,,,clancoin;90,1,,
1023,ancient,31~35위,31,35,,,clancoin;85,1,,
1024,ancient,36~40위,36,40,,,clancoin;80,1,,
1025,ancient,41~45위,41,45,,,clancoin;75,1,,
1026,ancient,46~50위,46,50,,,clancoin;70,1,,
1027,ancient,51~60위,51,60,,,clancoin;65,1,,
1028,ancient,61~70위,61,70,,,clancoin;60,1,,
1029,ancient,71~80위,71,80,,,clancoin;55,1,,
1030,ancient,81~90위,81,90,,,clancoin;50,1,,
1031,ancient,91~100위,91,100,,,clancoin;45,1,,
1032,ancient,100위 미만,,,0,100,clancoin;40,1,,
1111,ancient,1위,1,1,,,clancoin;80,201747,,
1112,ancient,2위~5위,2,5,,,clancoin;70,201747,,
1113,ancient,6위~10위,6,10,,,clancoin;60,201747,,
1114,ancient,11위~50위,11,50,,,clancoin;50,201747,,
1115,ancient,50위 미만,,,0,100,clancoin;40,201747,,
1121,ancient,1위,1,1,,,clancoin;200,201913,,
1122,ancient,2위~5위,2,5,,,clancoin;150,201913,,
1123,ancient,6위~10위,6,10,,,clancoin;100,201913,,
1124,ancient,11위~50위,11,50,,,clancoin;50,201913,,
1125,ancient,50위 미만,,,0,100,clancoin;30,201913,,
2001,colosseum,1위,1,1,,,clancoin;100,1,,
2002,colosseum,2위~5위,2,5,,,clancoin;90,1,,
2003,colosseum,6위~10위,6,10,,,clancoin;80,1,,
2004,colosseum,11위~50위,11,50,,,clancoin;70,1,,
2005,colosseum,50위 미만,,,0,100,clancoin;50,1,,
3001,dungeon,1위,1,1,,,clancoin;3000,1,70000,0.06
3002,dungeon,2위,2,2,,,clancoin;2950,1,60000,0.06
3003,dungeon,3위,3,3,,,clancoin;2900,1,50000,0.06
3004,dungeon,4위,4,4,,,clancoin;2850,1,40000,0.06
3005,dungeon,5위,5,5,,,clancoin;2800,1,40000,0.06
3006,dungeon,6위,6,6,,,clancoin;2750,1,40000,0.06
3007,dungeon,7위,7,7,,,clancoin;2700,1,40000,0.06
3008,dungeon,8위,8,8,,,clancoin;2650,1,40000,0.06
3009,dungeon,9위,9,9,,,clancoin;2600,1,40000,0.06
3010,dungeon,10위,10,10,,,clancoin;2550,1,40000,0.06
3011,dungeon,11위,11,11,,,clancoin;2500,1,30000,0.06
3012,dungeon,12위,12,12,,,clancoin;2450,1,30000,0.06
3013,dungeon,13위,13,13,,,clancoin;2400,1,30000,0.06
3014,dungeon,14위,14,14,,,clancoin;2350,1,30000,0.06
3015,dungeon,15위,15,15,,,clancoin;2300,1,30000,0.06
3016,dungeon,16위,16,16,,,clancoin;2250,1,30000,0.06
3017,dungeon,17위,17,17,,,clancoin;2200,1,30000,0.06
3018,dungeon,18위,18,18,,,clancoin;2150,1,30000,0.06
3019,dungeon,19위,19,19,,,clancoin;2100,1,30000,0.06
3020,dungeon,20위,20,20,,,clancoin;2050,1,30000,0.06
3021,dungeon,21~25위,21,25,,,clancoin;2000,1,25000,0.06
3022,dungeon,26~30위,26,30,,,clancoin;1950,1,25000,0.06
3023,dungeon,31~35위,31,35,,,clancoin;1900,1,25000,0.06
3024,dungeon,36~40위,36,40,,,clancoin;1850,1,25000,0.06
3025,dungeon,41~45위,41,45,,,clancoin;1800,1,25000,0.06
3026,dungeon,46~50위,46,50,,,clancoin;1750,1,25000,0.06
3027,dungeon,51~60위,51,60,,,clancoin;1700,1,20000,0.06
3028,dungeon,61~70위,61,70,,,clancoin;1650,1,20000,0.06
3029,dungeon,71~80위,71,80,,,clancoin;1600,1,20000,0.06
3030,dungeon,81~90위,81,90,,,clancoin;1550,1,20000,0.06
