id,group_id,r_index,r_group,reward,r_reward,rate
1001,1,1,DVC 이마트 삼각김밥 스크래치 1차,700330;50,드래곤 소환권 50개,5
1002,1,2,DVC 이마트 삼각김밥 스크래치 1차,700330;25,드래곤 소환권 25개,10
1003,1,3,DVC 이마트 삼각김밥 스크래치 1차,704900;100,룬 연마석 100개,15
1004,1,4,DVC 이마트 삼각김밥 스크래치 1차,704900;50,룬 연마석 50개,15
1005,1,5,DVC 이마트 삼각김밥 스크래치 1차,700009;8,토파즈 8개,15
1006,1,6,DVC 이마트 삼각김밥 스크래치 1차,700009;5,토파즈 5개,15
1007,1,7,DVC 이마트 삼각김밥 스크래치 1차,700651;1,룬 10개 뽑기 상자 1개,25
2001,2,1,DVC 이마트 띠부 씰 쿠폰 1차,771962;1,레슬로(신화 드래곤),1
2002,2,2,DVC 이마트 띠부 씰 쿠폰 1차,700330;50,드래곤 소환권 50개,10
2003,2,3,DVC 이마트 띠부 씰 쿠폰 1차,700330;30,드래곤 소환권 30개,15
2004,2,4,DVC 이마트 띠부 씰 쿠폰 1차,704900;100,룬 연마석 100개,15
2005,2,5,DVC 이마트 띠부 씰 쿠폰 1차,704900;50,룬 연마석 50개,25
2006,2,6,DVC 이마트 띠부 씰 쿠폰 1차,700101;1000,날개 1000개,34
