tid,tier,group,win_reward,lose_reward,weekly_reward,cutline,rank,weekly_init_score
11,legend,legend,honor;6,honor;1,cash;3000,2200,1,1000
12,master_1,master,honor;6,honor;1,cash;2600,2100,2,1000
13,master_2,master,honor;6,honor;1,cash;2450,2100,3,1000
14,master_3,master,honor;6,honor;1,cash;2300,2100,10,1000
15,master_4,master,honor;6,honor;1,cash;2150,2100,50,1000
16,diamond_1,diamond,honor;6,honor;1,cash;2000,2000,,1000
17,diamond_2,diamond,honor;6,honor;1,cash;1850,1900,,1000
18,diamond_3,diamond,honor;6,honor;1,cash;1750,1800,,1000
19,gold_1,gold,honor;5,honor;1,cash;1500,1700,,1000
20,gold_2,gold,honor;5,honor;1,cash;1300,1600,,1000
21,gold_3,gold,honor;5,honor;1,cash;1150,1500,,1000
22,silver_1,silver,honor;4,honor;1,cash;1000,1400,,1000
23,silver_2,silver,honor;4,honor;1,cash;900,1300,,1000
24,silver_3,silver,honor;4,honor;1,cash;800,1200,,1000
25,bronze_1,bronze,honor;3,honor;1,cash;600,1100,,1000
26,bronze_2,bronze,honor;3,honor;1,cash;400,1000,,1000
27,bronze_3,bronze,honor;3,honor;1,cash;300,900,,1000
28,beginner,beginner,honor;3,honor;1,cash;100,0,,1000
