id,cell,lap,mail_content,category,cell_weight
1001,1,,700330;3,cell,1
1002,2,,700007;300,cell,1
1003,3,,700711;1,cell,1
1004,4,,779154;1,cell,1
1005,5,,704026;1,cell,1
1006,6,,700001;300,cell,1
1007,7,,704900;2,cell,1
1008,8,,700711;1,cell,1
1009,9,,700002;100000,cell,1
1010,10,,700330;3,cell,1
1011,11,,700711;1,cell,1
1012,12,,700001;300,cell,1
1013,13,,700007;300,cell,1
1014,14,,700002;150000,cell,1
1015,15,,700017;100000,cell,1
1016,16,,700012;1,cell,1
1017,17,,700330;3,cell,1
1018,18,,700007;300,cell,1
1019,19,,700711;1,cell,1
1020,20,,779154;1,cell,1
1021,21,,704026;1,cell,1
1022,22,,700001;300,cell,1
1023,23,,704900;2,cell,1
1024,24,,700711;1,cell,1
1025,25,,700002;100000,cell,1
1026,26,,700330;3,cell,1
1027,27,,700711;1,cell,1
1028,28,,700001;300,cell,1
1029,29,,700007;300,cell,1
1030,30,,700002;150000,cell,1
1031,31,,700017;100000,cell,1
1032,32,,700012;1,cell,1
2001,,1,700330;10,lap,
2002,,4,703005;1,lap,
2003,,8,700330;50,lap,
2004,,12,703001;1,lap,
2005,,21,703041;1,lap,
2006,,32,703042;1,lap,
2007,,40,703042;1,lap,
2008,,48,703042;1,lap,
2009,,56,703042;1,lap,
2010,,64,779265;1,lap,
