rid,t_desc,clear_type,clear_target,clear_value,t_name,res,t_speech,desc_1,r_reward_1,r_val_1,r_reward_2,r_val_2,r_reward_3,r_val_3,r_reward_4,r_val_4,reward,special,
11001,3성 10레벨 달성,d_lv,3,10,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,시작부터 전설 드래곤인 내가 함께 하는걸 감사하라구!\n우선 '모험'을 통해 내 레벨을 올리면 너를 더 도울 수 있을 것 같군.,,골드,10000,,,,,,,700002;10000,,골드 10000
11002,3성 20레벨 달성,d_lv,3,20,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,좋았어. 지금처럼 내 레벨을 올리면 네 여정에 크게 도움이 될거야.\n조금 더 '모험'을 진행해볼까?,,골드,10000,,,,,,,700002;10000,,골드 10000
11003,3성 30레벨 달성,d_lv,3,30,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,좋았어. 지금처럼 내 레벨을 올리면 네 여정에 크게 도움이 될거야.\n조금 더 '모험'을 진행해볼까?,,골드,10000,,,,,,,700002;10000,,골드 10000
11004,친밀도 단계 '인식' 달성,fr_lvup,,1,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,열매는 우리 드래곤이 가장 좋아하는 음식이야.\n'거목 던전'에서 이 열매를 구할 수 있다고 들었는데...,,골드,10000,,,,,,,700002;10000,,골드 10000
11005,친밀도 단계 '관심' 달성,fr_lvup,,2,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,요일마다 특정 속성의 '거목 던전'에 입장할 수 있어.\n그리고 열매도 그 거목 던전의 속성에 따라 얻을 수 있지.,,골드,10000,,,,,,,700002;10000,,골드 10000
11006,친밀도 단계 '소통' 달성,fr_lvup,,3,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,요일마다 특정 속성의 '거목 던전'에 입장할 수 있어.\n그리고 열매도 그 거목 던전의 속성에 따라 얻을 수 있지.,,3성 슈퍼 슬라임,1,,,,,,,779134;1,,3성 슈퍼 슬라임 1
11007,4성으로 승급하기,d_grup_s,4,1,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,동일한 등급의 드래곤이 내게 힘을 전해주면 '승급'을 할 수 있어.\n지금은 3성 드래곤 3마리가 내게 힘을 보태줄 수 있을것 같아.,,3성 쾌속 1번룬,1,3성 쾌속 2번룬,1,3성 쾌속 3번룬,1,3성 쾌속 4번룬,1,"710813;1,710823;1,710833;1,710843;1",,3성 쾌속 1번룬 1
11008,세트 룬 착용(쾌속 룬 4개),r_eq_s,,8,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,내가 좋아하는 능력치는 '공격 속도'야.\n쾌속 룬을 4개 착용하면 공격 속도를 끌어올릴 수 있을 것 같아.,,다이아,100,,,,,,,700001;100,,다이아 100
11009,친밀도 단계 '호감' 달성,fr_lvup,,4,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,저번에 먹었던 '열매'는 정말 맛있었지.\n혹시 조금 더 구할 수 있을까?,,다이아,100,,,,,,,700001;100,,다이아 100
11010,친밀도 단계 '친구' 달성,fr_lvup,,5,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,저번에 먹었던 '열매'는 정말 맛있었지.\n혹시 조금 더 구할 수 있을까?,,다이아,100,,,,,,,700001;100,,다이아 100
11011,친밀도 단계 '다정' 달성,fr_lvup,,6,,res/character/dragon/lightningdragon_@_#/lightningdragon_fire_01.spine,저번에 먹었던 '열매'는 정말 맛있었지.\n혹시 조금 더 구할 수 있을까?,,다이아,100,,,,,,,700001;100,,다이아 100
