friendship,t_name,cumulative_req_exp,cumulative_req_exp_myth,t_desc,total_exp,total_exp_myth
0,무관심,1500,15000,[{1}]님에게 아무런 관심이 없습니다.,0,0
1,인식,1500,15000,[{1}]님의 존재를 알아차렸습니다.,1500,15000
2,관심,2000,20000,[{1}]님에게 관심이 있습니다. ,3000,30000
3,소통,2000,20000,[{1}]님과 의사소통을 합니다,5000,50000
4,호감,2500,25000,[{1}]님을 마음에 들어합니다,7000,70000
5,친구,2500,25000,[{1}]님을 친구라고 생각하고 있습니다.,9500,95000
6,다정,3000,30000,[{1}]님을 소중한 친구로 여기고 있습니다,12000,120000
7,단짝,3000,30000,[{1}]님과 단짝입니다.,15000,150000
8,행복,3500,35000,[{1}]님과 있을때 행복합니다,18000,180000
9,일심동체,0,0,[{1}]님과 일심동체 입니다.,21500,215000
