stage,t_name,season_id,r_difficult,single_reward,mode,r_chapter_info,r_stage_info,attr,cost_type,cost_value,time_limit,wave,tamer_exp,dragon_exp,r_dragon_exp,r_cost_per_exp,gold_min,gold_max,r_gold_aver,mission_01,mission_02,mission_03,item_1_id,item_1_min,item_1_max,item_1_rate,item_2_id,item_2_min,item_2_max,item_2_rate,item_3_id,item_3_min,item_3_max,item_3_rate,item_4_id,item_4_min,item_4_max,item_4_rate,item_5_id,item_5_min,item_5_max,item_5_rate,item_6_id,item_6_min,item_6_max,item_6_rate
1010001,모험,,intro,0,adv,1,1,earth,st,4,120,3,50,0,0,400,100,400,63,"clear_cnt,1","death_cnt,0","lap_time,120",700017,1600,1600,1,710111,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110101,모험,,normal,0,adv,1,1,earth,st,4,120,3,60,0,0,400,416,624,130,"clear_cnt,1","death_cnt,0","lap_time,120",700017,1600,1600,1,710111,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110102,모험,,normal,0,adv,1,2,earth,st,4,120,3,70,0,0,400,417,625,130,"clear_cnt,1","death_cnt,0","lap_time,120",700017,1600,1600,1,710121,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110103,모험,,normal,0,adv,1,3,earth,st,4,120,3,80,0,0,400,418,627,131,"clear_cnt,1","death_cnt,0","lap_time,120",700017,1600,1600,1,710131,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110104,모험,,normal,0,adv,1,4,earth,st,4,120,3,90,0,0,400,419,628,131,"clear_cnt,1","death_cnt,0","lap_time,120",700017,1600,1600,1,710141,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110105,모험,,normal,0,adv,1,5,earth,st,5,120,3,100,0,0,400,525,787,131,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2000,2000,1,710151,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110106,모험,,normal,0,adv,1,6,earth,st,5,120,3,110,0,0,400,526,789,132,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2000,2000,1,710161,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110107,모험,,normal,0,adv,1,7,earth,st,5,120,3,120,0,0,400,527,791,132,"clear_cnt,1","death_cnt,0","lap_time,120",700017,2000,2000,1,720111,1,1,0.5,703016,1,1,0.01,700201,1,1,0.4,,,,,,,,
1110201,모험,,normal,0,adv,2,1,water,st,4,120,3,130,0,0,400,423,634,132,"clear_cnt,1","death_cnt,0","lap_time,120",700017,1600,1600,1,710211,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
1110202,모험,,normal,0,adv,2,2,water,st,4,120,3,140,0,0,400,424,636,133,"clear_cnt,1","death_cnt,0","lap_time,120",700017,1600,1600,1,710221,1,1,0.5,703017,1,1,0.1,700201,1,1,0.4,,,,,,,,
