id,stuff_type,stuff_lv,extension_lv,tamer_lv,price_type,price_value,cooltime,reward_1,reward_1_rate,reward_2,reward_2_rate,dragon_cnt
1,chest,1,2,,,,360,700002;19200,1,,,
2,chest,2,2,,amethyst,100,360,700002;23600,1,,,
3,chest,3,3,,amethyst,140,360,700002;28000,1,,,
4,chest,4,4,,amethyst,200,360,700002;32400,1,,,
5,chest,5,5,,amethyst,280,360,700002;36800,1,,,
6,chest,6,6,,amethyst,390,360,700002;41200,1,,,
7,chest,7,7,,amethyst,550,360,700002;45600,1,,,
8,chest,8,8,,amethyst,770,360,700002;50000,1,,,
9,chest,9,9,,amethyst,1080,360,700002;54400,1,,,
10,chest,10,10,,amethyst,1510,360,700002;58800,1,,,
11,chest,11,11,,amethyst,2110,360,700002;63200,1,,,
12,chest,12,12,,amethyst,2950,360,700002;67600,1,,,
13,chest,13,13,,amethyst,4130,360,700002;72000,1,,,
14,chest,14,14,,amethyst,5780,360,700002;76400,1,,,
15,chest,15,15,,amethyst,8090,360,700002;80800,1,,,
16,table,1,3,,,,360,702092;5,1,,,
17,table,2,3,,amethyst,100,360,702092;8,1,,,
18,table,3,3,,amethyst,140,360,702092;10,1,,,
19,table,4,4,,amethyst,190,360,702092;13,1,,,
20,table,5,5,,amethyst,260,360,702092;15,1,,,
21,table,6,6,,amethyst,350,360,702092;18,1,,,
22,table,7,7,,amethyst,470,360,702092;20,1,,,
23,table,8,8,,amethyst,630,360,702092;23,1,,,
24,table,9,9,,amethyst,850,360,702092;25,1,,,
25,table,10,10,,amethyst,1150,360,702092;28,1,,,
26,table,11,11,,amethyst,1550,360,702092;30,1,,,
27,table,12,12,,amethyst,2090,360,702092;33,1,,,
28,table,13,13,,amethyst,2820,360,702092;35,1,,,
29,table,14,14,,amethyst,3810,360,702092;38,1,,,
30,table,15,15,,amethyst,5140,360,702092;43,1,,,
31,well,1,5,,,,360,700001;60,1,,,
32,well,2,5,,amethyst,100,360,700001;66,1,,,
33,well,3,5,,amethyst,150,360,700001;72,1,,,
34,well,4,5,,amethyst,220,360,700001;78,1,,,
35,well,5,5,,amethyst,320,360,700001;84,1,,,
36,well,6,6,,amethyst,460,360,700001;90,1,,,
37,well,7,7,,amethyst,670,360,700001;96,1,,,
38,well,8,8,,amethyst,970,360,700001;102,1,,,
39,well,9,9,,amethyst,1410,360,700001;108,1,,,
40,well,10,10,,amethyst,2040,360,700001;114,1,,,
41,well,11,11,,amethyst,2960,360,700001;120,1,,,
42,well,12,12,,amethyst,4290,360,700001;126,1,,,
43,well,13,13,,amethyst,6220,360,700001;132,1,,,
44,well,14,14,,amethyst,9020,360,700001;138,1,,,
45,well,15,15,,amethyst,13080,360,700001;150,1,,,
46,bookshelf,1,1,,,,360,700101;60,1,,,
47,bookshelf,2,2,,amethyst,100,360,700101;64,1,,,
48,bookshelf,3,3,,amethyst,140,360,700101;68,1,,,
49,bookshelf,4,4,,amethyst,200,360,700101;72,1,,,
50,bookshelf,5,5,,amethyst,280,360,700101;76,1,,,
51,bookshelf,6,6,,amethyst,390,360,700101;80,1,,,
52,bookshelf,7,7,,amethyst,550,360,700101;84,1,,,
53,bookshelf,8,8,,amethyst,770,360,700101;88,1,,,
54,bookshelf,9,9,,amethyst,1080,360,700101;92,1,,,
55,bookshelf,10,10,,amethyst,1510,360,700101;96,1,,,
56,bookshelf,11,11,,amethyst,2110,360,700101;100,1,,,
57,bookshelf,12,12,,amethyst,2950,360,700101;104,1,,,
58,bookshelf,13,13,,amethyst,4130,360,700101;108,1,,,
59,bookshelf,14,14,,amethyst,5780,360,700101;112,1,,,
60,bookshelf,15,15,,amethyst,8090,360,700101;120,1,,,
61,nest,1,7,,,,720,703017;2,925,703016;2,75,
62,nest,2,7,,amethyst,100,700,703017;2,925,703016;2,75,
63,nest,3,7,,amethyst,140,680,703017;2,925,703016;2,75,
64,nest,4,7,,amethyst,200,660,703017;2,925,703016;2,75,
65,nest,5,7,,amethyst,280,640,703017;2,925,703016;2,75,
66,nest,6,7,,amethyst,390,620,703017;2,925,703016;2,75,
67,nest,7,7,,amethyst,550,600,703017;2,925,703016;2,75,
68,nest,8,8,,amethyst,770,570,703017;2,925,703016;2,75,
69,nest,9,9, ,amethyst,1080,540,703017;2,925,703016;2,75,
70,nest,10,10,,amethyst,1510,510,703017;2,925,703016;2,75,
71,nest,11,11,,amethyst,2110,480,703017;2,925,703016;2,75,
72,nest,12,12,,amethyst,2950,450,703017;2,925,703016;2,75,
73,nest,13,13,,amethyst,4130,420,703017;2,925,703016;2,75,
74,nest,14,14,,amethyst,5780,390,703017;2,925,703016;2,75,
75,nest,15,15,,amethyst,8090,360,703017;2,925,703016;2,75,
76,extension,1,,1,,,,,,,,5
77,extension,2,,5,cash,150,,,,,,6
78,extension,3,,10,cash,210,,,,,,7
79,extension,4,,14,cash,290,,,,,,8
80,extension,5,,18,cash,410,,,,,,9
81,extension,6,,22,cash,570,,,,,,10
82,extension,7,,26,cash,800,,,,,,11
83,extension,8,,30,cash,1100,,,,,,12
84,extension,9,,33,cash,1500,,,,,,13
85,extension,10,,36,cash,2100,,,,,,14
86,extension,11,,39,cash,2900,,,,,,15
87,extension,12,,42,cash,4100,,,,,,16
88,extension,13,,45,cash,5700,,,,,,17
89,extension,14,,48,cash,7200,,,,,,18
90,extension,15,,50,cash,9800,,,,,,20
