product_id,order,did,r_name,r_itemid
130011,1,121643,불 탈릿사,771643
130012,2,121643,불 탈릿사,771643
130021,1,121735,어둠 세에레,771735
130022,2,121735,어둠 세에레,771735
130031,1,121752,물 데스락,771752
130032,2,121752,물 데스락,771752
130041,1,121765,어둠 마카라,771765
130042,2,121765,어둠 마카라,771765
130051,1,121771,땅 헤네스,771771
130052,2,121771,땅 헤네스,771771
130061,1,121784,빛 템페렌티나,771784
130062,2,121784,빛 템페렌티나,771784
130071,1,121792,물 카스티타스,771792
130072,2,121792,물 카스티타스,771792
130081,1,121804,빛 밀라타스,771804
130082,2,121804,빛 밀라타스,771804
130091,1,121813,불 에피트,771813
130092,2,121813,불 에피트,771813
130101,1,121821,땅 글루토니,771821
130102,2,121821,땅 글루토니,771821
130111,1,121833,불 페티아,771833
130112,2,121833,불 페티아,771833
130121,1,121842,물 엔비,771842
130122,2,121842,물 엔비,771842
130131,1,121854,빛 인스트리아,771854
130132,2,121854,빛 인스트리아,771854
130141,1,121861,땅 오베론,771861
130142,2,121861,땅 오베론,771861
130151,1,121875,어둠 프라이드,771875
130152,2,121875,어둠 프라이드,771875
130161,1,121882,물 라루스,771882
130162,2,121882,물 라루스,771882
130171,1,121894,빛 포너,771894
130172,2,121894,빛 포너,771894
130181,1,121901,땅 베네보렌티아,771901
130182,2,121901,땅 베네보렌티아,771901
130191,1,121913,불 라스,771913
130192,2,121913,불 라스,771913
130201,1,121925,암 그리드,771925
130202,2,121925,암 그리드,771925
130211,1,121933,불 마카롱,771933
130212,2,121933,불 마카롱,771933
130221,1,121941,땅 네무스,771941
130222,2,121941,땅 네무스,771941
130231,1,121962,물 레슬로,771962
130232,2,121962,물 레슬로,771962
130241,1,121975,어둠 바르그,771975
130242,2,121975,어둠 바르그,771975
130251,1,121981,땅 카네드,771981
130252,2,121981,땅 카네드,771981
130261,1,121993,불 칼리시,771993
130262,2,121993,불 칼리시,771993
130271,1,122065,어둠 마스테마,772065
130272,2,122065,어둠 마스테마,772065
130281,1,122082,물 체스토,772082
130282,2,122082,물 체스토,772082
130291,1,122094,빛 카루라,772094
130292,2,122094,빛 카루라,772094
