rank_id,r_rank,rank_min,rank_max,point_arena,point_ancient
1,1위,1,1,60,50
2,2위,2,2,55,45
3,3위,3,3,50,41
4,4위~5위,4,5,45,37
5,6위~10위,6,10,40,33
6,11위~15위,11,15,35,29
7,16위~20위,16,20,30,25
8,21위~25위,21,25,28,23
9,26위~30위,26,30,26,21
10,31위~40위,31,40,24,20
11,41위~50위,41,50,22,18
12,51위~60위,51,60,20,16
13,61위~70위,61,70,18,15
14,71위~80위,71,80,16,13
15,81위~100위,81,100,14,11
16,101위~125위,101,125,12,10
17,126위~150위,126,150,10,8
18,151위~200위,151,200,8,6
19,201위~250위,201,250,6,5
20,251위~300위,251,300,4,3
21,301위~350위,301,350,3,2
22,351위~400위,351,400,2,1
23,401위~500위,401,500,1,1
