id,pg_id,type_id,pid,r_type,level,exp,item,r_item_comment,r_item_count
10001,1,0,,normal,1,1400,700101;200,날개,200
10002,1,0,,normal,2,2800,700101;200,날개,200
10003,1,0,,normal,3,4200,700101;200,날개,200
10004,1,0,,normal,4,5600,700101;200,날개,200
10005,1,0,,normal,5,7000,700001;3000,다이아,"3,000"
10006,1,0,,normal,6,8400,700101;200,날개,200
10007,1,0,,normal,7,9800,700101;200,날개,200
10008,1,0,,normal,8,11200,700101;200,날개,200
10009,1,0,,normal,9,12600,700101;200,날개,200
10010,1,0,,normal,10,14000,700014;50,아모르의 서,50
10011,1,0,,normal,11,15400,700101;200,날개,200
10012,1,0,,normal,12,16800,700101;200,날개,200
10013,1,0,,normal,13,18200,700101;200,날개,200
10014,1,0,,normal,14,19600,700101;200,날개,200
10015,1,0,,normal,15,21000,779255;1,전설 스킬 슬라임,1
10016,1,0,,normal,16,22400,700101;200,날개,200
10017,1,0,,normal,17,23800,700101;200,날개,200
10018,1,0,,normal,18,25200,700101;200,날개,200
10019,1,0,,normal,19,26600,700101;200,날개,200
10020,1,0,,normal,20,28000,760005;40,전설 강화 포인트,40
10021,1,0,,normal,21,29400,700101;200,날개,200
10022,1,0,,normal,22,30800,700101;200,날개,200
10023,1,0,,normal,23,32200,700101;200,날개,200
10024,1,0,,normal,24,33600,700101;200,날개,200
10025,1,0,,normal,25,35000,700651;1,룬 10개 뽑기 상자,1
10026,1,0,,normal,26,36400,700101;200,날개,200
10027,1,0,,normal,27,37800,700101;200,날개,200
10028,1,0,,normal,28,39200,700101;200,날개,200
10029,1,0,,normal,29,40600,700101;200,날개,200
10030,1,0,,normal,30,42000,700002;1000000,골드,"1,000,000"
10101,1,1,121701,advanced,1,1400,700101;1000,날개,"1,000"
10102,1,1,121701,advanced,2,2800,700101;1000,날개,"1,000"
10103,1,1,121701,advanced,3,4200,700101;1000,날개,"1,000"
10104,1,1,121701,advanced,4,5600,700101;1000,날개,"1,000"
10105,1,1,121701,advanced,5,7000,700019;1,별의 기억,1
10106,1,1,121701,advanced,6,8400,700101;1000,날개,"1,000"
10107,1,1,121701,advanced,7,9800,700101;1000,날개,"1,000"
10108,1,1,121701,advanced,8,11200,700101;1000,날개,"1,000"
10109,1,1,121701,advanced,9,12600,700101;1000,날개,"1,000"
10110,1,1,121701,advanced,10,14000,779255;4,전설 스킬 슬라임,4
10111,1,1,121701,advanced,11,15400,700101;1000,날개,"1,000"
10112,1,1,121701,advanced,12,16800,700101;1000,날개,"1,000"
10113,1,1,121701,advanced,13,18200,700101;1000,날개,"1,000"
10114,1,1,121701,advanced,14,19600,700101;1000,날개,"1,000"
10115,1,1,121701,advanced,15,21000,760005;160,전설 강화 포인트,160
10116,1,1,121701,advanced,16,22400,700101;1000,날개,"1,000"
10117,1,1,121701,advanced,17,23800,700101;1000,날개,"1,000"
10118,1,1,121701,advanced,18,25200,700101;1000,날개,"1,000"
10119,1,1,121701,advanced,19,26600,700101;1000,날개,"1,000"
10120,1,1,121701,advanced,20,28000,741041;1,특성 재료,1
10121,1,1,121701,advanced,21,29400,700101;1000,날개,"1,000"
10122,1,1,121701,advanced,22,30800,700101;1000,날개,"1,000"
10123,1,1,121701,advanced,23,32200,700101;1000,날개,"1,000"
10124,1,1,121701,advanced,24,33600,700101;1000,날개,"1,000"
10125,1,1,121701,advanced,25,35000,700009;30,토파즈,30
10126,1,1,121701,advanced,26,36400,700101;1000,날개,"1,000"
10127,1,1,121701,advanced,27,37800,700101;1000,날개,"1,000"
10128,1,1,121701,advanced,28,39200,700101;1000,날개,"1,000"
10129,1,1,121701,advanced,29,40600,700101;1000,날개,"1,000"
10130,1,1,121701,advanced,30,42000,700002;10000000,골드,"10,000,000"
10201,1,2,121702,premium,1,1400,700101;2000,날개,"2,000"
10202,1,2,121702,premium,2,2800,700101;2000,날개,"2,000"
10203,1,2,121702,premium,3,4200,700101;2000,날개,"2,000"
10204,1,2,121702,premium,4,5600,700101;2000,날개,"2,000"
10205,1,2,121702,premium,5,7000,700019;2,별의 기억,2
10206,1,2,121702,premium,6,8400,700101;2000,날개,"2,000"
10207,1,2,121702,premium,7,9800,700101;2000,날개,"2,000"
10208,1,2,121702,premium,8,11200,700101;2000,날개,"2,000"
