lv,rune_slot,rune_lvup_price,dragon_slot,dragon_lvup_price
0,50,cash;100,100,cash;0
1,60,cash;200,100,cash;0
2,70,cash;300,100,cash;0
3,80,cash;400,100,cash;0
4,90,cash;500,100,cash;0
5,100,cash;600,100,cash;100
6,110,cash;700,110,cash;200
7,120,cash;800,120,cash;300
8,130,cash;900,130,cash;400
9,140,cash;1000,140,cash;500
10,150,cash;1100,150,cash;600
11,160,cash;1200,160,cash;700
12,170,cash;1300,170,cash;800
13,180,cash;1400,180,cash;900
14,190,cash;1500,190,cash;1000
15,200,cash;1600,200,cash;1100
16,210,cash;1700,210,cash;1200
17,220,cash;1800,220,cash;1300
18,230,cash;1900,230,cash;1400
19,240,cash;2000,240,cash;1500
20,250,cash;2500,250,cash;1600
21,300,cash;3000,260,cash;1700
22,350,cash;3500,270,cash;1800
23,400,cash;4000,280,cash;1900
24,450,cash;4500,290,cash;2000
25,500,cash;10000,300,cash;2100
26,550,,310,cash;2200
27,,,320,cash;2300
28,,,330,cash;2400
29,,,340,cash;2500
30,,,350,cash;2600
