id,type,origin_item_id,target_item_id,origin_item_count,target_item_count,req_gold,r_origin_name,r_target_name
1,combine,701011,701012,10,1,10000,하급 진화의 보석,중급 진화의 보석
2,combine,701012,701013,10,1,10000,중급 진화의 보석,상급 진화의 보석
3,combine,701013,701014,10,1,10000,상급 진화의 보석,최상급 진화의 보석
4,combine,701111,701112,10,1,10000,하급 땅의정기,중급 땅의정기
5,combine,701112,701113,10,1,10000,중급 땅의정기,상급 땅의 정기
6,combine,701113,701114,10,1,10000,상급 땅의 정기,최상급 땅의 정기
7,combine,701121,701122,10,1,10000,하급 물의 정기,중급 물의 정기
8,combine,701122,701123,10,1,10000,중급 물의 정기,상급 물의 정기
9,combine,701123,701124,10,1,10000,상급 물의 정기,최상급 물의 정기
10,combine,701131,701132,10,1,10000,하급 불의 정기,중급 불의 정기
11,combine,701132,701133,10,1,10000,중급 불의 정기,상급 불의 정기
12,combine,701133,701134,10,1,10000,상급 불의 정기,최상급 불의 정기
13,combine,701141,701142,10,1,10000,하급 빛의 정기,중급 빛의 정기
14,combine,701142,701143,10,1,10000,중급 빛의 정기,상급 빛의 정기
15,combine,701143,701144,10,1,10000,상급 빛의 정기,최상급 빛의 정기
16,combine,701151,701152,10,1,10000,하급 어둠의 정기,중급 어둠의 정기
17,combine,701152,701153,10,1,10000,중급 어둠의 정기,상급 어둠의 정기
18,combine,701153,701154,10,1,10000,상급 어둠의 정기,최상급 어둠의 정기
19,divide,701012,701011,1,5,10000,중급 진화의 보석,하급 진화의 보석
20,divide,701013,701012,1,5,10000,상급 진화의 보석,중급 진화의 보석
21,divide,701014,701013,1,5,10000,최상급 진화의 보석,상급 진화의 보석
22,divide,701112,701111,1,5,10000,중급 땅의정기,하급 땅의정기
23,divide,701113,701112,1,5,10000,상급 땅의 정기,중급 땅의정기
24,divide,701114,701113,1,5,10000,최상급 땅의 정기,상급 땅의 정기
25,divide,701122,701121,1,5,10000,중급 물의 정기,하급 물의 정기
26,divide,701123,701122,1,5,10000,상급 물의 정기,중급 물의 정기
27,divide,701124,701123,1,5,10000,최상급 물의 정기,상급 물의 정기
28,divide,701132,701131,1,5,10000,중급 불의 정기,하급 불의 정기
29,divide,701133,701132,1,5,10000,상급 불의 정기,중급 불의 정기
30,divide,701134,701133,1,5,10000,최상급 불의 정기,상급 불의 정기
31,divide,701142,701141,1,5,10000,중급 빛의 정기,하급 빛의 정기
32,divide,701143,701142,1,5,10000,상급 빛의 정기,중급 빛의 정기
33,divide,701144,701143,1,5,10000,최상급 빛의 정기,상급 빛의 정기
34,divide,701152,701151,1,5,10000,중급 어둠의 정기,하급 어둠의 정기
35,divide,701153,701152,1,5,10000,상급 어둠의 정기,중급 어둠의 정기
36,divide,701154,701153,1,5,10000,최상급 어둠의 정기,상급 어둠의 정기
