lid,season_id,r_season_id,type,r_value_2,rate,key,option_level,r_desc,key_value
10110001,101,아모르의 용기,1,1,11.24,atk_multi,1,atk +d% (공격력 d% 추가),1
10110002,101,아모르의 용기,1,2,9,atk_multi,2,atk +d% (공격력 d% 추가),2
10110003,101,아모르의 용기,1,3,7,atk_multi,3,atk +d% (공격력 d% 추가),3
10110004,101,아모르의 용기,1,4,6,atk_multi,4,atk +d% (공격력 d% 추가),4
10110005,101,아모르의 용기,1,5,5,atk_multi,5,atk +d% (공격력 d% 추가),5
10110006,101,아모르의 용기,1,6,4,atk_multi,6,atk +d% (공격력 d% 추가),6
10110007,101,아모르의 용기,1,7,3,atk_multi,7,atk +d% (공격력 d% 추가),7
10110008,101,아모르의 용기,1,8,2,atk_multi,8,atk +d% (공격력 d% 추가),8
10110009,101,아모르의 용기,1,9,1.2,atk_multi,9,atk +d% (공격력 d% 추가),9
10110010,101,아모르의 용기,1,10,0.8,atk_multi,10,atk +d% (공격력 d% 추가),10
10110011,101,아모르의 용기,1,11,0.4,atk_multi,11,atk +d% (공격력 d% 추가),11
10110012,101,아모르의 용기,1,12,0.2,atk_multi,12,atk +d% (공격력 d% 추가),12
10110013,101,아모르의 용기,1,13,0.1,atk_multi,13,atk +d% (공격력 d% 추가),13
10110014,101,아모르의 용기,1,14,0.05,atk_multi,14,atk +d% (공격력 d% 추가),14
10110015,101,아모르의 용기,1,15,0.01,atk_multi,15,atk +d% (공격력 d% 추가),15
10110016,101,아모르의 용기,1,16,21.19,cri_dmg_add,1,cri_dmg +d% (치명 피해 d% 추가),1
10110017,101,아모르의 용기,1,17,13,cri_dmg_add,2,cri_dmg +d% (치명 피해 d% 추가),2
10110018,101,아모르의 용기,1,18,8,cri_dmg_add,3,cri_dmg +d% (치명 피해 d% 추가),3
10110019,101,아모르의 용기,1,19,4,cri_dmg_add,4,cri_dmg +d% (치명 피해 d% 추가),4
10110020,101,아모르의 용기,1,20,2,cri_dmg_add,5,cri_dmg +d% (치명 피해 d% 추가),5
10110021,101,아모르의 용기,1,21,1,cri_dmg_add,6,cri_dmg +d% (치명 피해 d% 추가),6
10110022,101,아모르의 용기,1,22,0.5,cri_dmg_add,7,cri_dmg +d% (치명 피해 d% 추가),7
10110023,101,아모르의 용기,1,23,0.2,cri_dmg_add,8,cri_dmg +d% (치명 피해 d% 추가),8
10110024,101,아모르의 용기,1,24,0.1,cri_dmg_add,9,cri_dmg +d% (치명 피해 d% 추가),9
10110025,101,아모르의 용기,1,25,0.01,cri_dmg_add,10,cri_dmg +d% (치명 피해 d% 추가),10
10120001,101,아모르의 용기,2,1,21.19,def_multi,1,def +d% (방어력 d% 추가),1
10120002,101,아모르의 용기,2,2,13,def_multi,2,def +d% (방어력 d% 추가),2
10120003,101,아모르의 용기,2,3,8,def_multi,3,def +d% (방어력 d% 추가),3
10120004,101,아모르의 용기,2,4,4,def_multi,4,def +d% (방어력 d% 추가),4
10120005,101,아모르의 용기,2,5,2,def_multi,5,def +d% (방어력 d% 추가),5
