rid,road_type,t_desc,clear_type,clear_value,r_name,res,t_speech,desc_1,r_reward_1,r_val_1,r_reward_2,r_val_2,reward,special
10001,normal,모험 {1}스테이지 클리어,clr_stg,1110101,나르비,res/character/npc/narvi/narvi.spine,마스터가 되기 위한 첫 번째 관문이에요.,1-1,다이아,30,영웅의 알(시타엘),1,"700001;30,703027;1",
10002,normal,드래곤 알 부화하기,egg,1,나르비,res/character/npc/narvi/narvi.spine,마스터를 도와줄 드래곤이 필요해 보이네요.,,다이아,50,골드,1000,"700001;50,700002;1000",
10003,normal,모험 {1}스테이지 클리어,clr_stg,1110102,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,1-2,다이아,30,하급 땅의정기,10,"700001;30,701111;10",
10004,normal,모험 {1}스테이지 클리어,clr_stg,1110103,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,1-3,다이아,30,,,700001;30,
10005,normal,모험 {1}스테이지 클리어,clr_stg,1110104,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,1-4,다이아,30,체력 1번 룬,1,"700001;30,710111;1",
10006,normal,룬 장착,r_eq,1,나르비,res/character/npc/narvi/narvi.spine,드래곤도 룬이라는 장비를 착용할 수 있어요.,,다이아,50,골드,1000,"700001;50,700002;1000",
10007,normal,룬 {1}강화 이상 성공하기,r_enc,1,나르비,res/character/npc/narvi/narvi.spine,룬을 강화하면 몬스터를 토벌하는데 좀 더 수월해질 거예요.,1,다이아,50,골드,1000,"700001;50,700002;1000",
10008,normal,모험 {1}스테이지 클리어,clr_stg,1110105,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,1-5,다이아,30,하급 땅의정기,10,"700001;30,701111;10",
10009,normal,모험 {1}스테이지 클리어,clr_stg,1110106,나르비,res/character/npc/narvi/narvi.spine,몬스터를 토벌해 주세요.,1-6,다이아,30,드래곤 경험치,1,"700001;30,700017;20000",
10010,normal,레벨업 이용하기,d_lvup,1,나르비,res/character/npc/narvi/narvi.spine,드래곤의 성장을 바라보는 건 기쁜 일이죠.,,다이아,50,,,700001;50,
