id,rarity,lv,price,r_item,r_value,r_gold,r_gold_value
1001,common,1,"amor;1,gold;50000",amor,1,gold,50000
1002,common,2,"amor;1,gold;100000",amor,1,gold,100000
1003,common,3,"amor;1,gold;150000",amor,1,gold,150000
1004,common,4,"amor;1,gold;200000",amor,1,gold,200000
1005,common,5,"amor;1,gold;250000",amor,1,gold,250000
1006,common,6,"amor;1,gold;300000",amor,1,gold,300000
1007,common,7,"amor;1,gold;350000",amor,1,gold,350000
1008,common,8,"amor;1,gold;400000",amor,1,gold,400000
1009,common,9,"amor;1,gold;450000",amor,1,gold,450000
1010,common,10,"amor;1,gold;500000",amor,1,gold,500000
2001,rare,1,"amor;10,gold;200000",amor,10,gold,200000
2002,rare,2,"amor;10,gold;400000",amor,10,gold,400000
2003,rare,3,"amor;10,gold;600000",amor,10,gold,600000
2004,rare,4,"amor;10,gold;800000",amor,10,gold,800000
2005,rare,5,"amor;10,gold;1000000",amor,10,gold,1000000
2006,rare,6,"amor;10,gold;1200000",amor,10,gold,1200000
2007,rare,7,"amor;10,gold;1400000",amor,10,gold,1400000
2008,rare,8,"amor;10,gold;1600000",amor,10,gold,1600000
2009,rare,9,"amor;10,gold;1800000",amor,10,gold,1800000
2010,rare,10,"amor;10,gold;2000000",amor,10,gold,2000000
3001,hero,1,"amor;20,gold;300000",amor,20,gold,300000
3002,hero,2,"amor;20,gold;600000",amor,20,gold,600000
3003,hero,3,"amor;20,gold;900000",amor,20,gold,900000
3004,hero,4,"amor;20,gold;1200000",amor,20,gold,1200000
3005,hero,5,"amor;20,gold;1500000",amor,20,gold,1500000
3006,hero,6,"amor;20,gold;1800000",amor,20,gold,1800000
3007,hero,7,"amor;20,gold;2100000",amor,20,gold,2100000
3008,hero,8,"amor;20,gold;2400000",amor,20,gold,2400000
3009,hero,9,"amor;20,gold;2700000",amor,20,gold,2700000
3010,hero,10,"amor;20,gold;3000000",amor,20,gold,3000000
4001,legend,1,"amor;50,gold;400000",amor,50,gold,400000
4002,legend,2,"amor;50,gold;800000",amor,50,gold,800000
4003,legend,3,"amor;50,gold;1200000",amor,50,gold,1200000
4004,legend,4,"amor;50,gold;1600000",amor,50,gold,1600000
4005,legend,5,"amor;50,gold;2000000",amor,50,gold,2000000
4006,legend,6,"amor;50,gold;2400000",amor,50,gold,2400000
4007,legend,7,"amor;50,gold;2800000",amor,50,gold,2800000
4008,legend,8,"amor;50,gold;3200000",amor,50,gold,3200000
4009,legend,9,"amor;50,gold;3600000",amor,50,gold,3600000
4010,legend,10,"amor;50,gold;4000000",amor,50,gold,4000000
