mode_id,t_name,t_info,mode,r_mode,sub_mode,r_sub_mode,res,ani,major_day,mon,tue,wed,thu,fri,sat,sun,br_mon,bv_mon,br_tue,bv_tue,br_wed,bv_wed,br_thu,bv_thu,br_fri,bv_fri,br_sat,bv_sat,br_sun,bv_sun
1210000,보석 거대용,진화의 보석 획득 가능,1,진화재료,0,none,res/ui/a2d/dungeon_dragon/dungeon_dragon.vrp,gem,mon,O,O,O,O,O,O,O,,,,,,,,,,,,,,
1210100,땅의 거대용,땅의 정기 획득 가능,1,진화재료,1,earth,res/ui/a2d/dungeon_dragon/dungeon_dragon.vrp,earth,thu,O,O,O,O,O,O,O,,,,,,,,,,,,,,
1210200,물의 거대용,물의 정기 획득 가능,1,진화재료,2,water,res/ui/a2d/dungeon_dragon/dungeon_dragon.vrp,water,wed,O,O,O,O,O,O,O,,,,,,,,,,,,,,
1210300,불의 거대용,불의 정기 획득 가능,1,진화재료,3,fire,res/ui/a2d/dungeon_dragon/dungeon_dragon.vrp,fire,tue,O,O,O,O,O,O,O,,,,,,,,,,,,,,
1210400,빛의 거대용,빛의 정기 획득 가능,1,진화재료,4,light,res/ui/a2d/dungeon_dragon/dungeon_dragon.vrp,light,mon,O,O,O,O,O,O,O,,,,,,,,,,,,,,
1210500,어둠의 거대용,어둠의 정기 획득 가능,1,진화재료,5,dark,res/ui/a2d/dungeon_dragon/dungeon_dragon.vrp,dark,fri,O,O,O,O,O,O,O,,,,,,,,,,,,,,
1220100,악몽 던전,룬 획득 가능,2,악몽,1,none,res/ui/a2d/dungeon_nightmare/dungeon_nightmare.vrp,nightmare,mon,O,O,O,O,O,O,O,,,,,,,,,,,,,,
1230100,땅의 거목,땅 속성 열매 획득 가능,3,거목,1,earth,res/ui/a2d/dungeon_tree/dungeon_tree.vrp,earth,thu,O,O,O,O,O,O,O,,,,,,,,,,,,,,
1230200,물의 거목,물 속성 열매 획득 가능,3,거목,2,water,res/ui/a2d/dungeon_tree/dungeon_tree.vrp,water,wed,O,O,O,O,O,O,O,,,,,,,,,,,,,,
1230300,불의 거목,불 속성 열매 획득 가능,3,거목,3,fire,res/ui/a2d/dungeon_tree/dungeon_tree.vrp,fire,tue,O,O,O,O,O,O,O,,,,,,,,,,,,,,
1230400,빛의 거목,빛 속성 열매 획득 가능,3,거목,4,light,res/ui/a2d/dungeon_tree/dungeon_tree.vrp,light,mon,O,O,O,O,O,O,O,,,,,,,,,,,,,,
1230500,어둠의 거목,어둠 속성 열매 획득 가능,3,거목,5,dark,res/ui/a2d/dungeon_tree/dungeon_tree.vrp,dark,fri,O,O,O,O,O,O,O,,,,,,,,,,,,,,
1240000,황금 던전,골드 획득 가능,4,황금,0,none,res/ui/a2d/dungeon_dragon/dungeon_dragon.vrp,gem,mon,O,O,O,O,O,O,O,,,,,,,,,,,,,,
1650100,고대 유적 던전,룬 획득 가능,5,고대 유적,1,none,res/ui/a2d/dungeon_ancient_ruin/dungeon_ancient_ruin.vrp,ancient_ruin,mon,O,O,O,O,O,O,O,,,,,,,,,,,,,,
