package_id,product_id,type,achive_1,achive_2,reward
110000,121703,dmgate,3010000,3011001,"700001;6000,700901;15"
110001,121703,dmgate,3010000,3011002,"700001;6000,700901;15"
110002,121703,dmgate,3010000,3011003,"700001;6000,700901;15"
110003,121703,dmgate,3010000,3011004,"700001;6000,700901;15"
110004,121703,dmgate,3010000,3011005,"700001;6000,700901;15"
110005,121703,dmgate,3010000,3012101,"700001;6000,700901;15"
110006,121703,dmgate,3010000,3012102,"700001;6000,700901;15"
110007,121703,dmgate,3010000,3012103,"700001;6000,700901;15"
110008,121703,dmgate,3010000,3012104,"700001;6000,700901;15"
110009,121703,dmgate,3010000,3012105,"700001;6000,700901;15"
110010,121703,dmgate,3010000,3012201,"700001;6000,700901;15"
110011,121703,dmgate,3010000,3012202,"700001;6000,700901;15"
110012,121703,dmgate,3010000,3012203,"700001;6000,700901;15"
110013,121703,dmgate,3010000,3012204,"700001;6000,700901;15"
110014,121703,dmgate,3010000,3012205,"700001;6000,700901;15"
110015,121703,dmgate,3010000,3012301,"700001;6000,700901;15"
110016,121703,dmgate,3010000,3012302,"700001;6000,700901;15"
110017,121703,dmgate,3010000,3012303,"700001;6000,700901;15"
110018,121703,dmgate,3010000,3012304,"700001;6000,700901;15"
110019,121703,dmgate,3010000,3012305,"700001;6000,700901;15"
