itemid,custom_dids,birthgrade,attr,weight_key,r_desc,not_include_dids
700304,,5,,pick,전설드래곤 선택권(일반),
700306,,4,,pick,영웅드래곤 선택권(일반),
700307,"120901,120402,120863,120294,120345",,,,1주년 복귀 이벤트 추천 전설 드래곤 선택권,
700310,"120861,120402,121053,120294,120345",,,,글로벌 1주년 복귀 이벤트 추천 전설 드래곤 선택권,
700311,"121111,121112,121113,121115",,,,뱃도치드래곤 선택권,
700405,,5,earth,pick,전설드래곤 선택권(땅),
700406,,5,water,pick,전설드래곤 선택권(물),
700407,,5,fire,pick,전설드래곤 선택권(불),
700408,,5,light,pick,전설드래곤 선택권(빛),
700409,,5,dark,pick,전설드래곤 선택권(어둠),
700410,"120221,120224,120295,120294,120105,120104,120574,120613",,,,커스텀 목록 전설 드래곤,
700411,,5,,mg,전설드래곤 선택권(한정포함),
700601,"120834,120743,120451,120455",,,,토파즈 드래곤 뽑기권,
700602,"120405,120655,120725",,,,인기 드래곤 뽑기권(어둠),
700603,"121111,121112,121113,121115",,,,뱃도치드래곤 뽑기권,
700604,"121134,121004,120784",,,,인기 드래곤 뽑기권(빛),
700605,"120581,120582,120584,120585",,,,블랙찡또 뽑기권,
700606,"121141,121142,121143,121145",,,,미이라곤 뽑기권,
700607,"120641,120642,120643,120644",,,,말덱 뽑기권,
700608,"120641,120642,120643",,,,말덱 선택권,
700609,"121185,121105,120655",,,,인기 드래곤 뽑기권(어둠),
700610,"121171,121172,121173,121174",,,,미스틱티니 뽑기권,
700611,"121134,121194,120784",,,,인기 드래곤 뽑기권(빛),
700612,"121101,120402,121183,120814,120865",,,,2주년 감사 이벤트 추천 전설 드래곤 선택권,
700613,"121122,120834,120794,120745",,,,2주년 토파즈 드래곤 뽑기권,
700614,"121185,120405,120655",,,,인기 드래곤 뽑기권(어둠),
700615,"121404,120784,121004",,,,인기 드래곤 뽑기권(빛),
700616,"121185,120405,121105",,,,인기 드래곤 뽑기권(어둠),
700617,"121051,120402,121183,120814,120865,121011,121302,120653",,,,전설 추천 드래곤 선택권(신규 유저 환영 이벤트),
700618,"121185,120345,120405,121105,120655",,,,인기 드래곤 선택권(어둠),
700619,,,,lm_cardpack,토파즈/한정 드래곤 선택권,121595
700620,,,,lm,한정 드래곤 선택권,
700621,,6,,myth,신화 드래곤 뽑기권,"121954,122055,122073"
700318,,6,,myth,신화 드래곤 선택권,"121954,122055,122073"
700319,,6,,myth,신화 드래곤 선택권(리콜),"121833,121894,121901,121954,122055,122073"
700371,"121861,121842,121643",,,,"오베론, 엔비, 탈릿사 선택권",
700372,"121643,121875,121765,121752,121861",,,,인기 신화드래곤 선택권,
