rank,did_total,vote_total,did_kr,vote_kr,did_us,vote_us,did_asia,vote_asia,did_jp,vote_jp,did_global,vote_global,did_eu,vote_eu
1,121643,41218,121875,12124,121875,3111,121854,3775,121854,1747,121643,28182,121643,1006
2,121875,30917,121765,8172,121643,2277,121765,3572,121765,1056,121765,14355,121765,622
3,121765,29856,121643,7369,121765,2079,121771,2574,121875,1054,121752,12309,121875,481
4,121752,22550,121752,6756,121861,1606,121875,2444,121861,902,121875,11703,121752,481
5,121861,17783,121861,5954,121854,1353,121792,1653,121643,887,121861,7418,121882,423
6,121854,15697,121771,4006,121752,1187,121861,1612,121752,882,121804,6466,121854,320
7,121771,12367,121784,3547,121804,957,121643,1497,121813,847,121925,6422,121861,291
8,121804,11216,121854,3318,121925,846,121752,935,121792,839,121842,6006,121804,249
9,121925,10796,121842,2766,121784,679,121784,713,121941,572,121735,5583,121771,234
10,121842,10667,121735,2612,121813,629,121804,686,121882,563,121813,5572,121842,220
11,121784,10201,121913,2527,121842,561,121913,679,121842,529,121854,5184,121735,213
12,121792,9872,121925,2519,121771,515,121941,610,121771,516,121784,4615,121792,199
13,121735,9743,121804,2435,121913,512,121821,601,121784,469,121941,4601,121941,188
14,121813,9414,121792,2113,121792,489,121842,585,121804,423,121792,4579,121813,185
15,121941,8216,121882,1915,121735,479,121901,489,121913,419,121771,4522,121925,181
16,121913,7830,121941,1784,121941,461,121735,479,121735,377,121913,3549,121784,178
17,121882,6002,121813,1769,121833,432,121925,468,121925,360,121833,2558,121913,144
18,121833,5281,121833,1760,121901,414,121813,412,121901,340,121882,2545,121821,90
19,121901,4587,121901,1272,121882,279,121933,300,121821,251,121901,1985,121901,87
20,121821,3258,121933,676,121894,234,121894,300,121894,227,121894,1683,121833,73
21,121894,3158,121894,642,121933,214,121882,277,121833,193,121933,1620,121894,72
22,121933,3045,121821,533,121821,205,121833,265,121933,164,121821,1578,121933,71
