reward_id,rotate,step,purchase_point,item,r_item_name
10001,100,1,5000,"779255;1,703016;3,700002;1000000,700101;1000",
10002,100,2,5000,"760005;40,700016;40,700002;1000000,700101;1200",
10003,100,3,5000,"700305;1,703016;4,700002;1000000,700101;1400",
10004,100,4,5000,"760005;50,700016;60,700002;1000000,700101;1600",
10005,100,5,5000,"703005;1,703016;5,700002;1000000,700101;1800",
10101,101,1,5000,"779255;1,703016;3,700002;1000000,700711;10",
10102,101,2,5000,"760005;40,700017;800000,700002;1000000,700711;12",
10103,101,3,5000,"700305;1,703016;4,700002;1000000,700711;14",
10104,101,4,5000,"760005;50,700017;1200000,700002;1000000,700711;16",
10105,101,5,5000,"703005;1,703016;5,700002;1000000,700711;18",
10201,102,1,5000,"779255;1,703016;3,700002;1000000,700711;10",
10202,102,2,5000,"760005;40,700017;800000,700002;1000000,700711;12",
10203,102,3,5000,"703004;10,703016;4,700002;1000000,700711;14",
10204,102,4,5000,"760005;50,700017;1200000,700002;1000000,700711;16",
10205,102,5,5000,"703005;1,703016;5,700002;1000000,700711;18",
10301,103,1,5000,"700711;10,700002;1000000,700007;25000,700330;10",
10302,103,2,5000,"700711;10,700002;1000000,700007;25000,700330;20",
10303,103,3,5000,"700711;10,700002;1000000,700007;25000,700330;30",
10304,103,4,5000,"700711;10,700002;1000000,700007;25000,700330;40",
10305,103,5,5000,"700711;10,700002;1000000,700007;25000,700330;100",
10401,104,1,5000,"779255;1,703016;3,700002;1000000,700711;10",
10402,104,2,5000,"760005;40,700017;800000,700002;1000000,700711;12",
10403,104,3,5000,"700320;1,703016;4,700002;1000000,700711;14",
10404,104,4,5000,"760005;50,700017;1200000,700002;1000000,700711;16",
10405,104,5,5000,"703005;1,703016;5,700002;1000000,700711;18",
10501,105,1,5000,"700711;10,700002;1000000,700007;25000,700330;10",
10502,105,2,5000,"700711;10,700002;1000000,700007;25000,700330;20",
10503,105,3,5000,"700711;10,700002;1000000,700007;25000,700330;30",
10504,105,4,5000,"700711;10,700002;1000000,700007;25000,700330;40",
10505,105,5,5000,"700711;10,700002;1000000,700007;25000,700330;100",
