idx,vid,uid,nickname,rewards
1,2120002,PbHQdnGnc8MtVADnFbO9gH7nPEu1@Global,裂神,"1,2,3,4,5,6,7"
2,2120002,PzoeIkBwQkNZJTcjgDnP65L20x13@Global,파눌,"1,2,3,4,5,6"
3,2120002,PVAjVzov4pZQVFdzeTLQvNwZsV02@Global,이슬비,"1,2,3,4,5,6,7"
4,2120002,2SD4hkTbIkWZjtrHXEa3N3VS8yY2@Global,めいやとばり,"1,2,3,4"
5,2120002,TE9fiON9Grb6QzAlUQJu9ajElJt1@Global,태엽드래곤,"1,2,3"
6,2120002,krJbscTBCvgijmrXyAttB4vw5sI3@Global,예율민찬,"1,2,3"
7,2120002,LZU7UGIkf1QCA0QV8h59GM8XQRV2@Global,사라진종이,"1,2,3"
8,2120002,vVeNanhGIlTNWrSI6wOX1Fc8WI53@Global,trungtran,1
9,2120002,fDyP1muAyiRA7SXKCWfz2gbhCTK2@Global,Sylphy,"1,2"
10,2120002,vTCTYHjZVjQ3CHfF8Aoi5ybRKly1@Global,개구리밥,"1,2"
11,2120002,Znz9UprQTIPjLxW0tE5NFErIZxJ3@Global,dvm1174610,"1,2"
12,2120002,LsVlSrP28udsRos6g2qxdkSDh3H3@Global,흰눈,1
13,2120002,M2iEAhVh9LfhuGX7H3peGs6vKYj1@Global,gkaeod,"1,2"
14,2120002,aj4Iif1k50WLiETx7mMjn37uSsH3@Global,선물님,"1,2"
15,2120002,XD0acbsrhJSiTqeCVw31lTMsJwG2@Global,Rexking,"1,2"
16,2120002,4eGTYIuv36cfOgTVMdhQ2PmlH7I2@Global,james123,1
17,2120002,FDnhXprbG2UO2P1zc4A8Q4ucueM2@Global,Fredkm,"1,2"
18,2120002,fl69k2PzEJevyxwOyxzshBapPzZ2@Global,굿캐슬,"1,2"
19,2120002,dEmZTQqKYnWGeo28o7XtJvsoDoF3@Global,와사비없는스시,"1,2"
20,2120002,PWjYRhziGHg1RctEMHt5fLfYQse2@Global,소소한솔,1
21,2120002,7HI1nYIWKcQezCLsKM9hoeJfQZk1@Global,WolfKenken,"1,2"
22,2120002,FtSg7RquOwWyGr5WTfWUHgTGDdI3@Global,PriNnGuy,1
23,2120002,A7Vuj2rAIHVVF4xM2LSc56WFRXm1@Global,임덕진,1
24,2120002,6qrw3zyVGucdZHQh2alvKAF5iMn2@Global,dvm1256099,1
25,2120002,LkzLMqAc2TdJdnVteIoxVsdTeck2@Global,데빌,1
26,2120002,aZVtgmbdidOoSFai2eF3igLCcYH3@Global,술재,1
27,2120002,dyaVrK0O24O9c1nTa20ZgjbBisl2@Global,Renn,1
28,2120002,fjlcPloUt9UXzuehv3NUWNNFgcg2@Global,깨랑까랑,1
29,2120002,UWHxcbKXldh8EC9Zp0NzgHRzAck1@Global,천마묵향,1
30,2120002,Z6LVaZKSD5hAxO0RuGZFRJBezOt2@Global,님로드,1
31,2120002,oUvQx7hIvxVFMLLkLOTolujLbDt2@Global,샤뉴,1
32,2120002,3dJiBb594HSHDVOFBS0WjGLelMV2@Global,댄댄,1
33,2120002,Ycy4yNDRFiYuGzfmVB9Smvo8hSZ2@Global,키키,1
34,2120002,el5jZstTVxRFueNjJgKxX5M5YnK2@Global,RiMuRa,1
35,2120002,mpOwPuOg1ZSESwQaKWMLrSigSmT2@Global,gan1104,1
36,2120002,ev7kVGFNlKXLqZ1rgwIowq4sOvn1@Global,Shawtie,1
37,2120002,1QQ1Uw1D3QNdnyb7elOYFhZlikw1@Global,영주,1
38,2120002,71pDGk15qpWEMRLzGCecdUpf0oj1@Global,아잉아잉아잉,1
39,2120002,AbfEvQVuy9MTlkiAXryMQRWR0As2@Global,dvm1225906,1
40,2120002,D5N5jCM4MpYWwyz6TTtuI0KYPt82@Global,양일,1
41,2120002,G:418409394@Global,dvm1343851,1
42,2120002,G:853883442@Global,UmeCha,1
43,2120002,REXIJDEydfYp5WXG96hlIWPT7xH3@Global,tarou,1
44,2120002,RXoRUSDRacZSS07mFw4HRaLM7kj2@Global,재화를줘요,1
45,2120002,UMKf2J1vlmf4lPy2fwLcZgeJlin2@Global,검은용군단,1
46,2120002,XCqv33DPBze5nU0jmb4cH1RwqW12@Global,アルディス,1
47,2120002,agzZAgcOHPaHlHIWBYhSv8MMI563@Global,花阳凛,1
48,2120002,mJZxRwobYiQuPtlIbRORNGHPd7k2@Global,Nuggiess,1
49,2120002,um8mHKJJyxWT66xd29WsgKeBjeT2@Global,IcyMoon,1
50,2120002,vxQgTXniwUaYAESiPKrkqb4Cuka2@Global,회피,1
51,2120002,5OOxpaxHW8eVQIlQFhcsomTFBm33,와이번s,"1,2,3"
52,2120002,VlFLou5TmEgnT8GZFYSLL9SDdvv1,CarpeD1em,"1,2,3,4,5"
53,2120002,ULv4fInCDXXjBUImuEy2cDq13Sf2,류세린,"1,2,3,4,5"
54,2120002,uDBuubaftWQyX9fc7clPUnlkmBy2,알흠답고신비로운존재,"1,2,3"
55,2120002,pVanLd7c26XxLmpG0gCmFO70moP2,MADNISE,"1,2,3"
56,2120002,N8nt3IRL41YzI7TJK5rNkENph1K3,l은달l행님의뒷모습,"1,2,3"
57,2120002,AZr6HKb3IcNGea17ROSEdoaoBIW2,내사랑베르나,"1,2,3"
58,2120002,G224HUUR6naXnR3lHs8EuLETL5C3,KM15,"1,2"
59,2120002,juo4Tk9kBPUYPmyrriTuDbKDzrJ3,Bai,"1,2,3"
60,2120002,YwKYaZfwi1Yip3Oy4sjR7Zqw6va2,나태류이,"1,2,3"
61,2120002,Kqp1eIix0fb1mg051v9QEtbsmMq1,금두꺼비이몽룡,"1,2"
62,2120002,Jkjh979rBLdMqQFOFWp2BbGGAHm2,원더개사기,"1,2,3"
63,2120002,5dz6RuUgz8dVbrxI8ixGBl3W2813,amiii,"1,2"
64,2120002,B0dbMHtstrSzKPdshL99BKE5uyq2,순dea국밥,"1,2"
