reward_id,rotate,step,purchase_point,item,item_2,item_3,r_item_name_1,r_item_name_2,r_item_name_3,reward_type,reward_type_2,reward_type_3,t_desc
20001,200,1,3000,700002;500000,,,골드,,,,,,
20002,200,2,20000,700711;10,,,찬란한 날개,,,,,,
20003,200,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
20004,200,4,100000,700001;10000,,,다이아,,,,,,
20005,200,5,150000,700705;1,,,성장 재료 선택권,,,,,,
20006,200,6,200000,700001;20000,,,다이아,,,,,,
20007,200,7,300000,771593;1,760005;960,700001;80000,5등급 메테오라(불) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
20101,201,1,3000,700002;500000,,,골드,,,,,,
20102,201,2,20000,700711;10,,,찬란한 날개,,,,,,
20103,201,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
20104,201,4,100000,700001;10000,,,다이아,,,,,,
20105,201,5,150000,700705;1,,,성장 재료 선택권,,,,,,
20106,201,6,200000,700001;20000,,,다이아,,,,,,
20107,201,7,300000,770794;1,760005;960,700001;80000,5등급 미트라(빛) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
20201,202,1,3000,700002;500000,,,골드,,,,,,
20202,202,2,20000,700711;10,,,찬란한 날개,,,,,,
20203,202,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
20204,202,4,100000,700001;10000,,,다이아,,,,,,
20205,202,5,150000,700705;1,,,성장 재료 선택권,,,,,,
20206,202,6,200000,700001;20000,,,다이아,,,,,,
20207,202,7,300000,771205;1,760005;960,700001;80000,5등급 저네르(어둠) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
20301,203,1,3000,700002;500000,,,골드,,,,,,
20302,203,2,20000,700711;10,,,찬란한 날개,,,,,,
20303,203,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
20304,203,4,100000,700001;10000,,,다이아,,,,,,
20305,203,5,150000,700705;1,,,성장 재료 선택권,,,,,,
20306,203,6,200000,700001;20000,,,다이아,,,,,,
20307,203,7,300000,771692;1,760005;960,700001;80000,5등급 히프노스(물) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
20401,204,1,3000,700002;500000,,,골드,,,,,,
20402,204,2,20000,700711;10,,,찬란한 날개,,,,,,
20403,204,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
20404,204,4,100000,700001;10000,,,다이아,,,,,,
20405,204,5,150000,700705;1,,,성장 재료 선택권,,,,,,
20406,204,6,200000,700001;20000,,,다이아,,,,,,
20407,204,7,300000,770454;1,760005;960,700001;80000,5등급 카르나(빛) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
20501,205,1,3000,700002;500000,,,골드,,,,,,
20502,205,2,20000,700711;10,,,찬란한 날개,,,,,,
20503,205,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
20504,205,4,100000,700001;10000,,,다이아,,,,,,
20505,205,5,150000,700705;1,,,성장 재료 선택권,,,,,,
20506,205,6,200000,700001;20000,,,다이아,,,,,,
20507,205,7,300000,770835;1,760005;960,700001;80000,5등급 베르나(어둠) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
20601,206,1,3000,700002;500000,,,골드,,,,,,
20602,206,2,20000,700711;10,,,찬란한 날개,,,,,,
20603,206,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
20604,206,4,100000,700001;10000,,,다이아,,,,,,
20605,206,5,150000,700705;1,,,성장 재료 선택권,,,,,,
20606,206,6,200000,700001;20000,,,다이아,,,,,,
20607,206,7,300000,770743;1,760005;960,700001;80000,5등급 앙그라(불) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
20701,207,1,3000,700002;500000,,,골드,,,,,,
20702,207,2,20000,700711;10,,,찬란한 날개,,,,,,
20703,207,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
20704,207,4,100000,700001;10000,,,다이아,,,,,,
20705,207,5,150000,700705;1,,,성장 재료 선택권,,,,,,
20706,207,6,200000,700001;20000,,,다이아,,,,,,
20707,207,7,300000,770451;1,760005;960,700001;80000,5등급 카르나(땅) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
20801,208,1,3000,700002;500000,,,골드,,,,,,
20802,208,2,20000,700711;10,,,찬란한 날개,,,,,,
20803,208,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
20804,208,4,100000,700001;10000,,,다이아,,,,,,
20805,208,5,150000,700705;1,,,성장 재료 선택권,,,,,,
20806,208,6,200000,700001;20000,,,다이아,,,,,,
20807,208,7,300000,771124;1,760005;960,700001;80000,5등급 썬더볼트(빛) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
20901,209,1,3000,700002;500000,,,골드,,,,,,
20902,209,2,20000,700711;10,,,찬란한 날개,,,,,,
20903,209,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
20904,209,4,100000,700001;10000,,,다이아,,,,,,
20905,209,5,150000,700705;1,,,성장 재료 선택권,,,,,,
20906,209,6,200000,700001;20000,,,다이아,,,,,,
20907,209,7,300000,771683;1,760005;960,700001;80000,5등급 아바돈(불) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
21001,210,1,3000,700002;500000,,,골드,,,,,,
21002,210,2,20000,700711;10,,,찬란한 날개,,,,,,
21003,210,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
21004,210,4,100000,700001;10000,,,다이아,,,,,,
21005,210,5,150000,700705;1,,,성장 재료 선택권,,,,,,
21006,210,6,200000,700001;20000,,,다이아,,,,,,
21007,210,7,300000,771494;1,760005;960,700001;80000,5등급 아실리(빛) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
21101,211,1,3000,700002;500000,,,골드,,,,,,
21102,211,2,20000,700711;10,,,찬란한 날개,,,,,,
21103,211,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
21104,211,4,100000,700001;10000,,,다이아,,,,,,
21105,211,5,150000,700705;1,,,성장 재료 선택권,,,,,,
21106,211,6,200000,700001;20000,,,다이아,,,,,,
21107,211,7,300000,770745;1,760005;960,700001;80000,5등급 앙그라(어둠) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
21201,212,1,3000,700002;500000,,,골드,,,,,,
21202,212,2,20000,700711;10,,,찬란한 날개,,,,,,
21203,212,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
21204,212,4,100000,700001;10000,,,다이아,,,,,,
21205,212,5,150000,700705;1,,,성장 재료 선택권,,,,,,
21206,212,6,200000,700001;20000,,,다이아,,,,,,
21207,212,7,300000,771122;1,760005;960,700001;80000,5등급 썬더볼트(물) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
21301,213,1,3000,700002;500000,,,골드,,,,,,
21302,213,2,20000,700711;10,,,찬란한 날개,,,,,,
21303,213,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
21304,213,4,100000,700001;10000,,,다이아,,,,,,
21305,213,5,150000,700705;1,,,성장 재료 선택권,,,,,,
21306,213,6,200000,700001;20000,,,다이아,,,,,,
21307,213,7,300000,770834;1,760005;960,700001;80000,5등급 베르나(빛) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
21401,214,1,3000,700002;500000,,,골드,,,,,,
21402,214,2,20000,700711;10,,,찬란한 날개,,,,,,
21403,214,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
21404,214,4,100000,700001;10000,,,다이아,,,,,,
21405,214,5,150000,700705;1,,,성장 재료 선택권,,,,,,
21406,214,6,200000,700001;20000,,,다이아,,,,,,
21407,214,7,300000,770455;1,760005;960,700001;80000,5등급 카르나(어둠) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
21501,215,1,3000,700002;500000,,,골드,,,,,,
21502,215,2,20000,700711;10,,,찬란한 날개,,,,,,
21503,215,3,50000,700651;1,,,룬 10개 뽑기 상자,,,,,,
21504,215,4,100000,700001;10000,,,다이아,,,,,,
21505,215,5,150000,700705;1,,,성장 재료 선택권,,,,,,
21506,215,6,200000,700001;20000,,,다이아,,,,,,
21507,215,7,300000,770791;1,760005;960,700001;80000,5등급 미트라(땅) 해치,전설 강화 포인트,다이아,dragon,reinforce,item,
21601,216,1,3000,700002;500000,,,골드,,,,,,
21602,216,2,20000,700711;10,,,찬란한 날개,,,,,,
