lv,tamer_skill,formation
1,110,220
2,120,240
3,130,260
4,140,280
5,150,300
6,160,320
7,180,360
8,190,380
9,210,420
10,230,460
11,250,500
12,270,540
13,300,600
14,320,640
15,350,700
16,380,760
17,410,820
18,450,900
19,490,980
20,530,1060
21,580,1160
22,630,1260
23,680,1360
24,740,1480
25,800,1600
26,870,1740
27,950,1900
28,1030,2060
29,1120,2240
30,1220,2440
31,1330,2660
32,1440,2880
33,1570,3140
34,1710,3420
35,1850,3700
36,2010,4020
37,2190,4380
38,2380,4760
39,2590,5180
40,2810,5620
41,3060,6120
42,3320,6640
43,3610,7220
44,3930,7860
45,4270,8540
46,4640,9280
47,5040,10080
48,5480,10960
49,5960,11920
50,72000,144000
51,88000,176000
52,104000,208000
53,120000,240000
54,136000,272000
55,152000,304000
56,168000,336000
57,184000,368000
58,200000,400000
59,216000,432000
60,232000,464000
61,248000,496000
62,264000,528000
63,280000,560000
64,296000,592000
65,312500,625000
66,312500,625000
67,312500,625000
68,312500,625000
69,312500,625000
70,,
